keyword,title,publication
mobile_storage,Research on mobile energy storage scheduling strategy for emergency power supply protection of post-disaster isolated loads,Energy Reports
mobile_storage,How to choose mobile energy storage or fixed energy storage in high proportion renewable energy scenarios: Evidence in China,Applied Energy
mobile_storage,Optimal siting and sizing of mobile-static storage mix in distribution systems with high renewable energy resources penetration,Electric Power Systems Research
mobile_storage,Strategic operation of electric vehicle in residential microgrid with vehicle-to-home features,Energy
mobile_storage,Active and reactive power coordination optimization for active distribution network considering mobile energy storage system and dynamic network reconfiguration,Electric Power Systems Research
mobile_storage,Mobile energy storage technologies for boosting carbon neutrality,The Innovation
mobile_storage,Research progress of mobile cold storage using ice slurry,Energy Storage and Saving
mobile_storage,Resilient market bidding strategy for Mobile energy storage system considering transfer uncertainty,Applied Energy
mobile_storage,Strategic investments in mobile and stationary energy storage for low-carbon power systems,Journal of Energy Storage
mobile_storage,Mobile compressed air energy storage for active distribution systems,International Journal of Electrical Power & Energy Systems
mobile_storage,Region-based compressive distributed storage in Mobile CrowdSensing,Future Generation Computer Systems
mobile_storage,Numerical study of an energy storage unit based on zeolite-water adsorption for mobilized thermal energy storage,Journal of Energy Storage
mobile_storage,An energy-saving joint resource allocation strategy for mobile edge computing,Physical Communication
mobile_storage,CEIU: Consistent and Efficient Incremental Update mechanism for mobile systems on flash storage,Journal of Systems Architecture
mobile_storage,Volatility-based diversity awareness for distributed data storage of Mobile Crowd Sensing,Computer Networks
mobile_storage,Multi-scenario design of ammonia-based energy storage systems for use as non-wires alternatives,Journal of Energy Storage
mobile_storage,Energy performance of off-grid green cellular base stations,Performance Evaluation
mobile_storage,Effect of filter material and porosity on the energy storage capacity characteristics of diesel particulate filter thermoelectric conversion mobile energy storage system,Energy
mobile_storage,Conceptual design of a mobile nuclear-electric hybrid energy storage system based on the heat pipe-cooled reactor,Nuclear Engineering and Design
mobile_storage,Design and modelling of mobile thermal energy storage (M−TES) using structured composite phase change material modules,Applied Thermal Engineering
mobile_storage,Coordinated energy dispatch of highway microgrids with mobile storage system based on DMPC optimization,Electric Power Systems Research
mobile_storage,Improving order picking efficiency through storage assignment optimization in robotic mobile fulfillment systems,European Journal of Operational Research
mobile_storage,A two-layer hybrid robust-stochastic model for energy management of isolated multi-energy microgrids with mobile storage systems and hydrogen refueling stations,Journal of Energy Storage
mobile_storage,Resilient distribution network with degradation-aware mobile energy storage systems,Electric Power Systems Research
mobile_storage,Enhancing the utilization of renewable generation on the highway with mobile energy storage vehicles and electric vehicles,Electric Power Systems Research
mobile_storage,"Mobile phone adoption, deforestation, and agricultural land use in Uganda",World Development
mobile_storage,A distributionally robust resilience enhancement model for transmission and distribution coordinated system using mobile energy storage and unmanned aerial vehicle,International Journal of Electrical Power & Energy Systems
mobile_storage,"Industrial energy hubs with electric, thermal and hydrogen demands for resilience enhancement of mobile storage-integrated power systems",International Journal of Hydrogen Energy
mobile_storage,Stationary and mobile storages-based renewable off-grid system planning considering storage degradation cost based on information-gap decision theory optimization,Journal of Energy Storage
mobile_storage,Review on the key technologies and future development of insulation structure for liquid hydrogen storage tanks,International Journal of Hydrogen Energy
mobile_storage,Energy Management System for a Smart Green Nanogrid feeding a Research Laboratory with Autonomous Mobile Robots,IFAC-PapersOnLine
mobile_storage,A cyber-physical robotic mobile fulfillment system in smart manufacturing: The simulation aspect,Robotics and Computer-Integrated Manufacturing
mobile_storage,Analysis and Modeling of Mobile Phone Activity Data Using Interactive Cyber-Physical Social System,"Computers, Materials and Continua"
mobile_storage,Enhancing resilience of distribution systems: Integrating mobile energy storage systems and information gap decision theory for uncertainty management,Journal of Energy Storage
mobile_storage,Mobile energy storage systems with spatial–temporal flexibility for post-disaster recovery of power distribution systems: A bilevel optimization approach,Energy
mobile_storage,SMS based reservoir condition monitoring sensor system for pumped hydro storage in mini-grids,Measurement: Sensors
mobile_storage,Quantifying the decarbonization potential of mobile heat battery in low-temperature district heating,Sustainable Cities and Society
mobile_storage,Spatial–temporal optimal dispatch of mobile energy storage for emergency power supply,Energy Reports
mobile_storage,A novel energy cooperation framework for multi-island microgrids based on marine mobile energy storage systems,Energy
mobile_storage,Velocity-based rack storage location assignment for the unidirectional robotic mobile fulfillment system,Transportation Research Part E: Logistics and Transportation Review
mobile_storage,Cost-efficient microgeneration renewable energy provision dimensioning for sustainable 5G heterogeneous network,"Sustainable Energy, Grids and Networks"
mobile_storage,A renewable-energy-driven energy-harvesting-based task scheduling and energy management framework,ICT Express
mobile_storage,Resilience-oriented planning and pre-positioning of vehicle-mounted energy storage facilities in community microgrids,Journal of Energy Storage
mobile_storage,Resilience of hydrogen fuel station-integrated power systems with high penetration of photovoltaics,Journal of Energy Storage
mobile_storage,Above-ground hydrogen storage: A state-of-the-art review,International Journal of Hydrogen Energy
mobile_storage,Active distribution system resilience quantification and enhancement through multi-microgrid and mobile energy storage,Applied Energy
mobile_storage,Improving the resilience of distribution network in coming across seismic damage using mobile battery energy storage system,Journal of Energy Storage
mobile_storage,Stochastic multi-benefit planning of mobile energy storage in reconfigurable active distribution systems,"Sustainable Energy, Grids and Networks"
mobile_storage,Energetic and exergetic performance analyses of mobile thermochemical energy storage system employing industrial waste heat,Energy
mobile_storage,Energy management in integrated energy system with electric vehicles as mobile energy storage: An approach using bi-level deep reinforcement learning,Energy
