keyword,title,publication
phone_battery,"Aging mechanisms, prognostics and management for lithium-ion batteries: Recent advances",Renewable and Sustainable Energy Reviews
phone_battery,Effect of polypyrrole-derived N-doped carbon coating on the sodium storage properties of NiCo2S4 synthesized by recycling discarded mobile phone batteries,Ceramics International
phone_battery,Research on the influence of thermal radiation of cell phone system on the structure and safety of lithium-ion battery,Journal of Power Sources
phone_battery,"A battery-free, wireless, flexible bandlike e-nose based on MEMS gas sensors for precisely volatile organic compounds detection",Nano Energy
phone_battery,Assessment of the complete chain evolution process of LIBs from micro internal short circuit failure to thermal runaway under mechanical abuse conditions,Process Safety and Environmental Protection
phone_battery,Recycling lithium-ion batteries: A review of current status and future directions,Sustainable Chemistry One World
phone_battery,Wearable flexible zinc-ion batteries based on electrospinning technology,Journal of Energy Chemistry
phone_battery,Dataset of mechanically induced thermal runaway measurement and severity level on Li-ion batteries,Data in Brief
phone_battery,Washable and anti-impact conductive cellulose yarn-based energy meta-textile against harsh environments,Applied Materials Today
phone_battery,Aqueous battery fiber with high volumetric and areal power density for flexible electronics,Device
phone_battery,Applications – Portable Applications | Battery Based,Encyclopedia of Electrochemical Power Sources (Second Edition)
phone_battery,Enhancing energy access in rural areas: Intelligent microgrid management for universal telecommunications and electricity,Cleaner Energy Systems
phone_battery,High-performance aqueous rechargeable NiCo//Zn battery with molybdate anion intercalated CoNi-LDH@CP bilayered cathode,Journal of Colloid and Interface Science
phone_battery,Upcycling retired Li-ion batteries into high-performance oxygen reduction reaction electrocatalysts in flexible Al-air batteries,Chemical Engineering Journal
phone_battery,Constructing heterojunction on N-doped porous carbon nanofibers for Li-S batteries: Effect of built-in electric field on efficient catalytic transformation kinetics,Applied Catalysis B: Environment and Energy
phone_battery,Development of a life cycle based process for cobalt recovering from cell batteries,Cleaner Waste Systems
phone_battery,Phone batteries could last longer with more 5G masts,New Scientist
phone_battery,Ionic liquids as battery electrolytes for lithium ion batteries: Recent advances and future prospects,Solid State Ionics
phone_battery,A review on recent advances in anode materials in lithium ion batteries,Materials Today Electronics
phone_battery,Investigation on mechanical bending caused thermal runaway of lithium-ion cell,Journal of Energy Storage
phone_battery,An Infrastructure of Battery Swapping and Charging Stations in Smart Cities to “Disrupt” the Current Ecosystem of Battery Usage: A Schematic Design,Procedia Computer Science
phone_battery,SMS based reservoir condition monitoring sensor system for pumped hydro storage in mini-grids,Measurement: Sensors
phone_battery,Resiliency Evaluation of Sheltering in a Net-zero Energy House During Summer Power Outage,Building and Environment
phone_battery,Hydrogen storage alloy development for wide operating temperature nickel-metal hydride battery applications,International Journal of Hydrogen Energy
phone_battery,Flexible Zn-air battery for self-powered aptasensing SARS-CoV-2,Nano Energy
phone_battery,Electronic structure and spin state regulation of vanadium nitride via a sulfur doping strategy toward flexible zinc-air batteries,Journal of Energy Chemistry
phone_battery,4.10: Battery materials,Comprehensive Inorganic Chemistry III (Third Edition)
phone_battery,Selective recovery of metals from spent mobile phone lithium-ion batteries through froth flotation followed by magnetic separation procedure,Results in Engineering
phone_battery,Towards a closed loop recycling process of end-of-life lithium-ion batteries: Recovery of critical metals and electrochemical performance evaluation of a regenerated LiCoO2,Journal of Power Sources
phone_battery,Life Cycle Analysis of LiCoO2/ Graphite Batteries with Cooling using Combined Electrochemical-Thermal Modeling,"Resources, Conservation and Recycling"
phone_battery,Saving time and reducing smoke: A sensor-based performance assessment of a forced-draft “Jet-Flame” cooking system in Malawi,Energy for Sustainable Development
phone_battery,Chapter 5: Nanostructured functionalized separators,Nanostructured Materials Engineering and Characterization for Battery Applications
phone_battery,MOF-derived α-Fe2O3@Fe3O4 on carbon fiber fabric for lithium-ion anode applications,Journal of Energy Storage
phone_battery,Nickel material based battery life and vehicle safety management system for automobiles,Materials Today: Proceedings
phone_battery,Evaluation of the recycling potential of obsolete mobile phones through secondary material resources identification: A comprehensive characterization study,Journal of Environmental Management
phone_battery,A battery-free anti-inflammatory brain remote for spatiotemporal guiding movement of mice,Applied Materials Today
phone_battery,Scale-up and control the voltage of sediment microbial fuel cell for charging a cell phone,Biosensors and Bioelectronics
phone_battery,Mobile phone ingestion requiring endoscopic retrieval,The American Journal of Emergency Medicine
phone_battery,High areal energy density and super durable aqueous rechargeable NiCo//Zn battery with hierarchical structural cobalt–nickel phosphate octahydrate as binder-free cathode,Chemical Engineering Journal
phone_battery,Design and performance analysis of a rectenna system for charging a mobile phone from ambient EM waves,Heliyon
phone_battery,"Chapter 8: Metal-ion battery: basic principles, electrode materials, and applications",Nanostructured Materials
phone_battery,Reduced and Reformulated Electrochemical Model-based Detection and Isolation of Electrode-level Faults in Lithium-ion Battery Cells,IFAC-PapersOnLine
phone_battery,Diagnosing failures in lithium-ion batteries with Machine Learning techniques,Engineering Failure Analysis
phone_battery,A flexible self-healing Zn3V2O7(OH)2·2H2O-based Zn-ion battery under continuous folding and twisting,Chemical Communications
phone_battery,Aqueous sodium ion hybrid batteries with ultra-long cycle life at -50 ℃,Energy Storage Materials
phone_battery,"Scalable, high-performance, yarn-shaped batteries activated by an ultralow volume of sweat for self-powered sensing textiles",Nano Energy
phone_battery,Chapter 5: Battery thermal management systems,Battery Technology
phone_battery,Battery monitoring system using machine learning,Journal of Energy Storage
phone_battery,Household resilience realized by photovoltaic and battery energy system in natural hazard-triggered blackouts: Evidence from Japan,International Journal of Disaster Risk Reduction
phone_battery,"Simple air blow to charge Li-air, rechargeable, solid-state batteries using nano-engineered aerogel structures",Electrochemistry Communications
phone_battery,Chapter 15: Membrane-based technologies for lithium extraction,Current Trends and Future Developments on (Bio-) Membranes
phone_battery,Chapter 1: Recent advances of nanomaterials for rechargeable lithium-ion batteries: opportunities and challenges,Handbook of Emerging Materials for Sustainable Energy
phone_battery,Experimental Analysis of Thermal Behavior of a Lithium-Ion Battery using Constant Voltage under Different Cooling Conditions,International Journal of Electrochemical Science
phone_battery,Environmental impact of recycling spent lithium-ion batteries,Procedia CIRP
phone_battery,Crocodile skin inspired rigid-supple integrated flexible lithium ion batteries with high energy density and bidirectional deformability,Energy Storage Materials
phone_battery,16: Polymer blend nanocomposites for battery applications,Polymer Blend Nanocomposites for Energy Storage Applications
phone_battery,An efficient algorithm for energy harvesting in IIoT based on machine learning and swarm intelligence,Heliyon
phone_battery,Strengthen metal-O interaction toward high ionic mobility on doping LiFePO4,Journal of Electroanalytical Chemistry
phone_battery,RUL Prediction for Lithium Batteries Using a Novel Ensemble Learning Method,Energy Reports
phone_battery,"Recycling and environmental issues of lithium-ion batteries: Advances, challenges and opportunities",Energy Storage Materials
phone_battery,Design and implementation of solar docking station for smartphones/laptops,Materials Today: Proceedings
phone_battery,Development of a novel footwear based power harvesting system,"e-Prime - Advances in Electrical Engineering, Electronics and Energy"
phone_battery,Design and implementation of a solar powered navigation technology for the visually impaired,Sensors International
phone_battery,One pot synthesis of Fe2O3-reduced graphene nanocomposite as cathode material for Lithium Ion Batteries,International Journal of Electrochemical Science
phone_battery,Battery collection in municipal waste management in Japan: Challenges for hazardous substance control and safety,Waste Management
phone_battery,Thermal effects of mobile phones on human auricle region,Journal of Thermal Biology
phone_battery,Gel-coated battery could stop phones catching fire,New Scientist
phone_battery,Physical and chemical characterization of LiCoO2 cathode material extracted from commercial cell phone batteries with low and high states of health,Materials Chemistry and Physics
phone_battery,Optimizing point-of-sale services in MEC enabled near field wireless communications using multi-agent reinforcement learning,Computer Communications
phone_battery,Recycling mobile phone batteries for lighting,Renewable Energy
