keyword,title,publication
phone_cpu,Evaluation of gem5 for performance modeling of ARM Cortex-R based embedded SoCs,Microprocessors and Microsystems
phone_cpu,Functionalized cellulose nanocrystals-MoS2 nanosheets to tailor brick–mortar architecture of green composite for next-generation electronic packaging,Chemical Engineering Journal
phone_cpu,Prevalence and correlates of cell phone use among Texas drivers,Preventive Medicine Reports
phone_cpu,Association between Problematic Cellular Phone Use and Suicide: The Moderating Effect of Family Function and Depression,Comprehensive Psychiatry
phone_cpu,Phase change material gel particles with suitable size and superior thermophysical properties towards highly efficient thermal management of miniature electronic components,Journal of Energy Storage
phone_cpu,Covalent-assisted construction of “scale-like” boron nitride/polyimide thermal interface materials with high thermal conductivity,Composites Communications
phone_cpu,"Symptoms of problematic cellular phone use, functional impairment and its association with depression among adolescents in Southern Taiwan",Journal of Adolescence
phone_cpu,Thermal management and waste heat recovery of electronics enabled by highly thermoconductive aramid composites with bridge-type 1D/2D liquid-crystalline thermal conduction networks,Energy Conversion and Management
phone_cpu,A lightweight convolutional neural network for automated crack inspection,Construction and Building Materials
phone_cpu,Towards detection of juice filming charging attacks via supervised CPU usage analysis on smartphones,Computers & Electrical Engineering
phone_cpu,Secure mobile internet voting system using biometric authentication and wavelet based AES,Journal of Information Security and Applications
phone_cpu,JFCGuard: Detecting juice filming charging attack via processor usage analysis on smartphones,Computers & Security
phone_cpu,Ultra-high thermal conductivity FGN/PVA/MXene composite films with good electrical insulation,Composites Science and Technology
phone_cpu,Removing epoxy underfill between neighbouring components using acid for component chip-off,Digital Investigation
phone_cpu,DiVIT: Algorithm and architecture co-design of differential attention in vision transformer,Journal of Systems Architecture
phone_cpu,Systematic evaluation methodology for cell phone user interfaces,Interacting with Computers
phone_cpu,Parallelization of a color-entropy preprocessed Chan–Vese model for face contour detection on multi-core CPU and GPU,Parallel Computing
phone_cpu,Experimental analysis on passive thermal management system for electronic gadgets using inorganic phase changing material (PCM),Materials Today: Proceedings
phone_cpu,System-level integrated power management for handheld systems,Microprocessors and Microsystems
phone_cpu,Predictors and outcomes of frequent chest pain unit users,The American Journal of Emergency Medicine
phone_cpu,Forensic smartphone analysis using adhesives: Transplantation of Package on Package components,Digital Investigation
phone_cpu,AuthConFormer: Sensor-based Continuous Authentication of Smartphone Users Using A Convolutional Transformer,Computers & Security
phone_cpu,Collaborate Social Network Services via Connectors,Procedia Computer Science
phone_cpu,Towards a health software supporting platform for wearable devices,Procedia Computer Science
phone_cpu,SIMPLE 3.0. Stream single-particle cryo-EM analysis in real time,Journal of Structural Biology: X
phone_cpu,Chapter 3: The ARM Microcontrollers,ARM-Based microcontroller projects using MBED
phone_cpu,Chapter 1: Overview,iPhone and iOS Forensics
phone_cpu,A lightweight SSV2-YOLO based model for detection of sugarcane aphids in unstructured natural environments,Computers and Electronics in Agriculture
phone_cpu,Server implementations for improving the performance of CAR systems based on mobile phones,Journal of Network and Computer Applications
phone_cpu,Simultaneously accelerating OpenVG and SVG tiny with multimedia hardware,Computer Standards & Interfaces
phone_cpu,Resource Usage Analysis of a Mobile Banking Application using Sensor-and-Touchscreen-Based Continuous Authentication,Procedia Computer Science
phone_cpu,Analysis of multi cloud storage applications for resource constrained mobile devices,Perspectives in Science
phone_cpu,11: Recycling of electronic wastes,Recycling and Reusing of Engineering Materials
phone_cpu,Highly scalable Erlang framework for agent-based metaheuristic computing,Journal of Computational Science
phone_cpu,Content evaluation of different waste PCBs to enhance basic metals recycling,"Resources, Conservation and Recycling"
phone_cpu,An efficient complexity reduction algorithm for G.729 speech codec,Computers & Mathematics with Applications
phone_cpu,Thermal effects of mobile phones on human auricle region,Journal of Thermal Biology
phone_cpu,Design and implementation of wireless PKI technology suitable for mobile phone in mobile-commerce,Computer Communications
phone_cpu,Computational Models of Laryngeal Aerodynamics: Potentials and Numerical Costs,Journal of Voice
phone_cpu,User-aware partitioning algorithm for mobile cloud computing based on maximum graph cuts,Computer Networks
phone_cpu,Stateless generation of distributed virtual worlds,Computers & Graphics
phone_cpu,Energy efficient streaming for smartphone by video adaptation and backlight control,Computer Networks
phone_cpu,Chapter 6: How Microcomputers Work: The Brains of Every Electronic Product Today,Electronics Explained
phone_cpu,An innovative hybrid hydrometallurgical approach for precious metals recovery from secondary resources,Journal of Environmental Management
phone_cpu,Chapter 6: The role of contamination in the failure of electronics—case studies,Handbook of Materials Failure Analysis
phone_cpu,"Intrusion detection for mobile devices using the knowledge-based, temporal abstraction method",Journal of Systems and Software
phone_cpu,Chapter 30: eMMC Reading and In-System Programming,Seeking the Truth from Mobile Evidence
phone_cpu,AlexVG: An OpenVG implementation with SVG-Tiny support,Computer Standards & Interfaces
phone_cpu,Fansmitter: Acoustic data exfiltration from air-Gapped computers via fans noise,Computers & Security
phone_cpu,An app performance optimization advisor for mobile device app marketplaces,Sustainable Computing: Informatics and Systems
phone_cpu,Tomato leaf segmentation algorithms for mobile phone applications using deep learning,Computers and Electronics in Agriculture
phone_cpu,Effect of a chronic GSM 900MHz exposure on glia in the rat brain,Biomedicine & Pharmacotherapy
phone_cpu,Flexible and Adaptive Services in Pervasive Computing,Advances in Computers
phone_cpu,Internet of Things as a Service (iTaaS): Challenges and solutions for management of sensor data on the cloud and the fog,Internet of Things
phone_cpu,Cloud-based scalable object detection and classification in video streams,Future Generation Computer Systems
phone_cpu,Optimal electronic waste combination for maximal recovery of Cu-Ni-Fe by Acidithiobacillus ferrooxidans,Journal of Cleaner Production
phone_cpu,Fast adaptive motion estimation algorithm and its efficient VLSI system for high definition videos,Expert Systems with Applications
phone_cpu,A fast HMM match algorithm for very large vocabulary speech recognition,Speech Communication
phone_cpu,New threats this year,Computer Fraud & Security
phone_cpu,Abstracts of Recent Articles and Literature,Computers & Security
