keyword,title,publication
phone_energy,Enhancing energy access in rural areas: Intelligent microgrid management for universal telecommunications and electricity,Cleaner Energy Systems
phone_energy,"The impact of phone use on energy poverty: Evidence from Tibet, China",Energy for Sustainable Development
phone_energy,Robustness of a pacemaker to control chaotic oscillations in a two-mass model of the vocal folds under turbulence and muscle twitch fluctuations and vocal tremor,Communications in Nonlinear Science and Numerical Simulation
phone_energy,Bio-effects of 5th generation electromagnetic waves on organs of human beings,Global Health Journal
phone_energy,What does clean energy attract? Evidence from the transfer structure of energy-intensive projects in China,Renewable Energy
phone_energy,Washable and anti-impact conductive cellulose yarn-based energy meta-textile against harsh environments,Applied Materials Today
phone_energy,How to obtain customer requirements for each stage of the product life cycle from online reviews: Using mobile phones as an example,Journal of Retailing and Consumer Services
phone_energy,Recycling lithium-ion batteries: A review of current status and future directions,Sustainable Chemistry One World
phone_energy,Design and performance analysis of a rectenna system for charging a mobile phone from ambient EM waves,Heliyon
phone_energy,Is solar power an emergency solution to electricity access? Findings from the largest Rohingya refugee camps,Energy Research & Social Science
phone_energy,Effect of frequency on activation energy and its role in producing piezoelectricity for Ruddlesden Popper oxide Ba2SnO4,Materials Chemistry and Physics
phone_energy,A model predictive control approach for energy saving optimization of an electronic assembly line,Journal of Cleaner Production
phone_energy,Controlling chaotic vocal fold oscillations in the numerical production of vowel sounds,"Chaos, Solitons & Fractals"
phone_energy,Dataset of mechanically induced thermal runaway measurement and severity level on Li-ion batteries,Data in Brief
phone_energy,Design and construction of a foam-based piezoelectric energy harvester,"e-Prime - Advances in Electrical Engineering, Electronics and Energy"
phone_energy,Peer to peer solar energy sharing system for rural communities,Cleaner Energy Systems
phone_energy,Locally charged: Energy justice outcomes of a low-income community solar project in Michigan,Energy Research & Social Science
phone_energy,Resiliency Evaluation of Sheltering in a Net-zero Energy House During Summer Power Outage,Building and Environment
phone_energy,Effect of polypyrrole-derived N-doped carbon coating on the sodium storage properties of NiCo2S4 synthesized by recycling discarded mobile phone batteries,Ceramics International
phone_energy,Dual-mode electromagnetic-triboelectric-piezoelectric multifunctional self-charging energy system for efficient capture of kinetic energy,Nano Energy
phone_energy,"Eco-friendly, compact, and cost-efficient triboelectric nanogenerator for renewable energy harvesting and smart motion sensing",Heliyon
phone_energy,High-performance aqueous rechargeable NiCo//Zn battery with molybdate anion intercalated CoNi-LDH@CP bilayered cathode,Journal of Colloid and Interface Science
phone_energy,"Strength in Unity: Designing of hybrid heterostructure (NiSe2/rGO/PANI) electrode towards high Performance, Flexible, asymmetric supercapacitor device for renewable energy storage",Chemical Engineering Journal
phone_energy,A membrane-based plasma separator coupled with ratiometric fluorescent sensor for biochemical analysis in whole blood,Chinese Chemical Letters
phone_energy,High performance photothermal carbon nanotubes/nanostructured hydrogel for solar electricity production and solar water sterilization,Applied Surface Science
phone_energy,SMS based reservoir condition monitoring sensor system for pumped hydro storage in mini-grids,Measurement: Sensors
phone_energy,"An easy and efficient power generator with ultrahigh voltage for lighting, charging and self-powered systems",Nano Energy
phone_energy,Aqueous battery fiber with high volumetric and areal power density for flexible electronics,Device
phone_energy,Assessment of the complete chain evolution process of LIBs from micro internal short circuit failure to thermal runaway under mechanical abuse conditions,Process Safety and Environmental Protection
phone_energy,Approach in development and implementation of automatic control system in a smart building,Energy and Buildings
phone_energy,Self-charging power module for multidirectional ultra-low frequency mechanical vibration monitoring and energy harvesting,Applied Energy
phone_energy,"Aging mechanisms, prognostics and management for lithium-ion batteries: Recent advances",Renewable and Sustainable Energy Reviews
phone_energy,Energy–Aware security protocol for IoT devices,Pervasive and Mobile Computing
