keyword,title,publication
phone_issue,"Demographic characteristics and trends of cell phone use while driving citations in selected states in the United States, 2010–2020",Traffic Injury Prevention
phone_issue,Is it all about mobile phones? Exploring drivers’ perceptions of government information and road rules on distracted driving,Accident Analysis & Prevention
phone_issue,Expanding the Associations between Built Environment Characteristics and Residential Mobility in High-Density Neighborhood Unit,Sustainable Cities and Society
phone_issue,"Do screen time and social media use affect sleep patterns, psychological health, and academic performance among adolescents? evidence from bibliometric analysis",Children and Youth Services Review
phone_issue,Selection of disassembly schemes for multiple types of waste mobile phones based on knowledge reuse and disassembly line balancing,Journal of Manufacturing Systems
phone_issue,Nomophobia (no-mobile-phone phobia) among the undergraduate medical students,Heliyon
phone_issue,Human behavioral response to earthquake early warnings (EEW): Are alerts received on mobile phones inhibiting protective actions?,International Journal of Disaster Risk Reduction
phone_issue,A portable hydrogel kit based on Au@GM88A/I combined with mobile phone for polychromatic semi-quantitative and quantitative sensing analysis,Biosensors and Bioelectronics
phone_issue,Revisiting the effect of information and communication technologies on employment growth in Ghana: The role of enterprise formality,Scientific African
phone_issue,"How do perceptions of others’ approval of, and engagement in, hand-held phone use influence young drivers? A mixed-method study",Safety Science
phone_issue,GD-YOLO: An improved convolutional neural network architecture for real-time detection of smoking and phone use behaviors,Digital Signal Processing
phone_issue,Farmers’ perceived rating and usability attributes of agricultural mobile phone apps,Smart Agricultural Technology
phone_issue,Mobile phone-assisted imprinted nanozyme for bicolor colorimetric visual detection of erythromycin in river water and milk samples,Food Chemistry
phone_issue,Les troubles de l’oralité alimentaire,Motricité Cérébrale
phone_issue,Dose conversion in retrospective dosimetry: results and implications from an inter-laboratory comparison featuring a realistic exposure scenario,Radiation Measurements
phone_issue,"4.05: Cell phone-based health systems for remote access—Evolution, capabilities, applications and impact for precision medicine and beyond",Comprehensive Precision Medicine
phone_issue,Spatial variation of bus stop crime response to changes in the surrounding environment and transit level of service,Latin American Transport Studies
phone_issue,The longitudinal relationships between problematic smartphone use and anxiety symptoms among Chinese college students: A cross-lagged panel network analysis,Addictive Behaviors
phone_issue,A tensor based price evaluation approach for the used mobile phone recycling,Expert Systems with Applications
phone_issue,Accounting for continuous correlations among alternatives in the context of spatial choice modelling using high resolution mobility data,Transportmetrica A Transport Science
phone_issue,"Examining strategies, policies, and guidance for addressing wrong-way driving in the United States: A comprehensive national survey",Journal of Safety Research
phone_issue,Mobile phone specific radiation disturbs cytokinesis and causes cell death but not acute chromosomal damage in buccal cells: Results of a controlled human intervention study,Environmental Research
phone_issue,Adaptation and validation of the Moroccan dialect version of the nomophobia questionnaire (NMP-Q): Among university students,Heliyon
phone_issue,GraphPowerNet: Graph-based power consumption profiling for mobile phone applications,Computer Networks
phone_issue,"Surveying aircraft operators about aviation safety in Alaska: Survey Development, Design, Methodology, and Administration",Transportation Research Interdisciplinary Perspectives
phone_issue,A Meta-Analysis of Self-Regulation and Digital Recreation from Birth to Adolescence,Computers in Human Behavior
phone_issue,Industrial innovation processes and societal challenges: How Telenor's mobile phone data became a tool for fighting pandemics,Technological Forecasting and Social Change
phone_issue,Decomposition of travel time expenditure through individual mobility trajectories based on mobile phone signaling data,Travel Behaviour and Society
phone_issue,Analysis of user acceptance of information and communications technology for electrical safety inspection based on a choice experiment and hierarchical Bayesian model,Technological Forecasting and Social Change
phone_issue,Targeted use of postoperative discharge phone calls to reduce early readmission rates,Journal of Vascular Surgery
phone_issue,TelcoID: Mobile Network Operators as Identity Providers,Procedia Computer Science
phone_issue,Assessing the socio-demographic representativeness of mobile phone application data,Applied Geography
phone_issue,Optimizing performance for cooling electronic components using innovative heterogeneous materials,Applied Energy
phone_issue,Effects of aerobic exercise or Tai Chi Chuan interventions on problematic mobile phone use and the potential role of intestinal flora: A multi-arm randomized controlled trial,Journal of Psychiatric Research
phone_issue,Exploring 2-D temporal patterns of individual mobility using non-negative matrix factorization,Transportation Research Procedia
phone_issue,Predicting stress levels for smartphone users using transfer learning induced residual net,Entertainment Computing
phone_issue,Online exercise added to ergonomic advice for reducing habitual upper body postures: A randomized trial,Musculoskeletal Science and Practice
phone_issue,Cooling with the sun: Empowering off-grid communities in developing countries with solar-powered cold storage systems,Energy Research & Social Science
phone_issue,Validation of a modified problematic use of mobile phones scale to examine problematic smartphone use and dependence,Heliyon
phone_issue,"A multi-mode self-centering piezo actuator: design, analysis and its application in full-stroke microscopic imaging",Mechanical Systems and Signal Processing
phone_issue,"Technology, intimacy and motherhood",New Techno Humanities
phone_issue,The impact of excessive use of smart portable devices on neck pain and associated musculoskeletal symptoms. Prospective questionnaire-based study and review of literature,Interdisciplinary Neurosurgery
phone_issue,Mobile phone use while driving in Finland,Transportation Research Part F: Traffic Psychology and Behaviour
phone_issue,Designing a sustainable reverse logistics network for used cell phones based on offline and online trading systems,Journal of Environmental Management
phone_issue,The effects of participating in digital ride-hailing on taxi drivers’ business operations,Transportation Research Part A: Policy and Practice
phone_issue,Multi-objective disassembly line balancing and related supply chain management problems under uncertainty: Review and future trends,International Journal of Production Economics
phone_issue,Dataset of mechanically induced thermal runaway measurement and severity level on Li-ion batteries,Data in Brief
phone_issue,Methods for monitoring urban street litter: a comparison of municipal audits and an app-based citizen science approach,Environmental Science Advances
phone_issue,The monitoring requests on young driver’s fatigue and take-over performance in prolonged conditional automated driving,Journal of Safety Research
phone_issue,Application of the local colocation quotient method in jobs-housing balance measurement based on mobile phone data: A case study of Nanjing City,"Computers, Environment and Urban Systems"
phone_issue,“It is a different type of policing than in the bush”: Police officers’ perceptions of the differences in enforcement of the phone use while driving legislation in rural and urban areas,Accident Analysis & Prevention
phone_issue,A data fusion approach with mobile phone data for updating travel survey-based mode split estimates,Transportation Research Part C: Emerging Technologies
phone_issue,Survey of perioperative utilization of professional medical interpreters for limited-English proficient patients: Towards a framework for systems-level improvement,Perioperative Care and Operating Room Management
phone_issue,Prevalence of insomnia and use of sleep aids among adults in Canada,Sleep Medicine
phone_issue,Analysis and Modeling of Mobile Phone Activity Data Using Interactive Cyber-Physical Social System,"Computers, Materials and Continua"
phone_issue,Occupational hand trauma – Mechanism of injury and transient risk factors in Jerusalem,Injury
phone_issue,Abrasion-wear resistance of precarbonated and water-cured concrete made using ABS plastic derived from waste electrical and electronic equipment,Cement and Concrete Research
phone_issue,Road traffic noise exposure assessment based on spatiotemporal data fusion,Transportation Research Part D: Transport and Environment
phone_issue,Exploring the obstacles towards the creation of a circular economy: Replacement and reuse of mobile phones in Greater Mexico City,Journal of Cleaner Production
phone_issue,An Epidemiological Study of Cell Phone-Related Injuries of the Hand and Wrist Reported in United States Emergency Departments From 2011 to 2020,Journal of Hand Surgery Global Online
phone_issue,Valorization of e-waste via supercritical water technology: An approach for obsolete mobile phones,Chemosphere
phone_issue,Pharmacist initiated interventions using RxChange message communication with prescribers for electronic prescriptions: A retrospective descriptive study,Journal of the American Pharmacists Association
phone_issue,"Crowdsourcing data interpretation for the response to the first public tsunami alert in the Mediterranean sea, after the October 30th, 2020 earthquake (Mw7.0), Samos, Greece",International Journal of Disaster Risk Reduction
phone_issue,A smartphone-adaptable fluorescent probe for visual monitoring of fish freshness and its application in fluorescent dyes,Food Chemistry
phone_issue,A multiple criteria Bayesian hierarchical model for analyzing heterogeneous consumer preferences,Omega
phone_issue,Rising to the Occasion: A National Nursing Home Study Documenting Attempts to Address Social Isolation During the COVID-19 Pandemic,Journal of the American Medical Directors Association
phone_issue,Residential differentiation characteristics based on “socio-spatial” coupling: A case study of Zhengzhou,Applied Geography
phone_issue,"Mobile phones, women's physical mobility, and contraceptive use in India",Social Science & Medicine
phone_issue,Can you spot a scam? Measuring and improving scam identification ability,Journal of Development Economics
