keyword,title,publication
phone_lag,The longitudinal relationships between problematic smartphone use and anxiety symptoms among Chinese college students: A cross-lagged panel network analysis,Addictive Behaviors
phone_lag,The relationship between mobile phone addiction and time management disposition among Chinese college students：A cross-lagged panel model,Heliyon
phone_lag,The longitudinal relationships between problematic mobile phone use symptoms and negative emotions: a cross-lagged panel network analysis,Comprehensive Psychiatry
phone_lag,Interplay of mobile phone dependency and catch-up sleep in South Korean youth: A seven-wave study of two nationally representative cohorts,Computers in Human Behavior
phone_lag,Does supply match demand? Assessing the relationship between urban parks and residents from the perspective of equity and efficiency,Urban Forestry & Urban Greening
phone_lag,The reciprocal relationship between mobile phone dependence and school adaptation in Korean adolescents: Autoregressive cross-lagged modeling,Acta Psychologica
phone_lag,Longitudinal associations between cyber victimization and problematic mobile phone use in adolescents: Disentangling between-person effects from within-person effects,Child Abuse & Neglect
phone_lag,"Time trends in mobile phone use and glioma incidence among males in the Nordic Countries, 1979–2016",Environment International
phone_lag,Does the digital economy improve female employment? A cross-country panel data analysis,Heliyon
phone_lag,Monitoring ambient air pollution and pulmonary function in asthmatic children by mobile applications in COVID-19 pandemic,International Journal of Hygiene and Environmental Health
phone_lag,EHR-Driven Delivery of EPA Assessments Significantly Improves Participation,Journal of Surgical Education
phone_lag,"Revealing safety impact of bus stops on passenger-cyclist interactions – Evidence from Nanjing, China",Travel Behaviour and Society
phone_lag,Evaluation of the impact of a digital care navigator on increasing patient registration with digital mental health interventions in routine care,Internet Interventions
phone_lag,Evaluation of a smartphone application for self-rehabilitation after anterior cruciate ligament reconstruction during a COVID-19 lockdown,Orthopaedics & Traumatology: Surgery & Research
phone_lag,Academic procrastination precedes problematic mobile phone use in Chinese adolescents: A longitudinal mediation model of distraction cognitions,Addictive Behaviors
phone_lag,The boredom proneness levels of Chinese college students increased over time: A meta-analysis of birth cohort differences from 2009 to 2020,Personality and Individual Differences
phone_lag,Smart Phone/Ecological Momentary Assessment of Sleep and Daytime Symptoms Among Older Adults With Insomnia,The American Journal of Geriatric Psychiatry
phone_lag,Social and spatial disparities in individuals’ mobility response time to COVID-19: A big data analysis incorporating changepoint detection and accelerated failure time models,Transportation Research Part A: Policy and Practice
phone_lag,Assessing the short-term effects of ozone exposure on the indicator of pharmacy visits in Nanjing based on mobile phone big data,Journal of Cleaner Production
phone_lag,Depressive symptoms anticipate behavioral and emotional factors among older adults: A prospective cross-lagged panel design,Psychiatry Research Communications
phone_lag,A time-lagged study of two possible routes from personal innovativeness to life satisfaction in adolescents: Learning and social interaction on mobile phones,Personality and Individual Differences
phone_lag,Efficiency and equality of the multimodal travel between public transit and bike-sharing accounting for multiscale,Sustainable Cities and Society
phone_lag,The effect of population mobility on COVID-19 incidence in 314 Latin American cities: a longitudinal ecological study with mobile phone location data,The Lancet Digital Health
phone_lag,Reciprocal longitudinal relations between peer victimization and mobile phone addiction: The explanatory mechanism of adolescent depression,Journal of Adolescence
phone_lag,Business exit during the COVID-19 pandemic: Non-traditional measures in historical context,Journal of Macroeconomics
phone_lag,Serial and strategic memory processes in goal-directed selective remembering,Cognition
phone_lag,The reciprocal longitudinal relationships between mobile phone addiction and depressive symptoms among Korean adolescents,Computers in Human Behavior
phone_lag,Association between immigrant concentration and mental health service utilization in the United States over time: A geospatial big data analysis,Health & Place
phone_lag,Gap acceptance behavior at unsignalized intersections: Effects of using a phone and a music player while driving,Traffic Injury Prevention
phone_lag,Investigating jaywalker crossing risks from the sequential-conflict perspective: A grouped random parameters generalized ordered probit model,Accident Analysis & Prevention
phone_lag,Mismatch of morphological and functional polycentricity in Chinese cities: An evidence from land development and functional linkage,Land Use Policy
phone_lag,How do new entrants’ pre-entry technological backgrounds impact their cross-industry innovation performances? A retrospective study of the mobile phone vendors,Technovation
phone_lag,Has the incidence of brain cancer risen in Australia since the introduction of mobile phones 29 years ago?,Cancer Epidemiology
phone_lag,Texting's consequences for romantic relationships: A cross-lagged analysis highlights its risks,Computers in Human Behavior
