keyword,title,publication
phone_latency,"The association between sex-specific typologies of mobile phone addiction, alexithymia and negative emotions among college students: A latent profile analysis",Children and Youth Services Review
phone_latency,Assessing the impact of summer heat on the movement of people in Tokyo based on mobile phone location data,Building and Environment
phone_latency,Parents’ desire to change phone use: Associations with objective smartphone use and feelings about problematic use and distraction,Computers in Human Behavior
phone_latency,"Perils, power and promises: Latent profile analysis on the attitudes towards artificial intelligence (AI) among middle-aged and older adults in Hong Kong",Computers in Human Behavior: Artificial Humans
phone_latency,SAFERIDES: Application of decentralized control edge-computing to ridesharing monitoring services,International Journal of Information Management Data Insights
phone_latency,Evaluation of the impact of a digital care navigator on increasing patient registration with digital mental health interventions in routine care,Internet Interventions
phone_latency,Edge computing-based Generative Adversarial Network for photo design style transfer using conditional entropy distance,Computer Communications
phone_latency,Real-time visualization of latent fingermarks with level 3 details based on a solid state emissive organic fluorophore using the powder dusting method,Materials Advances
phone_latency,"Can consumer big data reveal often-overlooked urban poverty? Evidence from Guangzhou, China","Computers, Environment and Urban Systems"
phone_latency,Defining ‘seamlessly connected’: user perceptions of operation latency in cross-device interaction,International Journal of Human-Computer Studies
phone_latency,Latency and geofence testing of wireless emergency alerts intended for the ShakeAlert® earthquake early warning system for the West Coast of the United States of America,Safety Science
phone_latency,Optimizing performance for cooling electronic components using innovative heterogeneous materials,Applied Energy
phone_latency,Unsupervised anomaly detection by densely contrastive learning for time series data,Neural Networks
phone_latency,Cell phone-related driver distraction: Habits predict behavior over and above the theory of planned behavior variables,Accident Analysis & Prevention
phone_latency,"Underreported trips, a non-negligible empirical effect of traditional survey methods – A new weighting procedure of data enriching to overcome this bias",Transportation Research Procedia
phone_latency,The influence of parental autonomy support on cyberbullying victimization of high school students: A latent moderation analysis,Acta Psychologica
phone_latency,Efficient fruit disease diagnosis on resource-constrained agriculture devices,Journal of the Saudi Society of Agricultural Sciences
phone_latency,Investigating the impact of environmental and temporal features on mobile phone distracted driving behavior using phone use data,Accident Analysis & Prevention
phone_latency,Optimizing point-of-sale services in MEC enabled near field wireless communications using multi-agent reinforcement learning,Computer Communications
phone_latency,Phonation-induced Upper Esophageal Sphincter Contraction Caused by Different Phonation Types,Journal of Voice
phone_latency,A data fusion approach with mobile phone data for updating travel survey-based mode split estimates,Transportation Research Part C: Emerging Technologies
phone_latency,Full wireless goniometer design with activity recognition for upper and lower limb,Microprocessors and Microsystems
phone_latency,Reduced subjective sleep quality in people rating themselves as electro-hypersensitive: An observational study,Sleep Medicine
phone_latency,An expert system for hybrid edge to cloud computational offloading in heterogeneous MEC–MCC environments,Journal of Network and Computer Applications
phone_latency,D-wash – A dynamic workload aware adaptive cache coherance protocol for multi-core processor system,Microelectronics Journal
phone_latency,Texting and crossing: An extended theory of planned behaviour to model the psychological and demographic factors related to pedestrians' use of cell phone for texting at crosswalks in developing country,IATSS Research
phone_latency,Economic value and latent demand for agricultural drought forecast: Emerging market for weather and climate information in Central-Southern Nigeria,Climate Risk Management
phone_latency,Deadline-aware multi-objective IoT services placement optimization in fog environment using parallel FFD-genetic algorithm,Pervasive and Mobile Computing
phone_latency,My Latent Tuberculosis Treatment - mobile application to assist in adherence to latent tuberculosis treatment,Procedia Computer Science
phone_latency,Association between trajectories of problematic mobile phone use and chronotype among Chinese college students,Addictive Behaviors
phone_latency,Learning and controlling the source-filter representation of speech with a variational autoencoder,Speech Communication
phone_latency,Awareness of user mobility in Named Data Networking for IoT traffic under the push communication mode,Journal of Network and Computer Applications
phone_latency,"Comparison of Patient Health Questionnaire-9, Edinburgh Postnatal Depression Scale and Hospital Anxiety and Depression – Depression subscale scores by administration mode: An individual participant data differential item functioning meta-analysis",Journal of Affective Disorders
phone_latency,Patient preferences and willingness-to-pay for community pharmacy-led Medicare Part D consultation services: A discrete choice experiment,Research in Social and Administrative Pharmacy
phone_latency,The prevalence of bad posture and musculoskeletal symptoms originating from the use of gadgets as an impact of the work from home program of the university community,Heliyon
phone_latency,Smart Phone/Ecological Momentary Assessment of Sleep and Daytime Symptoms Among Older Adults With Insomnia,The American Journal of Geriatric Psychiatry
phone_latency,Deep Transfer Learning Models for Mobile-Based Ocular Disorder Identification on Retinal Images,"Computers, Materials and Continua"
phone_latency,Digital media use and sleep in late adolescence and young adulthood: A systematic review,Sleep Medicine Reviews
phone_latency,"Mobile phone use addiction, insomnia, and depressive symptoms in adolescents from ethnic minority areas in China: A latent variable mediation model",Journal of Affective Disorders
