keyword,title,publication
phone_launch,Education of trauma patients on opioids and pain management: A quality improvement project,Surgery
phone_launch,A method for the competitiveness estimation of the incremental new product through user-generated content,Decision Support Systems
phone_launch,Concentration and distribution patterns of rare earth elements (REEs) in stream sediments of Pakistan,Journal of Geochemical Exploration
phone_launch,European standard internal telephone number 2222 for in-hospital emergency calls: A national survey in all French military training hospitals,Resuscitation Plus
phone_launch,A mobile application for STEMI care optimization: Pilot implementation project report,International Journal of Cardiology
phone_launch,Reducing post-operative caregiver after-hours phone calls to pediatric urology providers: A quality improvement study,Journal of Pediatric Urology
phone_launch,Stationary versus mobile parcel lockers: Which self-service technology moves the consumers in the last mile of urban areas?,Travel Behaviour and Society
phone_launch,The hidden dangers lurking at home: Unveiling the prevalence of leftover antibiotics and its associated factors among Lebanese households,Public Health in Practice
phone_launch,Chapter 3: Introduction to ultra wide band (UWB) systems,Power Transformer Online Monitoring Using Electromagnetic Waves
phone_launch,A comprehensive electronic health record-enabled smoking treatment program: Evaluating reach and effectiveness in primary care in a multiple baseline design,Preventive Medicine
phone_launch,The High Impact of Low Intensity: Effectiveness of the BounceBack Program for Depression and Anxiety in Ontario,Behavior Therapy
phone_launch,A Patient-Centered Intervention Reduces Disparities in Remote Monitoring in Patients With Implanted Cardiac Devices,JACC: Clinical Electrophysiology
phone_launch,A survey on security analysis of Amazon echo devices,High-Confidence Computing
phone_launch,Pre- and post-launch emotions in new product development: Insights from twitter analytics of three products,International Journal of Information Management
phone_launch,An XGBoost approach to detect driver visual distraction based on vehicle dynamics,Traffic Injury Prevention
phone_launch,The Role and Impact of Faith-Based Organisations in the Management of and Response to COVID-19 in Low-Resource Settings,Religion and Development
phone_launch,Computational approaches for solving two-echelon vehicle and UAV routing problems for post-disaster humanitarian operations,Expert Systems with Applications
phone_launch,Improved Aliivibrio fischeri based-toxicity assay: Graphene-oxide as a sensitivity booster with a mobile-phone application,Journal of Hazardous Materials
