keyword,title,publication
phone_memory,The effects of radiofrequency exposure on cognition: A systematic review and meta-analysis of human observational studies,Environment International
phone_memory,VolMemDroid—Investigating android malware insights with volatile memory artifacts,Expert Systems with Applications
phone_memory,Activity-based model based on long short-term memory network and mobile phone signalling data,Transportmetrica A Transport Science
phone_memory,"Traffic crash prediction in Kano, Nigeria: multivariate long short-term memory method",Proceedings of the Institution of Civil Engineers - Transport
phone_memory,"Pain, anxiety and fear related to oral biopsies: a pilot study","Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology"
phone_memory,A new cognitive model of long-term memory for intentions,Cognition
phone_memory,The influence of memory for and affective response to health messages on self-care behavioral intentions,Human Factors in Healthcare
phone_memory,Die area recovery to record a resistive memory in a memristive crossbar array,AEU - International Journal of Electronics and Communications
phone_memory,Research on the influence of thermal radiation of cell phone system on the structure and safety of lithium-ion battery,Journal of Power Sources
phone_memory,Spatio-temporal representation learning enhanced source cell-phone recognition from speech recordings,Journal of Information Security and Applications
phone_memory,A GPU-accelerated real-time human voice separation framework for mobile phones,Journal of Systems Architecture
phone_memory,Social media use while listening to new material negatively affects short-term memory in college students,Physiology & Behavior
phone_memory,Moving beyond the content: The role of contextual cues in the effectiveness of gamification of advertising,Journal of Business Research
phone_memory,Driver distraction detection based on vehicle dynamics using naturalistic driving data,Transportation Research Part C: Emerging Technologies
phone_memory,MPEG/H256 video encoder with 6T/8T hybrid memory architecture for high quality output at lower supply,"Memories - Materials, Devices, Circuits and Systems"
phone_memory,A novel autonomous vehicle interface for older adults with cognitive impairment,Applied Ergonomics
phone_memory,Automated detection of abnormal respiratory sound from electronic stethoscope and mobile phone using MobileNetV2,Biocybernetics and Biomedical Engineering
phone_memory,Using space to remember: Short-term spatial structure spontaneously improves working memory,Cognition
phone_memory,Implicit IoT authentication using on-phone ANN models and breathing data,Internet of Things
phone_memory,A lightweight convolutional neural network for automated crack inspection,Construction and Building Materials
phone_memory,Deep Transfer Learning Models for Mobile-Based Ocular Disorder Identification on Retinal Images,"Computers, Materials and Continua"
phone_memory,Digital forensic analysis of the private mode of browsers on Android,Computers & Security
phone_memory,Chaining models of serial recall can produce positional errors,Journal of Mathematical Psychology
phone_memory,Mental health and wayfinding,Transportation Research Part F: Traffic Psychology and Behaviour
phone_memory,Home is just a phone away: Mobile phones and severity of social pain experiences,Poetics
phone_memory,Study on objectivity of mobile phone preferences: the MCDA analysis,Procedia Computer Science
phone_memory,Cache Memory Design for Single Bit Architecture with Different Sense Amplifiers,"Computers, Materials and Continua"
phone_memory,Motico: An attentional mechanism network model for smart aging disease risk prediction based on image data classification,Computers in Biology and Medicine
phone_memory,Serial and strategic memory processes in goal-directed selective remembering,Cognition
phone_memory,"Memory performance, wireless communication and exposure to radiofrequency electromagnetic fields: A prospective cohort study in adolescents",Environment International
phone_memory,On Working Memory and a Productivity Illusion in Distracted Driving,Journal of Applied Research in Memory and Cognition
phone_memory,Exposure to GSM 900-MHz mobile radiation impaired inhibitory avoidance memory consolidation in rat: Involvements of opioidergic and nitrergic systems,Brain Research
phone_memory,Utilization of two types of feature datasets with image-based and time series deep learning models in recognizing walking status and revealing personal identification,Advanced Engineering Informatics
phone_memory,Chapter 2: Foundation of cognitive science,"Cognitive Science, Computational Intelligence, and Data Analytics"
phone_memory,"Domain wall memory: Physics, materials, and devices",Physics Reports
