keyword,title,publication
phone_performance,Compensating for the Mobile Menace With Extra Effort: a Pupillometry Investigation of the Mere Presence Effect of Smartphones,Biological Psychology
phone_performance,"Do screen time and social media use affect sleep patterns, psychological health, and academic performance among adolescents? evidence from bibliometric analysis",Children and Youth Services Review
phone_performance,Activity type detection of mobile phone data based on self-training: Application of the teacher–student cycling model,Transportation Research Part C: Emerging Technologies
phone_performance,Effect of polypyrrole-derived N-doped carbon coating on the sodium storage properties of NiCo2S4 synthesized by recycling discarded mobile phone batteries,Ceramics International
phone_performance,The monitoring requests on young driver’s fatigue and take-over performance in prolonged conditional automated driving,Journal of Safety Research
phone_performance,Effects of mobile phone-related distraction on driving performance at roundabouts: Eye movements tracking perspective,Heliyon
phone_performance,Spatio-temporal representation learning enhanced source cell-phone recognition from speech recordings,Journal of Information Security and Applications
phone_performance,Effectiveness of a dispatcher-assisted CPR using an animated image: Simulation study,The American Journal of Emergency Medicine
phone_performance,Detection of color phenotype in strawberry germplasm resources based on field robot and semantic segmentation,Computers and Electronics in Agriculture
phone_performance,Meta-learning for few-shot sensor self-calibration to increase stress robustness,Engineering Applications of Artificial Intelligence
phone_performance,Persistent effects of mobile phone conversation while driving after disconnect: Physiological evidence and driving performance,Heliyon
phone_performance,EDU_VACCINE app: Mobile application for public health students and health educators,Medical Journal Armed Forces India
phone_performance,"The association between real-life markers of phone use and cognitive performance, health-related quality of life and sleep",Environmental Research
phone_performance,Recovery of precious metals from mobile phone waste: Studies on leaching and adsorption by functionalized activated carbon,Results in Engineering
phone_performance,High-strength low-k glass–ceramic composite covers for 6G communication mobile devices,Ceramics International
phone_performance,GD-YOLO: An improved convolutional neural network architecture for real-time detection of smoking and phone use behaviors,Digital Signal Processing
phone_performance,Revisiting the effect of information and communication technologies on employment growth in Ghana: The role of enterprise formality,Scientific African
phone_performance,Utilizing mobile phone sensors and machine learning to detect drivers through right leg motion,Computers and Electrical Engineering
phone_performance,"Relation between Orotracheal Intubation, Inflammatory Markers, Breathing and Voice in Post-COVID-19",Journal of Voice
phone_performance,Research on cutting performance and tool life improvement methods of titanium alloy ultra-high speed milling tools,Journal of Manufacturing Processes
phone_performance,A smart tablet-phone-based high-performance pancreatic cancer cell biosensing system for drug screening,Talanta
phone_performance,Examining the Chinese mobile phone industry in the reverse supply chains,Computers & Industrial Engineering
phone_performance,Designing high performance hydrogel sensor for real-time sensing applications,Microchemical Journal
phone_performance,Evaluation of Immediate Effects of Straw Phonation Exercise and Determination of the Ideal Performance Time in Healthy Adults,Journal of Voice
phone_performance,Optimizing performance for cooling electronic components using innovative heterogeneous materials,Applied Energy
phone_performance,A new adversarial malware detection method based on enhanced lightweight neural network,Computers & Security
phone_performance,Agent-based simulation of non-urgent egress from mass events in open public spaces,Simulation Modelling Practice and Theory
phone_performance,A multi-stage transfer learning strategy for diagnosing a class of rare laryngeal movement disorders,Computers in Biology and Medicine
phone_performance,"Automated defect identification for cell phones using language context, linguistic and smoke-word models",Expert Systems with Applications
phone_performance,The effect of mobile phone ringtone on visual recognition during driving: Evidence from laboratory and real-scene eye movement experiments,Traffic Injury Prevention
phone_performance,Driver distraction and in-vehicle interventions: A driving simulator study on visual attention and driving performance,Accident Analysis & Prevention
phone_performance,Structural vibration performance test based on smart phone and improved comfort evaluation method,Measurement
phone_performance,Enhancing MPTCP performance in wireless networks with PRS-MPTCP,Ad Hoc Networks
