keyword,title,publication
phone_storage,Cooling with the sun: Empowering off-grid communities in developing countries with solar-powered cold storage systems,Energy Research & Social Science
phone_storage,"Mobile phone adoption, deforestation, and agricultural land use in Uganda",World Development
phone_storage,Tailoring traps in Eu2+ activated persistent phosphors for multilevel information storage and encryption,Materials Today Chemistry
phone_storage,SMS based reservoir condition monitoring sensor system for pumped hydro storage in mini-grids,Measurement: Sensors
phone_storage,Effect of polypyrrole-derived N-doped carbon coating on the sodium storage properties of NiCo2S4 synthesized by recycling discarded mobile phone batteries,Ceramics International
phone_storage,HPCLS-BC: A novel blockchain framework using heterogeneous peer-node and cloud-based ledger storage for Internet of Things applications,Future Generation Computer Systems
phone_storage,Dataset of mechanically induced thermal runaway measurement and severity level on Li-ion batteries,Data in Brief
phone_storage,"Strength in Unity: Designing of hybrid heterostructure (NiSe2/rGO/PANI) electrode towards high Performance, Flexible, asymmetric supercapacitor device for renewable energy storage",Chemical Engineering Journal
phone_storage,Enhancing energy access in rural areas: Intelligent microgrid management for universal telecommunications and electricity,Cleaner Energy Systems
phone_storage,OSL signal of electronic components from portable radios for radiation accident dosimetry,Radiation Measurements
phone_storage,Resiliency Evaluation of Sheltering in a Net-zero Energy House During Summer Power Outage,Building and Environment
phone_storage,Analysis and Modeling of Mobile Phone Activity Data Using Interactive Cyber-Physical Social System,"Computers, Materials and Continua"
phone_storage,Fishery waste-driven piezo-capacitor as unprecedented energy conversion and storage for real-time monitoring device,Journal of Energy Storage
phone_storage,Where is your smartphone? An unusual mass within the tensor fasciae latae muscle,Radiology Case Reports
phone_storage,Highly thermal conductive Boron Nitride/Polyrotaxane encapsulated PEG-based phase change materials,European Polymer Journal
phone_storage,Hydrogen storage alloy development for wide operating temperature nickel-metal hydride battery applications,International Journal of Hydrogen Energy
phone_storage,Assessment of the complete chain evolution process of LIBs from micro internal short circuit failure to thermal runaway under mechanical abuse conditions,Process Safety and Environmental Protection
phone_storage,Edwards curve digital signature algorithm for video integrity verification on blockchain framework,Science & Justice
phone_storage,Myoglobin redox form prediction in fresh beef using computer vision systems and artificial intelligence,Microchemical Journal
phone_storage,Wearable flexible zinc-ion batteries based on electrospinning technology,Journal of Energy Chemistry
phone_storage,Washable and anti-impact conductive cellulose yarn-based energy meta-textile against harsh environments,Applied Materials Today
phone_storage,Rapid assessment of ready-to-eat Xuxiang kiwifruit quality based on chroma recognition and GC-MS analysis,LWT
phone_storage,Multi-functional pH-sensitive active and intelligent packaging based on highly cross-linked zein for the monitoring of pork freshness,Food Chemistry
phone_storage,BIAS: A novel secure and efficient biometric-based anonymous authentication scheme,Computer Networks
phone_storage,An in-depth study of the electrical characterization of supercapacitors for recent trends in energy storage system,Journal of Energy Storage
phone_storage,"Aging mechanisms, prognostics and management for lithium-ion batteries: Recent advances",Renewable and Sustainable Energy Reviews
phone_storage,Introducing a general-purpose augmented reality platform for the use in engineering education,Advances in Industrial and Manufacturing Engineering
phone_storage,MobiScout: A scalable cloud-based driving and activity monitoring platform featuring an IOS app and a WatchOS extension,SoftwareX
phone_storage,Effect of metal cation crosslinking on the mechanical properties and shrimp freshness monitoring sensitivity of pectin/carboxymethyl cellulose sodium/anthocyanin intelligent films,Carbohydrate Polymers
phone_storage,"Antimicrobial susceptibility of bacterial isolates from the conjunctiva, storage cases and mobile phones of university students using contact lenses",Contact Lens and Anterior Eye
phone_storage,16: Polymer blend nanocomposites for battery applications,Polymer Blend Nanocomposites for Energy Storage Applications
phone_storage,A review of spinel lithium titanate (Li4Ti5O12) as electrode material for advanced energy storage devices,Ceramics International
phone_storage,MOF-derived α-Fe2O3@Fe3O4 on carbon fiber fabric for lithium-ion anode applications,Journal of Energy Storage
phone_storage,Household resilience realized by photovoltaic and battery energy system in natural hazard-triggered blackouts: Evidence from Japan,International Journal of Disaster Risk Reduction
phone_storage,A review on recent advances in anode materials in lithium ion batteries,Materials Today Electronics
