keyword,title,publication
smartphone_battery,"On Safety of Swelled Commercial Lithium-ion Batteries: A Study on Aging, Swelling, and Abuse Tests",eTransportation
smartphone_battery,Automatic high-speed smartphone disassembly system,Journal of Cleaner Production
smartphone_battery,New Approach for Detecting Smartphones Securely for Disassembly Tasks,Procedia CIRP
smartphone_battery,Consumers’ Green smartphone practices concerned with power consumption optimisation,Cleaner and Responsible Consumption
smartphone_battery,Mimosa plant leaf-inspired 180° foldable lithium-ion batteries with enhanced electrochemical-mechanical behaviors,Nano Energy
smartphone_battery,Synthesis and optimization of GO/TiO2@n-octadecane microcapsules for thermal management of smartphone charging,Applied Thermal Engineering
smartphone_battery,Rapid and portable quantification of HIV RNA via a smartphone-enabled digital CRISPR device and deep learning,Sensors and Actuators Reports
smartphone_battery,Motrol: A hardware-software device for batch benchmarking and profiling of in-lab mobile device clusters,HardwareX
smartphone_battery,Applications – Portable Applications | Battery Based,Encyclopedia of Electrochemical Power Sources (Second Edition)
smartphone_battery,"Wearable, battery-free, wireless multiplexed printed sensors for heat stroke prevention with mussel-inspired bio-adhesive membranes",Biosensors and Bioelectronics
smartphone_battery,Online Cloud-Based Battery Lifetime Estimation Framework for Smartphone Devices,Procedia Computer Science
smartphone_battery,Effect of technological developments for smartphone lithium battery on metal-derived resource depletion and toxicity potentials,"Resources, Conservation and Recycling"
smartphone_battery,Durability of smartphones: A technical analysis of reliability and repairability aspects,Journal of Cleaner Production
smartphone_battery,3D-printed portable device for illicit drug identification based on smartphone-imaging and artificial neural networks,Talanta
smartphone_battery,Open Access Fluoride Sensor for Water Quality Assessment: Smartphone Based Sensor and Data Transfer using MOFs as sensing materials,IFAC-PapersOnLine
smartphone_battery,Overcoming Premature Smartphone Obsolescence amongst Young Adults,Cleaner and Responsible Consumption
smartphone_battery,AwarNS: A framework for developing context-aware reactive mobile applications for health and mental health,Journal of Biomedical Informatics
smartphone_battery,Nature Inspired Power Optimization in smartphones,Swarm and Evolutionary Computation
smartphone_battery,Chapter 17: Lithium-ion Battery Applications,The Handbook of Lithium-Ion Battery Pack Design (Second Edition)
smartphone_battery,Unleashing inkjet-printed nanostructured electrodes and battery-free potentiostat for the DNA-based multiplexed detection of SARS-CoV-2 genes,Biosensors and Bioelectronics
smartphone_battery,A battery-free wireless body area network towards state perception under all-weather conditions,Nano Energy
smartphone_battery,Smartphone-based battery-free and flexible electrochemical patch for calcium and chloride ions detections in biofluids,Sensors and Actuators B: Chemical
smartphone_battery,An approach for offloading in mobile cloud computing to optimize power consumption and processing time,Sustainable Computing: Informatics and Systems
smartphone_battery,Hierarchical modular Bayesian networks for low-power context-aware smartphone,Neurocomputing
smartphone_battery,Electrochemical and thermal modeling of lithium-ion batteries: A review of coupled approaches for improved thermal performance and safety lithium-ion batteries,Journal of Energy Storage
smartphone_battery,Thermal analysis of lithium ion battery-equipped smartphone explosions,"Engineering Science and Technology, an International Journal"
smartphone_battery,Recent progress of self-supported air electrodes for flexible Zn-air batteries,Journal of Energy Chemistry
