keyword,title,publication
smartphone_cpu,Functionalized cellulose nanocrystals-MoS2 nanosheets to tailor brick–mortar architecture of green composite for next-generation electronic packaging,Chemical Engineering Journal
smartphone_cpu,MAGNETO: Covert channel between air-gapped systems and nearby smartphones via CPU-generated magnetic fields,Future Generation Computer Systems
smartphone_cpu,AuthConFormer: Sensor-based Continuous Authentication of Smartphone Users Using A Convolutional Transformer,Computers & Security
smartphone_cpu,Use of Smartphones for Hypoglycaemia Prediction - A Feasibility Study,Procedia Computer Science
smartphone_cpu,HB-ReTriple: Mobile rendering optimization based on efficient history reusing,Journal of Systems Architecture
smartphone_cpu,A smartphone perspective on computation offloading—A survey,Computer Communications
smartphone_cpu,Real time vanishing points detection on smartphones under Manhattan world assumption,Pattern Recognition Letters
smartphone_cpu,Real-time fruit detection using deep neural networks on CPU (RTFD): An edge AI application,Computers and Electronics in Agriculture
smartphone_cpu,Next generation edge computing: A roadmap to net zero emissions,Journal of Economy and Technology
smartphone_cpu,JFCGuard: Detecting juice filming charging attack via processor usage analysis on smartphones,Computers & Security
smartphone_cpu,Performance optimization opportunities in the Android software stack,"BenchCouncil Transactions on Benchmarks, Standards and Evaluations"
smartphone_cpu,Online Cloud-Based Battery Lifetime Estimation Framework for Smartphone Devices,Procedia Computer Science
smartphone_cpu,How resource utilization influences UI responsiveness of Android software,Information and Software Technology
smartphone_cpu,Towards detection of juice filming charging attacks via supervised CPU usage analysis on smartphones,Computers & Electrical Engineering
smartphone_cpu,Energy efficient streaming for smartphone by video adaptation and backlight control,Computer Networks
smartphone_cpu,Key-hiding on the ARM platform,Digital Investigation
smartphone_cpu,Nature Inspired Power Optimization in smartphones,Swarm and Evolutionary Computation
smartphone_cpu,Kernelized correlation tracker on smartphones,Pervasive and Mobile Computing
smartphone_cpu,Autonomous power management in mobile devices using dynamic frequency scaling and reinforcement learning for energy minimization,Microprocessors and Microsystems
smartphone_cpu,Anomaly detection for smartphone data streams,Pervasive and Mobile Computing
smartphone_cpu,Experimental study of an innovative elastomer-based heat exchanger,Case Studies in Thermal Engineering
smartphone_cpu,Enabling IoT interoperability through opportunistic smartphone-based mobile gateways,Journal of Network and Computer Applications
smartphone_cpu,Constella: Crowdsourced system setting recommendations for mobile devices,Pervasive and Mobile Computing
smartphone_cpu,Lightweight tomato real-time detection method based on improved YOLO and mobile deployment,Computers and Electronics in Agriculture
smartphone_cpu,Optimizing single-finger keyboard layouts on smartphones,Computers & Operations Research
smartphone_cpu,Design and evaluation of mobile offloading system for web-centric devices,Journal of Network and Computer Applications
smartphone_cpu,"Secure authentication scheme to thwart RT MITM, CR MITM and malicious browser extension based phishing attacks",Journal of Information Security and Applications
smartphone_cpu,ALICE Connex: A volunteer computing platform for the Time-Of-Flight calibration of the ALICE experiment. An opportunistic use of CPU cycles on Android devices,Future Generation Computer Systems
smartphone_cpu,A middleware framework for application-aware and user-specific energy optimization in smart mobile devices,Pervasive and Mobile Computing
smartphone_cpu,Forensic smartphone analysis using adhesives: Transplantation of Package on Package components,Digital Investigation
smartphone_cpu,Fabrication and pilot-production of ultrahigh thermal conductivity vertical graphite-silicone pads with very low cost,Carbon
smartphone_cpu,Progressive ray casting for volumetric models on mobile devices,Computers & Graphics
smartphone_cpu,The state of the art in measurement-based experiments on the mobile web,Information and Software Technology
smartphone_cpu,"Intrusion detection for mobile devices using the knowledge-based, temporal abstraction method",Journal of Systems and Software
smartphone_cpu,Energy-efficient global illumination algorithms for mobile devices using dynamic voltage and frequency scaling,Computers & Graphics
smartphone_cpu,Engineering wireless broadband access to IPTV,Journal of Visual Communication and Image Representation
smartphone_cpu,Generic Context Adaptation for Mobile Cloud Computing Environments,Procedia Computer Science
smartphone_cpu,Velox VM: A safe execution environment for resource-constrained IoT applications,Journal of Network and Computer Applications
smartphone_cpu,Fansmitter: Acoustic data exfiltration from air-Gapped computers via fans noise,Computers & Security
smartphone_cpu,Statistical data mining of streaming motion data for activity and fall recognition in assistive environments,Neurocomputing
smartphone_cpu,HANMRE - An authenticated encryption secure against side-channel attacks for nonce-misuse and lightweight approaches,Applied Soft Computing
smartphone_cpu,Dynamic deployment and quality adaptation for mobile augmented reality applications,Journal of Systems and Software
smartphone_cpu,Developing a recommender system in a consumer electronic device,Expert Systems with Applications
smartphone_cpu,"The D-Day, V-Day, and bleak days of a disruptive technology: A new model for ex-ante evaluation of the timing of technology disruption",European Journal of Operational Research
smartphone_cpu,Augmenting computing capabilities at the edge by jointly exploiting mobile devices: A survey,Future Generation Computer Systems
smartphone_cpu,Pothole detection on asphalt pavements from 2D-colour pothole images using fuzzy c-means clustering and morphological reconstruction,Automation in Construction
