keyword,title,publication
smartphone_energy,Electricity out of electronic trash: Triboelectric nanogenerators from discarded smartphone displays for biomechanical energy harvesting,Waste Management
smartphone_energy,Energy consumption of smartphones and IoT devices when using different versions of the HTTP protocol,Pervasive and Mobile Computing
smartphone_energy,Exploring the thermoluminescence characteristics of smartphone screen safety glasses for retrospective dosimetry applications,Applied Radiation and Isotopes
smartphone_energy,Can self-set goals encourage resource conservation? Field experimental evidence from a smartphone app,European Economic Review
smartphone_energy,Smartphone-assisted detection of trace methyl orange in water by ratiometric nanosensors based on down/up-conversion luminescence,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy
smartphone_energy,Consumers’ Green smartphone practices concerned with power consumption optimisation,Cleaner and Responsible Consumption
smartphone_energy,A hybrid catalyst-triggered cascade reaction for cholesterol detection using a smartphone-based miniature fluorescent apparatus,Food Chemistry
smartphone_energy,Poly (ionic liquid) cross-linked hydrogel encapsulated with AuPt nanozymes for the smartphone-based colorimetric detection of zearalenone,Food Chemistry: X
smartphone_energy,Ratiometric fluorescence sensor based on dye-encapsulated Zn-MOF for highly sensitive detection of diquat in tap water and apple samples,Microchemical Journal
smartphone_energy,Sodium vanadates doped boron phosphorus graphene quantum dots: A novel nanosensor for the fluorescence detection of rutin,Food Chemistry
smartphone_energy,A novel phosphotriesterase hybrid nanoflower-hydrogel sensor equipped with a smartphone detector for real-time on-site monitoring of organophosphorus pesticides,International Journal of Biological Macromolecules
smartphone_energy,Photo-RDRP for everyone: Smartphone light-induced oxygen-tolerant reversible deactivation radical polymerization,European Polymer Journal
smartphone_energy,A spatial hue smartphone-based colorimetric detection and discrimination of carmine and carminic acid in food products based on differential adsorptivity,Talanta
smartphone_energy,Smartphone-based hyperspectral imaging for ice sheet and proglacial applications in South-West Greenland,Science of The Total Environment
smartphone_energy,Energy consumption model for data transfer in smartphone,Computer Communications
smartphone_energy,π-π conjugated PDI supramolecular regulating the photoluminescence of imine-COFs for sensitive smartphone visual detection of levofloxacin,Food Chemistry
smartphone_energy,Building energy consumption models based on smartphone user’s usage patterns,Knowledge-Based Systems
