keyword,title,publication
smartphone_issue,Exploring the impact of smartphone addiction on mental health among college students during the COVID-19 pandemic: The role of resilience and parental attachment,Journal of Affective Disorders
smartphone_issue,Similarities and differences in core symptoms of problematic smartphone use among Chinese students enrolled in grades 4 to 9: A large national cross-sectional study,Addictive Behaviors
smartphone_issue,Transport disadvantage and social inclusion: Exploring the role of smartphone use for transport purposes,Transportation Research Part A: Policy and Practice
smartphone_issue,The longitudinal relationships between problematic smartphone use and anxiety symptoms among Chinese college students: A cross-lagged panel network analysis,Addictive Behaviors
smartphone_issue,Social pressures and their impact on smartphone use stickiness and use habit among adolescents,Heliyon
smartphone_issue,"Can smartphones serve as an instrument for driver behavior of intelligent transportation systems research? A systematic review: Challenges, motivations, and recommendations",Pervasive and Mobile Computing
smartphone_issue,Sensor-based authentication in smartphone: A systematic review,Journal of Engineering Research
smartphone_issue,The relationship between smartphone addiction and procrastination among students: A systematic review and meta-analysis,Personality and Individual Differences
smartphone_issue,Progress in research on smartphone-assisted MIP optosensors for the on-site detection of food hazard factors,TrAC Trends in Analytical Chemistry
smartphone_issue,Overcoming Premature Smartphone Obsolescence amongst Young Adults,Cleaner and Responsible Consumption
smartphone_issue,Educating Japanese elementary students on proper smartphone use and social media risks: Reflecting on post-COVID-19 crime trends,Legal Medicine
smartphone_issue,Consumers’ Green smartphone practices concerned with power consumption optimisation,Cleaner and Responsible Consumption
smartphone_issue,"Relationship between smartphone addiction, loneliness, and depression in adolescents: A correlational structural equation modeling study",Journal of Pediatric Nursing
smartphone_issue,Reviewing wireless broadband technologies in the peak smartphone era: 6G versus Wi-Fi 7 and 8,Telecommunications Policy
smartphone_issue,"Association between body mass index, quality of sleep, psychological status and blood pressure among smartphone using young adults",Journal of Orthopaedic Reports
smartphone_issue,Smartphone addiction and internalized and externalized aggression among adolescents: Evidence from longitudinal study and weekly diary study,Computers in Human Behavior
smartphone_issue,Integration of smartphone technology and artificial intelligence for advanced ophthalmic care: A systematic review,Advances in Ophthalmology Practice and Research
smartphone_issue,An accurate smartphone-based indoor pedestrian localization system using ORB-SLAM camera and PDR inertial sensors fusion approach,Measurement
smartphone_issue,Disassembly time estimation for used smartphones based on Maynard operation sequence technology,Computers & Industrial Engineering
smartphone_issue,Understanding skepticism of smartphones in travel behavior research: A qualitative approach,Transportation Research Interdisciplinary Perspectives
smartphone_issue,Detection of SARS-CoV-2 based on artificial intelligence-assisted smartphone: A review,Chinese Chemical Letters
smartphone_issue,Smartphone applications for pavement condition monitoring: A review,Construction and Building Materials
smartphone_issue,Measuring visual acuity and spherical refraction with smartphone screens emitting blue light,Journal of Optometry
smartphone_issue,Biomedical applications of smartphone-based lateral flow detection systems as a diagnosis tool,Microchemical Journal
smartphone_issue,A ratiometric fluorescent probe combined with smartphone technology based on cellulose for the detection of hypochlorous acid,International Journal of Biological Macromolecules
smartphone_issue,Exploring the impact of word prediction assistive features on smartphone keyboards for blind users,Heliyon
smartphone_issue,Smartphone-based colorimetric method for decentralized wastewater treatment monitoring by inexperienced users,Chemometrics and Intelligent Laboratory Systems
smartphone_issue,Smartphone-based iontophoresis transdermal drug delivery system for cancer treatment,Journal of Controlled Release
smartphone_issue,SMARTCOPE: Smartphone Change Of Possession Evaluation for continuous authentication,Pervasive and Mobile Computing
smartphone_issue,Printer source identification of quick response codes using residual attention network and smartphones,Engineering Applications of Artificial Intelligence
smartphone_issue,Preliminary Results of EEBL System for the Smartphone VANET,Procedia Computer Science
smartphone_issue,Gender differences in the longitudinal association between cumulative ecological risk and smartphone dependence among early adolescents: A parallel mediation model,Computers in Human Behavior
smartphone_issue,Validation of a modified problematic use of mobile phones scale to examine problematic smartphone use and dependence,Heliyon
smartphone_issue,"Prevalence, determinants and consequences of problematic smartphone use among preschoolers (3–5 years) from Dhaka, Bangladesh: A cross-sectional investigation",Journal of Affective Disorders
smartphone_issue,Appetite for distraction? A systematic literature review on customer smartphone distraction,International Journal of Information Management
smartphone_issue,A smartphone-adaptable fluorescent probe for visual monitoring of fish freshness and its application in fluorescent dyes,Food Chemistry
smartphone_issue,Is real screen time a determinant of problematic smartphone and social network use among young people?,Telematics and Informatics
smartphone_issue,A lightweight real-time smartphone-based laser speckle contrast analyzer,Optics Communications
smartphone_issue,Sensor-based continuous user authentication on smartphone through machine learning,Microprocessors and Microsystems
smartphone_issue,"Nomophobia among university students: Prevalence, correlates, and the mediating role of smartphone use between Facebook addiction and nomophobia",Heliyon
smartphone_issue,Characterization and mitigation of urban GNSS multipath effects on smartphones,Measurement
smartphone_issue,MotionID: Towards practical behavioral biometrics-based implicit user authentication on smartphones,Pervasive and Mobile Computing
smartphone_issue,Smartphone-assisted microfluidic sensor as an intelligent device for on-site determination of food contaminants: Developments and applications,Microchemical Journal
smartphone_issue,Predicting stress levels for smartphone users using transfer learning induced residual net,Entertainment Computing
smartphone_issue,Smartphone mobility assistants. A lever to guide route choice preferences in mass transit?,Transportation Research Part A: Policy and Practice
smartphone_issue,The role of smartphones in college students’ mind-wandering during learning,Computers & Education
smartphone_issue,Colorimetric detection of glucose with smartphone-coupled µPADs: harnessing machine learning algorithms in variable lighting environments,Sensors and Actuators B: Chemical
smartphone_issue,Effect of colour calibration on the prediction of soil organic matter content based on original soil images obtained from smartphones under different lighting conditions,Soil and Tillage Research
smartphone_issue,Reliability and validity study of the Indonesian Smartphone Application-Based Addiction Scale (SABAS) among college students,Heliyon
smartphone_issue,Dynamic segmentation of smartphone sensor-based pavement functional condition,Canadian Journal of Civil Engineering
smartphone_issue,Quantum dots colorimetric sensing system based on paper-based aptasensor coupled with smartphone-based device,Measurement
smartphone_issue,Evaluation of Injured Structures and Circulation of Fingers From Photos Taken in the Emergency Department After Hand Injury,The Journal of Hand Surgery
smartphone_issue,Recent advances in floor positioning based on smartphone,Measurement
smartphone_issue,TIM: Secure and usable authentication for smartphones,Journal of Information Security and Applications
smartphone_issue,"Touch-operated world of teenagers in the distance education process: A cross-sectional study on nomophobia, netlessphobia and fear of missing out in nursing students",Nurse Education in Practice
smartphone_issue,Technology Solutions for Physical Mobility Challenges,International Encyclopedia of Public Health (Third Edition)
smartphone_issue,Exploring the effects of below-freezing temperatures on smartphone usage,Pervasive and Mobile Computing
smartphone_issue,The use of risk homeostasis theory to reduce smartphone use during low-speed driving,Accident Analysis & Prevention
smartphone_issue,A brief measure of problematic smartphone use among high school students: Psychometric assessment using item response theory,Computers in Human Behavior Reports
smartphone_issue,Patterns of multi-device use with the smartphone. A video-ethnographic study of young adults’ multi-device use with smartphones in naturally occurring contexts,Computers in Human Behavior Reports
smartphone_issue,On-site colorimetric food spoilage monitoring with smartphone embedded machine learning,Talanta
smartphone_issue,Digital evolution: Investigating the dynamic interactions of learners with social media,Entertainment Computing
smartphone_issue,What hinders the usage of smartphone payments in Russia? Perception of technological and security barriers,Technological Forecasting and Social Change
