keyword,title,publication
smartphone_latency,The impact of smartphone deprivation on attentional bias in problematic smartphone users: Evidence from behavioral and physiological perspectives,Computers in Human Behavior
smartphone_latency,Patterns of smartphone addiction in adolescents and their association with multiple ecological factors: A latent profile analysis,Children and Youth Services Review
smartphone_latency,Latent classes of smartphone dependency trajectories and predictors of classes among middle school students in South Korea,Journal of Pediatric Nursing
smartphone_latency,Heterogeneity of smartphone impact on everyday life and its relationship with personality and psychopathology: A latent profile analysis,Comprehensive Psychiatry
smartphone_latency,Happiness motives and mental health mediated by mastery behavior and smartphone addiction: Variable-centered and person-centered approaches,Personality and Individual Differences
smartphone_latency,Can restricting while-in-bed smartphone use improve sleep quality via decreasing pre-sleep cognitive arousal among Chinese undergraduates with problematic smartphone use? Longitudinal mediation analysis using parallel process latent growth curve modeling,Addictive Behaviors
smartphone_latency,Forensic discrimination of authentic and counterfeit smartphones using ATR-FTIR spectroscopy combined with chemometric analysis,Microchemical Journal
smartphone_latency,Smartphone pupillometry for detection of cerebral vasospasm after aneurysmal subarachnoid hemorrhage,Journal of Stroke and Cerebrovascular Diseases
smartphone_latency,Are smartphones detrimental to adolescent sleep? An electronic diary study of evening smartphone use and sleep,Computers in Human Behavior
smartphone_latency,A 2022 Survey of Commercially Available Smartphone Apps for Sleep: Most Enhance Sleep,Sleep Medicine Clinics
smartphone_latency,Advanced forensic method to authenticate audio files from Tizen-based Samsung Galaxy Watches,Forensic Science International: Digital Investigation
smartphone_latency,The nature of nomophobia and its associations with contents of smartphone use and fear of missing out: A network perspective,Telematics and Informatics
smartphone_latency,Classes of problematic smartphone use and information and communication technology (ICT) self-efficacy,Journal of Applied Developmental Psychology
smartphone_latency,"Outdoor mobile broadband performance analysis in Malaysia, Singapore, and Thailand",Results in Engineering
smartphone_latency,Mental disengagement mediates the effect of rumination on smartphone use: A latent growth curve analysis,Computers in Human Behavior
smartphone_latency,Analysis of the characteristics of anticipatory postural adjustments in older adults using smartphones: Association between cognitive and balance functions,Gait & Posture
smartphone_latency,Use of smartphone apps for mobile communication and social digital pressure: A longitudinal panel study,Technological Forecasting and Social Change
smartphone_latency,Emotion dysregulation factors associated with problematic smartphone use severity: The mediating role of fear of missing out,Addictive Behaviors
smartphone_latency,"A longitudinal study on college students’ depressive symptoms during the COVID-19 pandemic: The trajectories, antecedents, and outcomes",Psychiatry Research
smartphone_latency,Parents’ desire to change phone use: Associations with objective smartphone use and feelings about problematic use and distraction,Computers in Human Behavior
smartphone_latency,Energy and latency-balanced osmotic-offloading algorithm for healthcare systems,Internet of Things
smartphone_latency,"Exposure to neighborhood violence, and laboratory-based and ambulatory cognitive task performance in adulthood",Social Science & Medicine
smartphone_latency,How smartphone use becomes problematic: Application of the ALT-SR model to study the predicting role of personality traits,Computers in Human Behavior
smartphone_latency,"Latent class analysis of health behaviors, anxiety, and suicidal behaviors among Korean adolescents",Journal of Affective Disorders
smartphone_latency,Multi-Source Change-Point Detection over Local Observation Models,Pattern Recognition
smartphone_latency,The effectiveness of smartphone app-based interventions for insomnia and sleep disturbances: A meta-analysis of randomized controlled trials,Sleep Medicine
smartphone_latency,"A network analysis approach to the relationship between fear of missing out (FoMO), smartphone addiction, and social networking site use among a sample of Chinese university students",Computers in Human Behavior
smartphone_latency,Rumination and negative smartphone use expectancies are associated with greater levels of problematic smartphone use: A latent class analysis,Psychiatry Research
smartphone_latency,"Perils, power and promises: Latent profile analysis on the attitudes towards artificial intelligence (AI) among middle-aged and older adults in Hong Kong",Computers in Human Behavior: Artificial Humans
smartphone_latency,Latency and geofence testing of wireless emergency alerts intended for the ShakeAlert® earthquake early warning system for the West Coast of the United States of America,Safety Science
smartphone_latency,Harnessing hetero-atom doped CQDs from Pyrostegia venusta for latent fingerprint and anti-counterfeit applications,Microchemical Journal
smartphone_latency,Health and information disparities among non-adopters of smartphones,Health Policy and Technology
smartphone_latency,Disturbed sleep as a clinical marker of wish to die: A smartphone monitoring study over three months of observation,Journal of Affective Disorders
smartphone_latency,Examining latent classes of smartphone users: Relations with psychopathology and problematic smartphone use,Computers in Human Behavior
smartphone_latency,Automated chronic wounds medical assessment and tracking framework based on deep learning,Computers in Biology and Medicine
smartphone_latency,"The relationship between smartphone use for communication, social capital, and subjective well-being in Korean adolescents: Verification using multiple latent growth modeling",Children and Youth Services Review
smartphone_latency,Écouvillons de smartphone comme outil en toxico-épidemiologie : évaluation des performances et des consommations lors de soirées de musique électronique en club,Toxicologie Analytique et Clinique
smartphone_latency,Effects of smartphone application usage on mobility choices,Transportation Research Part A: Policy and Practice
smartphone_latency,"Me, not-me: Voice note use predicts self-voice recognition and liking",Computers in Human Behavior Reports
smartphone_latency,Smartphone picture organization: A hierarchical approach,Computer Vision and Image Understanding
smartphone_latency,SAFERIDES: Application of decentralized control edge-computing to ridesharing monitoring services,International Journal of Information Management Data Insights
smartphone_latency,Learning-powered migration of social digital twins at the network edge,Computer Communications
