keyword,title,publication
smartphone_memory,Can limiting bedtime smartphone use improve next-day working memory among undergraduates with problematic smartphone use?,Psychiatry Research
smartphone_memory,Exploring current smartphone-based cognitive assessments in schizophrenia and bipolar disorder,Schizophrenia Research: Cognition
smartphone_memory,Effective connectivity analysis of verbal working memory advantage across materials for pathological smartphone users by fNIRS,Psychiatry Research: Neuroimaging
smartphone_memory,Does a smartphone on the desk drain our brain? No evidence of cognitive costs due to smartphone presence in a short-term and prospective memory task,Consciousness and Cognition
smartphone_memory,Investigation of the influence of 45-minute pre-sleep social media use on sleep quality and memory consolidation in adolescents,Sleep Medicine
smartphone_memory,Smartphone based structural health monitoring using deep neural networks,Sensors and Actuators A: Physical
smartphone_memory,Exploiting RPMB authentication in a closed source TEE implementation,Forensic Science International: Digital Investigation
smartphone_memory,"Exposure to neighborhood violence, and laboratory-based and ambulatory cognitive task performance in adulthood",Social Science & Medicine
smartphone_memory,Provoking lucid dreams at home with sensory cues paired with pre-sleep cognitive training,Consciousness and Cognition
smartphone_memory,Using Facebook to Recruit Urban Participants for Smartphone-Based Travel Surveys,Transportation Research Interdisciplinary Perspectives
smartphone_memory,Association of social isolation and smartphone use on cognitive functions,Archives of Gerontology and Geriatrics
smartphone_memory,Effects of evening smartphone use on sleep and declarative memory consolidation in adolescents and young adults,Sleep Medicine
smartphone_memory,Parental Problematic Smartphone Use and Children's Executive Function: The Mediating Role of Technoference and the Moderating Role of Children's Age,Early Childhood Research Quarterly
smartphone_memory,"Smartphones and attention, curse or blessing? - A review on the effects of smartphone usage on attention, inhibition, and working memory",Computers in Human Behavior Reports
smartphone_memory,Externalizing autobiographical memories in the digital age,Trends in Cognitive Sciences
smartphone_memory,Can smartphone presence affect cognitive function? The moderating role of fear of missing out,Computers in Human Behavior
smartphone_memory,Should Participants be Left to their Own Devices? Comparing Paper and Smartphone Diaries in Psychological Research,Journal of Applied Research in Memory and Cognition
smartphone_memory,Federated Learning Framework for Human Activity Recognition Using Smartphones,Procedia Computer Science
smartphone_memory,MotionID: Towards practical behavioral biometrics-based implicit user authentication on smartphones,Pervasive and Mobile Computing
smartphone_memory,A review of deep learning models to detect malware in Android applications,Cyber Security and Applications
smartphone_memory,Hybrid deep learning models for road surface condition monitoring,Measurement
smartphone_memory,Human activity recognition based on hybrid learning algorithm for wearable sensor data,Measurement: Sensors
smartphone_memory,A smart decision support system to diagnose arrhythymia using ensembled ConvNet and ConvNet-LSTM model,Expert Systems with Applications
smartphone_memory,Grey Wolf-Based Method for an Implicit Authentication of Smartphone Users,"Computers, Materials and Continua"
smartphone_memory,Deep learning models for real-life human activity recognition from smartphone sensor data,Internet of Things
smartphone_memory,Forensic analysis techniques for fragmented flash memory pages in smartphones,Digital Investigation
smartphone_memory,Combined CNN-LSTM Deep Learning Algorithms for Recognizing Human Physical Activities in Large and Distributed Manners: A Recommendation System,"Computers, Materials and Continua"
smartphone_memory,CardioHelp: A smartphone application for beat-by-beat ECG signal analysis for real-time cardiac disease detection using edge-computing AI classifiers,Smart Health
smartphone_memory,Live acquisition of main memory data from Android smartphones and smartwatches,Digital Investigation
smartphone_memory,Semantic Segmentation on Smartphone Motion Sensor Data for Road Surface Monitoring,Procedia Computer Science
smartphone_memory,Working memory in young children: A pilot study on the gender-mediated effect of Touch Screen Device use,Computers in Human Behavior Reports
smartphone_memory,"Smartphone with optical, physical, and electrochemical nanobiosensors",Journal of Industrial and Engineering Chemistry
smartphone_memory,Comparing factual recall of tapped vs. handwritten text,Acta Psychologica
smartphone_memory,Cognitive domain-independent aberrant frontoparietal network strength in individuals with excessive smartphone use,Psychiatry Research: Neuroimaging
smartphone_memory,Unproctored internet-based device-type effects on test scores: The role of working memory,Intelligence
smartphone_memory,VolMemDroid—Investigating android malware insights with volatile memory artifacts,Expert Systems with Applications
smartphone_memory,Effects of smartphone-based memory training for older adults with subjective memory complaints,European Psychiatry
smartphone_memory,Physical activity forecasting with time series data using Android smartphone,Pervasive and Mobile Computing
smartphone_memory,Cognitive ability and personality: Testing broad to nuanced associations with a smartphone app,Intelligence
smartphone_memory,"Smartphones, Memory, and Pharmacy Education",American Journal of Pharmaceutical Education
smartphone_memory,Exploiting write-only-once characteristics of file data in smartphone buffer cache management,Pervasive and Mobile Computing
smartphone_memory,Use of Smartphones for Hypoglycaemia Prediction - A Feasibility Study,Procedia Computer Science
smartphone_memory,Practical use of smartphone cameras in rip current monitoring studies,Ocean & Coastal Management
smartphone_memory,Gait identification and authentication using LSTM based on 3-axis accelerations of smartphone,Procedia Computer Science
smartphone_memory,Privacy-preserving activity recognition using multimodal sensors in smart office,Future Generation Computer Systems
smartphone_memory,New acquisition method based on firmware update protocols for Android smartphones,Digital Investigation
smartphone_memory,Unlocking the potential of play: A TF-IDF analysis of ‘MapleStory’ as a serious game for cognitive enhancement in seniors,Entertainment Computing
smartphone_memory,An approach for offloading in mobile cloud computing to optimize power consumption and processing time,Sustainable Computing: Informatics and Systems
smartphone_memory,Durability of smartphones: A technical analysis of reliability and repairability aspects,Journal of Cleaner Production
smartphone_memory,New flash memory acquisition methods based on firmware update protocols for LG Android smartphones,Digital Investigation
smartphone_memory,Effects of Electromagnetic Radiation from Smartphones on Learning Ability and Hippocampal Progenitor Cell Proliferation in Mice,Osong Public Health and Research Perspectives
smartphone_memory,Synchronized Diabetes Monitoring System: Development of Smart Mobile Apparatus for Diabetes Using Insulin,IRBM
smartphone_memory,Social media use is predictable from app sequences: Using LSTM and transformer neural networks to model habitual behavior,Computers in Human Behavior
smartphone_memory,Windows mobile advanced forensics: An alternative to existing tools,Digital Investigation
smartphone_memory,Freeze and Crypt: Linux kernel support for main memory encryption,Computers & Security
smartphone_memory,Is the smartphone a smart choice? The effect of smartphone separation on executive functions,Computers in Human Behavior
smartphone_memory,Privacy Enhanced Mobile User Authentication Method Using Motion Sensors,CMES - Computer Modeling in Engineering and Sciences
smartphone_memory,Chapter 40: Integrated medical and psychiatric self-management smartphone technologies for older adults with serious mental illness,"Assessments, Treatments and Modeling in Aging and Neurological Disease"
smartphone_memory,Older adults' self-reported prospective memory lapses in everyday life: Connections to inflammation and gender,Journal of Psychosomatic Research
smartphone_memory,Windows Mobile LiveSD Forensics,Journal of Network and Computer Applications
smartphone_memory,Snapchat Analysis to Discover Digital Forensic Artifacts on Android Smartphone,Procedia Computer Science
smartphone_memory,Functionalized cellulose nanocrystals-MoS2 nanosheets to tailor brick–mortar architecture of green composite for next-generation electronic packaging,Chemical Engineering Journal
smartphone_memory,NOHAR - NOvelty discrete data stream for Human Activity Recognition based on smartphones with inertial sensors,Expert Systems with Applications
smartphone_memory,A symmetrical imine-linkage colorimetric probe for sequential detection of Al3+ and PO43- ions,Inorganica Chimica Acta
smartphone_memory,Working memory deterioration as an early warning sign for relapse in remitted psychosis: A one-year naturalistic follow-up study,Psychiatry Research
smartphone_memory,PAL: A pseudo assembly language for optimizing secure function evaluation in mobile devices,Journal of Information Security and Applications
smartphone_memory,Effectiveness of telerehabilitation plus virtual reality (Tele-RV) in cognitive e social functioning: A randomized clinical study on Parkinson's disease,Parkinsonism & Related Disorders
smartphone_memory,Heart rate variability modulates memory function in a virtual task,Physiology & Behavior
smartphone_memory,TinyML-Raman: A novel IoT based field-deployable spectra analysis for accurate identification of pharmaceuticals and trace dye-pesticide mixtures from facile SERS method,Analytica Chimica Acta
smartphone_memory,"Integrating a spoken dialogue system, nursing records, and activity data collection based on smartphones",Computer Methods and Programs in Biomedicine
smartphone_memory,Chapter Eight: Smartphone-Based Biosensors for Bioanalytics: A Critical Review,Comprehensive Analytical Chemistry
smartphone_memory,A framework of transportation mode detection for people with mobility disability,Journal of Intelligent Transportation Systems
smartphone_memory,Offloading memory leaves us vulnerable to memory manipulation,Cognition
smartphone_memory,How to decrypt PIN-Based encrypted backup data of Samsung smartphones,Digital Investigation
smartphone_memory,Implicit authentication method for smartphone users based on rank aggregation and random forest,Alexandria Engineering Journal
smartphone_memory,Effects of media multitasking on the processing and comprehension of multiple documents: Does main idea summarization make a difference?,Contemporary Educational Psychology
smartphone_memory,"Temporary flood marks proposal: What we learned after losing the baroque artifact from Cracow, Poland",International Journal of Disaster Risk Reduction
smartphone_memory,EPQuant: A Graph Neural Network compression approach based on product quantization,Neurocomputing
smartphone_memory,Moment-to-Moment Association Between Cognitive Regulation and Performance of Daily Activities in Mild Stroke and Transient Ischemic Attack using Ecological Momentary Assessment,Archives of Physical Medicine and Rehabilitation
smartphone_memory,Does cognitive impairment in bipolar disorder impact on a SIMPLe app use?,Journal of Affective Disorders
smartphone_memory,Hush now! Context factors behind smartphone ringer mode changes,Pervasive and Mobile Computing
smartphone_memory,Effect of technological developments for smartphone lithium battery on metal-derived resource depletion and toxicity potentials,"Resources, Conservation and Recycling"
smartphone_memory,Chapter 12: Smartphone-based microfluidic devices,Biomedical Applications of Microfluidic Devices
smartphone_memory,Transfer learning for the efficient detection of COVID-19 from smartphone audio data,Pervasive and Mobile Computing
smartphone_memory,A Transfer Learning and Explainable Solution to Detect mpox from Smartphones images,Pervasive and Mobile Computing
smartphone_memory,Mobile sensors based platform of Human Physical Activities Recognition for COVID-19 spread minimization,Computers in Biology and Medicine
smartphone_memory,A mobile computer aided system for optic nerve head detection,Computer Methods and Programs in Biomedicine
smartphone_memory,Smartphone assisted fieldwork: Towards the digital transition of geoscience fieldwork using LiDAR-equipped iPhones,Earth-Science Reviews
smartphone_memory,USING SMARTPHONE PERSONAL ASSISTANT TECHNOLOGY TO SUPPORT PROSPECTIVE MEMORY IN MILD COGNITIVE IMPAIRMENT: PRELIMINARY LESSONS ON TRAINING FEASIBILITY AND PHONE USABILITY,Alzheimer's & Dementia
smartphone_memory,CLAID: Closing the Loop on AI & Data Collection — A cross-platform transparent computing middleware framework for smart edge-cloud and digital biomarker applications,Future Generation Computer Systems
smartphone_memory,Robust Human Activity Recognition using smartwatches and smartphones,Engineering Applications of Artificial Intelligence
smartphone_memory,From Self-Reports to Auto-Tech-Detect (ATD)-Based Self-Reports in Traffic Research,International Encyclopedia of Transportation
smartphone_memory,Real-time detection of abnormal driving behavior based on long short-term memory network and regression residuals,Transportation Research Part C: Emerging Technologies
smartphone_memory,"Serial position, output order, and list length effects for words presented on smartphones over very long intervals",Journal of Memory and Language
smartphone_memory,Language facilitates introspection: Verbal mind-wandering has privileged access to consciousness,Consciousness and Cognition
