keyword,title,publication
smartphone_performance,Compensating for the Mobile Menace With Extra Effort: a Pupillometry Investigation of the Mere Presence Effect of Smartphones,Biological Psychology
smartphone_performance,Promoting smartphone-based keratitis screening using meta-learning: A multicenter study,Journal of Biomedical Informatics
smartphone_performance,Smartphone-based active sound design for enhancing engine sound of vehicles,Applied Acoustics
smartphone_performance,Rapid and low-cost detection of saffron (Crocus sativus L.) adulteration using smartphone videos and spectral data fusion strategy,Journal of Food Composition and Analysis
smartphone_performance,"Strategies to improve performances of fluorescent biosensors based on smartphones: Sensitivity, high throughput, and smart detection",Sensors and Actuators A: Physical
smartphone_performance,Smartphone-based Vision/MEMS-IMU/GNSS tightly coupled seamless positioning using factor graph optimization,Measurement
smartphone_performance,Smartphone based lateral flow immunoassay quantifications,Journal of Immunological Methods
smartphone_performance,Smartphone-enhanced nanozyme sensors: Colorimetric and fluorescence sensing techniques,Biosensors and Bioelectronics: X
smartphone_performance,Different smartphone tasks and traffic complexity affect pedestrian awareness of co-existing road objects and cerebral oxygenation during shared space walking,Transportation Research Part F: Traffic Psychology and Behaviour
smartphone_performance,"Low-cost, immediate, general-purpose, and high-throughput (LIGHt) smartphone colorimetric screening assay for water-soluble protein",Heliyon
smartphone_performance,Bedtime smartphone use and academic performance: A longitudinal analysis from the stressor-strain-outcome perspective,Computers and Education Open
smartphone_performance,"Smartphone video imaging: A versatile, low-cost technology for food authentication",Food Chemistry
smartphone_performance,A microfluidic paper-based fluorescent sensor integrated with a smartphone platform for rapid on-site detection of omethoate pesticide,Food Chemistry
smartphone_performance,"On-site wind speed recovery from smartphone audio: Time domain deep learning approach, laboratory validation and outdoor field test",Measurement
smartphone_performance,Beyond the smartphone's mere presence effect: A quantitative mobile eye tracking study on the visual and internal distraction potential of smartphones,Computers in Human Behavior
smartphone_performance,Synthesis and optimization of GO/TiO2@n-octadecane microcapsules for thermal management of smartphone charging,Applied Thermal Engineering
smartphone_performance,Watch your step: A pilot study of smartphone use effect on young females’ gait performance while walking up and down stairs and escalators,Applied Ergonomics
smartphone_performance,Smartphone as a fluorescence detector for high-performance liquid chromatography,Analytica Chimica Acta
smartphone_performance,Smartphone-based teacher-student interaction and teachers’ helping behavior on academic performance,Computers in Human Behavior Reports
smartphone_performance,Advancement in the automation of paved roadways performance patrolling: A review,Measurement
smartphone_performance,A fluorescent nanocomposite probe of quantum dots and zinc oxide embedded in polymer for smartphone-assisted on-site determination of diflunisal,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy
smartphone_performance,"Smartphone use affects gait performance, spinal kinematics and causes spinal musculoskeletal discomfort in young adults",Musculoskeletal Science and Practice
smartphone_performance,Smartphone as an alternative to measure chlorophyll-a concentration in small waterbodies,Journal of Environmental Management
smartphone_performance,A novel bearing health sensing technique using smartphone,Measurement
