keyword,title,publication
smartphone_response,A study of strontium aluminates for all optical contactless sensing applications using smartphone interrogation,Optics & Laser Technology
smartphone_response,Different smartphone tasks and traffic complexity affect pedestrian awareness of co-existing road objects and cerebral oxygenation during shared space walking,Transportation Research Part F: Traffic Psychology and Behaviour
smartphone_response,Progress in research on smartphone-assisted MIP optosensors for the on-site detection of food hazard factors,TrAC Trends in Analytical Chemistry
smartphone_response,"A portable optical sensor combining smartphone with phycocyanin-based fluorescent test paper for rapid, visual and on-site detection of CO32–",Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy
smartphone_response,Understanding skepticism of smartphones in travel behavior research: A qualitative approach,Transportation Research Interdisciplinary Perspectives
smartphone_response,Towards the Standardization of Reporting in Smartphone Travel Surveys: The Development and Application of the Smartphone Survey Reporting Guidelines (SSRGs),Transportation Research Procedia
smartphone_response,Printer source identification of quick response codes using residual attention network and smartphones,Engineering Applications of Artificial Intelligence
smartphone_response,"Recruitment, participant motivation and response rates in a smartphone-based travel survey: Mobility Panel in aspern Seestadt",Transportation Research Procedia
smartphone_response,Effect of smartphone use on cervical spine stability,Journal of Biomechanics
smartphone_response,Smartphone-assisted fluorescent microfluidic-chip for sensitive detection of sweat glucose via dual-sensing of O2/H2O2,Talanta
smartphone_response,Ratiometric fluorescent platform for on-site monitoring of sodium pyrosulfite in preserved fruits,Food Chemistry
smartphone_response,User perception of animation fluency: The effect of time duration in different phases of animated transitions during application usage,International Journal of Human-Computer Studies
smartphone_response,Explainable prediction of problematic smartphone use among South Korea's children and adolescents using a Machine learning approach,International Journal of Medical Informatics
smartphone_response,A smartphone-assisted test paper fluorescence sensing platform for visual detection of α-Ketoglutaric acid based on Metal-Organic frameworks,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy
smartphone_response,Quantitative detection of L-cysteine with a ratiometric probe combined with smartphone imaging and fluorescent test strips,Journal of Molecular Structure
smartphone_response,A smartphone-based centrifugal mHealth platform implementing hollow daisy-shaped quick response chip for hematocrit measurement,Talanta
smartphone_response,Highly selective peptide-based fluorescent turn-on probe with large Stokes shift for the detection of Cd(II) and its applications in bio-imaging and smartphone-assisted recognition,Journal of Molecular Structure
smartphone_response,Rational design of carbon dot nanozymes for ratiometric dual-signal and smartphone-assisted visual detection of nitrite in food matrices,Journal of Hazardous Materials
smartphone_response,Smartphone based wearable sweat glucose sensing device correlated with machine learning for real-time diabetes screening,Analytica Chimica Acta
