keyword,title,publication
smartphone_responsiveness,A pH-responsive fluorescent film with the smartphone-assistance for real-time and visual detection of food freshness,Food Chemistry
smartphone_responsiveness,Investigating psychological and motivational predictors of problematic smartphone use among Smartphone-based Social Networking Service (SNS) users,Addictive Behaviors Reports
smartphone_responsiveness,A novel phosphotriesterase hybrid nanoflower-hydrogel sensor equipped with a smartphone detector for real-time on-site monitoring of organophosphorus pesticides,International Journal of Biological Macromolecules
smartphone_responsiveness,Smartphone-based pH responsive 3-channel colorimetric biosensor for non-enzymatic multi-antibiotic residues,Food Chemistry
smartphone_responsiveness,Smartphone-assisted detection of trace methyl orange in water by ratiometric nanosensors based on down/up-conversion luminescence,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy
smartphone_responsiveness,Bridging biological and food monitoring: A colorimetric and fluorescent dual-mode sensor based on N-doped carbon dots for detection of pH and histamine,Journal of Hazardous Materials
smartphone_responsiveness,Innovative detection mechanism for deltamethrin based on a dual-emitting Fluoroprobe and its application in a smartphone-based photoelectric conversion device,Food Chemistry
smartphone_responsiveness,A smartphone-controlled portable multiplexed photoelectrochemical sensor based on dual UV intelligent response system-assisted signal resolution strategy,Sensors and Actuators B: Chemical
smartphone_responsiveness,"Fast and easy detection of hypochlorite by a smartphone-based fluorescent turn-on probe: Applications to water samples, zebrafish and plant imaging",Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy
smartphone_responsiveness,Colorimetric and fluorescent probes for cysteine detection: Applications in food safety and cellular imaging,Food Chemistry
smartphone_responsiveness,Smartphone flashlight-triggered covalent organic framework nanozyme activity: A universal scheme for visual point-of-care testing,Sensors and Actuators B: Chemical
smartphone_responsiveness,Silver nanocluster-based colorimetric/fluorimetric dual-mode sensor for the detection of bromide and sulfite in waters and wastewaters,Microchemical Journal
smartphone_responsiveness,A smartphone-combined ratiometric fluorescence molecularly imprinted probe based on biomass-derived carbon dots for determination of tyramine in fermented meat products,Food Chemistry
smartphone_responsiveness,Integrating target-responsive microfluidic-based biosensing chip with smartphone for simultaneous quantification of multiple fluoroquinolones,Biosensors and Bioelectronics
smartphone_responsiveness,"A near-infrared fluorescent probe for rapid and on-site detection of sulfur dioxide derivative in biological, food and environmental systems",Journal of Hazardous Materials
smartphone_responsiveness,"A highly selective and sensitive peptide-based probe for the colorimetric and fluorescent detection of Fe3+, Al3+ and Cr3+ and its application in living cells imaging",Journal of Luminescence
smartphone_responsiveness,Dual-responsive photonic multilayers in combination with a smartphone application as high-security anti-counterfeiting devices,Chemical Engineering Journal
smartphone_responsiveness,β-Galactosidase-triggered in situ synthesis of yellow emitting silicon nanoparticle and its application in visual detection of E. coli O157:H7 and drug susceptibility test,Food Chemistry
smartphone_responsiveness,Electrical and fluorescence in situ monitoring of tumor microenvironment-based pH-responsive polymer dot coated surface,Talanta
smartphone_responsiveness,Smartphone-Integrated resorcinarene macrocycle capped silver nanoparticles (RMF-AgNPs) probe for enhanced La(III) detection in diverse environments,Journal of Industrial and Engineering Chemistry
smartphone_responsiveness,Noninvasive analysis of exhaled breath for gastric cancer diagnosis using paper-based smartphone nano-optoelectronic noses,Sensors and Actuators B: Chemical
smartphone_responsiveness,Deep learning-assisted smartphone-based portable and visual ratiometric fluorescence device integrated intelligent gel label for agro-food freshness detection,Food Chemistry
smartphone_responsiveness,Polymer brush functional ratiometric fluorescent sensors coupled with aptamer for visible detection of puerarin and ginsenoside via smartphone,Microchemical Journal
smartphone_responsiveness,Development of pyrene-based MOFs probe for water content and investigations on their mechanochromism and acidochromism,Journal of Alloys and Compounds
smartphone_responsiveness,Smartphone-based colorimetric analysis of structural colors from pH-responsive photonic gel,Sensors and Actuators B: Chemical
smartphone_responsiveness,Emerging trends in household travel survey programs,Social Sciences & Humanities Open
