keyword,title,publication
smartphone_storage,A three-mode biosensor for hypoxanthine assay in aquatic products under various storage conditions,Food Chemistry
smartphone_storage,Where is your smartphone? An unusual mass within the tensor fasciae latae muscle,Radiology Case Reports
smartphone_storage,Smartphone based lateral flow immunoassay quantifications,Journal of Immunological Methods
smartphone_storage,CNN-assisted accurate smartphone testing of μPAD for pork sausage freshness,Journal of Food Engineering
smartphone_storage,Smartphone applications for pavement condition monitoring: A review,Construction and Building Materials
smartphone_storage,The smartphone biosensors for point-of-care detection of human infectious diseases: Overview and perspectives—A systematic review,Current Opinion in Electrochemistry
smartphone_storage,Smart polymers and smartphones for Betalain measurement in cooked beetroots,Food Chemistry
smartphone_storage,Selective extraction of maleic hydrazide in foods using magnetic molecularly imprinted polymers and colorimetric detection via smartphone,Talanta
smartphone_storage,Could physical activity alleviate smartphone addiction in university students? A systematic literature review,Preventive Medicine Reports
smartphone_storage,Nanozyme-based colorimetric sensor arrays coupling with smartphone for discrimination and “segmentation-extraction-regression” deep learning assisted quantification of flavonoids,Biosensors and Bioelectronics
smartphone_storage,Physical activity forecasting with time series data using Android smartphone,Pervasive and Mobile Computing
smartphone_storage,A smartphone-controllable molecular diagnostic platform for SARS-CoV-2 detection by reverse-transcription recombinase polymerase amplification,Sensors and Actuators B: Chemical
smartphone_storage,Phenylalanine biosensor based on a nanostructured fiberglass paper support and fluorescent output signal readable with a smartphone,Microchemical Journal
smartphone_storage,Wearable artificial intelligence biosensor networks,Biosensors and Bioelectronics
smartphone_storage,A Smartphone-based optical sensor with polyaniline label for quantitative determination of freshness of freshwater fish fillets,Sensors and Actuators A: Physical
smartphone_storage,Mimosa plant leaf-inspired 180° foldable lithium-ion batteries with enhanced electrochemical-mechanical behaviors,Nano Energy
smartphone_storage,A Cloud-native Approach for Processing of Crowdsourced GNSS Observations and Machine Learning at Scale: A Case Study from the CAMALIOT Project,Advances in Space Research
smartphone_storage,pH-indicator based on delignified jute fiber and red cabbage anthocyanins for monitoring fish spoilage using a smartphone application,Microchemical Journal
smartphone_storage,PD-DETECTOR: A sustainable and computationally intelligent mobile application model for Parkinson's disease severity assessment,Heliyon
smartphone_storage,Smartphone light-driven zinc porphyrinic MOF nanosheets-based enzyme-free wearable photoelectrochemical sensor for continuous sweat vitamin C detection,Chemical Engineering Journal
smartphone_storage,A label-free and ratiometric fluorescent sensor based on porphyrin-metal-organic frameworks for sensitive detection of ochratoxin A in cereal,Chinese Chemical Letters
smartphone_storage,Validity and reliability of three-dimensional modeling of orthodontic dental casts using smartphone-based photogrammetric technology,Journal of the World Federation of Orthodontists
smartphone_storage,Data acquisition methods using backup data decryption of Sony smartphones,Digital Investigation
smartphone_storage,Linux page fault analysis in android systems,Microprocessors and Microsystems
smartphone_storage,"Smartphone with optical, physical, and electrochemical nanobiosensors",Journal of Industrial and Engineering Chemistry
smartphone_storage,All-biobased multilayer transparent wood infiltrated with cellulose and chitosan nanofibers: Improving anisotropic mechanical and ultraviolet shielding properties,Industrial Crops and Products
smartphone_storage,The AGILEScience mobile application for the AGILE space mission,Astronomy and Computing
smartphone_storage,"Upsurgence of smartphone as an economical, portable, and consumer-friendly analytical device/interface platform for digital sensing of hazardous environmental ions",Trends in Environmental Analytical Chemistry
smartphone_storage,Batteryless NFC dosimeter tag for ionizing radiation based on commercial MOSFET,Sensors and Actuators A: Physical
smartphone_storage,A conjugated polymer-based ratiometric fluorescent probe for on-site quantitative detection of bisulfite in food samples by smartphone assay,Dyes and Pigments
smartphone_storage,Exploiting RPMB authentication in a closed source TEE implementation,Forensic Science International: Digital Investigation
smartphone_storage,Quantum dots-based hydrogel microspheres for visual determination of lactate and simultaneous detection coupled with microfluidic device,Microchemical Journal
smartphone_storage,A novel and facile oxygen-activated time-temperature indicator with wide temperature monitoring range and good stability based on the laccase-like nanozyme,Analytica Chimica Acta
smartphone_storage,A framework to assess the smartphone buying behaviour using DEMATEL method in the Indian context,Ain Shams Engineering Journal
smartphone_storage,"Development of a molecularly imprinted membrane for selective, high-sensitive, and on-site detection of antibiotics in waters and drugs: Application for sulfamethoxazole",Chemosphere
smartphone_storage,A novel fluorescence platform for portable and visual monitoring of meat freshness,Biosensors and Bioelectronics
smartphone_storage,Contact lens sensor for ocular inflammation monitoring,Biosensors and Bioelectronics
smartphone_storage,Best practices and current implementation of emerging smartphone-based (bio)sensors – Part 1: Data handling and ethics,TrAC Trends in Analytical Chemistry
smartphone_storage,Advanced technologies in biodegradable packaging using intelligent sensing to fight food waste,International Journal of Biological Macromolecules
smartphone_storage,Durability of smartphones: A technical analysis of reliability and repairability aspects,Journal of Cleaner Production
smartphone_storage,A microfluidic biosensor for multiplex immunoassay of foodborne pathogens agitated by programmed audio signals,Chinese Chemical Letters
smartphone_storage,A smartphone-assisted “all-in-one” paper chip for one-pot noninvasive detection of salivary glucose level,Chemical Engineering Journal
smartphone_storage,Metal-organic framework integrated hydrogel bioreactor for smart detection of metal ions,Biosensors and Bioelectronics
smartphone_storage,Disposable graphene-oxide screen-printed electrode integrated with portable device for detection of SARS-CoV-2 in clinical samples,Bioelectrochemistry
smartphone_storage,Dual-responsive photonic multilayers in combination with a smartphone application as high-security anti-counterfeiting devices,Chemical Engineering Journal
smartphone_storage,Low-cost precision agriculture for sustainable farming using paper-based analytical devices,RSC Advances
smartphone_storage,Digital forensic investigation of cloud storage services,Digital Investigation
smartphone_storage,A novel smartphone-based colorimetric biosensor for reliable quantification of hydrogen peroxide by enzyme-inorganic hybrid nanoflowers,Biochemical Engineering Journal
smartphone_storage,Interconnectable solid-liquid protein extraction unit and chip-based dilution for multiplexed consumer immunodiagnostics,Analytica Chimica Acta
smartphone_storage,One-step reagentless colorimetric analysis platform of biomineralized Ce-UiO-66 for universal detection of biomarkers,Sensors and Actuators B: Chemical
smartphone_storage,A Systematic Literature Review on Digital Forensic Investigation on Android Devices,Procedia Computer Science
smartphone_storage,Engineering the nanozyme hydrogel beads by polyvinyl alcohol/chitosan encapsulation with recyclable and sustainable catalytic activity for visual analysis of hydrogen peroxide,Analytica Chimica Acta
smartphone_storage,Monolithic Z-scheme NiS2/In2S3@PDMS/NF gas diffusion photocatalyst with strong interfacial O2 accumulation effect for effective H2O2 production and Fenton demulsification,Chemical Engineering Journal
smartphone_storage,A double-layer film based on the strategy of tannic acid-anthocyanin co-pigmentation and tannic-crosslinked-gelatin/−reduced Ag nanoparticles for beef preservation and monitoring,Food Chemistry
smartphone_storage,A spore-based portable kit for on-site detection of fluoride ions,Journal of Hazardous Materials
smartphone_storage,Exploiting write-only-once characteristics of file data in smartphone buffer cache management,Pervasive and Mobile Computing
smartphone_storage,"An overview of smartphone technology for citizen-centered, real-time and scalable civil infrastructure monitoring",Future Generation Computer Systems
smartphone_storage,Activated cascade effect for dual-mode ratiometric and smartphone-assisted visual detection of curcumin and F− based on nitrogen-doped carbon dots,Science of The Total Environment
smartphone_storage,A low-cost smartphone controlled sensor based on image analysis for estimating whole-plant tissue nitrogen (N) content in floriculture crops,Computers and Electronics in Agriculture
smartphone_storage,A non-invasive method for detection of freshness of packaged milk,Journal of Food Engineering
smartphone_storage,Comparative assessment of test characteristics of cervical cancer screening methods for implementation in low-resource settings,Preventive Medicine
smartphone_storage,Automated low-cost setup for optical and E-field records of lightning,Journal of Atmospheric and Solar-Terrestrial Physics
smartphone_storage,Biomechanical energy harvested wireless sensing for food storage,Biosensors and Bioelectronics: X
smartphone_storage,"Progress and challenges in electrochemical energy storage devices: Fabrication, electrode material, and economic aspects",Chemical Engineering Journal
smartphone_storage,TomatoScan: An Android-based application for quality evaluation and ripening determination of tomato fruit,Computers and Electronics in Agriculture
smartphone_storage,PD-LAMP smartphone detection of SARS-CoV-2 on chip,Analytica Chimica Acta
smartphone_storage,Smartphone picture organization: A hierarchical approach,Computer Vision and Image Understanding
smartphone_storage,Chapter 16: Recovering residual forensic data from smartphone interactions with cloud storage providers,The Cloud Security Ecosystem
smartphone_storage,Smartphone-controlled portable photoelectrochemical immunosensor for point-of-care testing of carcinoembryonic antigen,Chemical Engineering Journal
smartphone_storage,Mobile Light Storage: Make the Light Smarter,Procedia Computer Science
smartphone_storage,A dual-functional smartphone-based sensor for colorimetric and chemiluminescent detection: A case study for fluoride concentration mapping,Sensors and Actuators B: Chemical
smartphone_storage,A serological point-of-care test for Zika virus detection and infection surveillance using an enzyme-free vial immunosensor with a smartphone,Biosensors and Bioelectronics
smartphone_storage,A compact dosimetric system for MOSFETs based on passive NFC tag and smartphone,Sensors and Actuators A: Physical
smartphone_storage,Accurate point-of-care lotus biomimetic microfluidic urine testing platform for patients with chronic kidney disease,Chemical Engineering Journal
smartphone_storage,3: Optical methods using smartphone platforms for mycotoxin detection,Smartphone-Based Detection Devices
smartphone_storage,Novel research on okadaic acid field-based detection using cell viability biosensor and Bionic e-Eye,Sensors and Actuators B: Chemical
smartphone_storage,Secure Encrypted Steganography Graphical Password scheme for Near Field Communication smartphone access control system,Expert Systems with Applications
smartphone_storage,Microfluidic method for measuring viscosity using images from smartphone,Optics and Lasers in Engineering
smartphone_storage,"A comprehensive review of silicon anodes for high-energy lithium-ion batteries: Challenges, latest developments, and perspectives",Next Energy
smartphone_storage,Enhancing student participation in a design-centric mechatronics class,Mechatronics
smartphone_storage,Introducing a general-purpose augmented reality platform for the use in engineering education,Advances in Industrial and Manufacturing Engineering
smartphone_storage,Reaching further: Lessons from the implementation of the WHO Basic Emergency Care Course Companion App in Tanzania,African Journal of Emergency Medicine
smartphone_storage,Chapter Eleven: The potential use of colorimetric labels for measuring seafood/aquatic products in China: An overview,Colorimetric Sensors
smartphone_storage,Chapter 17: Lithium-ion Battery Applications,The Handbook of Lithium-Ion Battery Pack Design (Second Edition)
smartphone_storage,Deep-implanting oxygen vacancy into VOx by alkylamine intercalation for life-oriented modular pouch supercapacitors,Chemical Engineering Journal
smartphone_storage,Chapter 12: Mobile health (mHealth),Fundamentals of Telemedicine and Telehealth
smartphone_storage,Smartphone-based sickle cell disease detection and monitoring for point-of-care settings,Biosensors and Bioelectronics
smartphone_storage,Emulsion-templated construction of enzyme-nanozyme integrated hierarchically porous hydrogels for smartphone-assisted pesticide biosensing,Chemical Engineering Journal
smartphone_storage,Immuno-chromatic probe based lateral flow assay for point-of-care detection of Japanese encephalitis virus NS1 protein biomarker in clinical samples using a smartphone-based approach,Nanoscale Advances
smartphone_storage,Control yourself: on user control of privacy settings using personalization and privacy panel on smartphones,Procedia Computer Science
smartphone_storage,Identifying interception possibilities for WhatsApp communication,Forensic Science International: Digital Investigation
smartphone_storage,An easy-to-use phosphate triggered zinc-azophenine complex assisted metal extrusion assay: A diagnostic approach for chronic kidney disease and in silico docking studies,Inorganica Chimica Acta
smartphone_storage,Photographie clinique par smartphone en chirurgie plastique et protection des données personnelles : développement d’une plateforme sécurisée et application sur 979 patients,Annales de Chirurgie Plastique Esthétique
smartphone_storage,Hierarchical deep learning approach using fusion layer for Source Camera Model Identification based on video taken by smartphone,Expert Systems with Applications
smartphone_storage,Exploring the fascinating world of combinational photonic devices: A review,Optik
smartphone_storage,The Evolution of Ambulatory ECG Monitoring,Progress in Cardiovascular Diseases
smartphone_storage,"Wireless-controlled, self-powered, and patterned information encryption display system based on flexible electroluminescence devices",Nano Energy
smartphone_storage,Simulating the service lifetimes and storage phases of consumer electronics in Europe with a cascade stock and flow model,Journal of Cleaner Production
smartphone_storage,NeoSTRESS: Study of Transfer and Retrieval Environmental StressorS Upon Neonates via a Smartphone Application–Light,Air Medical Journal
smartphone_storage,A colorimetry-enhanced tri-functional film with high stability by polyphenol-anthocyanin co-pigmentation/conjugate: New prospect for active intelligent food packaging,Food Chemistry
smartphone_storage,A pilot study towards a smart-health framework to collect and analyze biomarkers with low-cost and flexible wearables,Smart Health
smartphone_storage,Chapter 15: An Android Cloud Storage Apps Forensic Taxonomy,Contemporary Digital Forensic Investigations of Cloud and Mobile Applications
smartphone_storage,Low-cost Internet of Things (IoT)-enabled a wireless wearable device for detecting potassium ions at the point of care,Sensors and Actuators B: Chemical
smartphone_storage,Secure storage—Confidentiality and authentication,Computer Science Review
smartphone_storage,Swan-feathers inspired smart-responsive sustainable carboxymethyl cellulose/polyvinyl alcohol based food packaging film for robustly integrated Intelligent and Active Packaging,Nano Today
smartphone_storage,P2OP—Plant Pathology on Palms: A deep learning-based mobile solution for in-field plant disease detection,Computers and Electronics in Agriculture
smartphone_storage,Forensic analysis of note and journal applications,Forensic Science International: Digital Investigation
smartphone_storage,The Nutrient App: Developing a smartphone application for on-site instantaneous community-based NO3 and PO4 monitoring,Environmental Modelling & Software
smartphone_storage,Biomass-based indole derived composited with cotton cellulose fiber integrated as sensitive fluorescence platform for NH3 detection and monitoring of seafood spoilage,International Journal of Biological Macromolecules
smartphone_storage,Chapter 23: Synthesis of metal oxide–based nanocomposites for energy storage application,Sustainable Nanotechnology for Environmental Remediation
smartphone_storage,QR encoded smart oral dosage forms by inkjet printing,International Journal of Pharmaceutics
smartphone_storage,Supporting mobility-aware computational offloading in mobile cloud environment,Journal of Network and Computer Applications
smartphone_storage,A flexible axial Zn ion hybrid supercapacitor with high surface capacitance and long cycle life,Journal of Alloys and Compounds
smartphone_storage,Development of a smartphone-based biomimetic sensor for aflatoxin B1 detection using molecularly imprinted polymer membranes,Talanta
smartphone_storage,Android data storage security: A review,Journal of King Saud University - Computer and Information Sciences
smartphone_storage,Flexible PLZT antiferroelectric film capacitor for energy storage in wide temperature range,Journal of Alloys and Compounds
smartphone_storage,"The living, the dead, and the obsolete: A characterization of lifetime and stock of ICT products in Denmark","Resources, Conservation and Recycling"
smartphone_storage,CESSAT: A chemical additive-enhanced single-step accurate CRISPR/Cas13 testing system for field-deployable ultrasensitive detection and genotyping of SARS-CoV-2 variants of concern,Biosensors and Bioelectronics
smartphone_storage,Towards Continuous Authentication on Mobile Phones using Deep Learning Models,Procedia Computer Science
smartphone_storage,Smartphone-based Human Hemoglobin Level Measurement Analyzing Pixel Intensity of a Fingertip Video on Different Color Spaces,Smart Health
smartphone_storage,A survey of urban vehicular sensing platforms,Computer Networks
smartphone_storage,Mobile healthcare system based on the combination of a lateral flow pad and smartphone for rapid detection of uric acid in whole blood,Biosensors and Bioelectronics
smartphone_storage,Edge AI Enabled IoT Framework for Secure Smart Home Infrastructure,Procedia Computer Science
smartphone_storage,Chapter Three: Recent advances in colorimetric sensors: Design and fabrication,Colorimetric Sensors
smartphone_storage,All-in-one strategy for the nano-engineering of paper-based bifunctional fluorescent platform for robustly-integrated real-time monitoring of food and drinking-water safety,Journal of Hazardous Materials
smartphone_storage,Determination of egg storage time at room temperature using a low-cost NIR spectrometer and machine learning techniques,Computers and Electronics in Agriculture
smartphone_storage,Improved pipelined wavelet implementation for filtering ECG signals,Pattern Recognition Letters
smartphone_storage,Acid/Base-driven visualized molecular hinge for advanced information encryption,Chemical Engineering Journal
smartphone_storage,Inkjet-printed sub-zero temperature sensor for real-time monitoring of cold environments,International Journal of Biological Macromolecules
smartphone_storage,Forensic analysis of Telegram Messenger on Android smartphones,Digital Investigation
smartphone_storage,ECG by mobile technologies,Journal of Electrocardiology
smartphone_storage,Web-based cattle behavior service for researchers based on the smartphone inertial central,Procedia Computer Science
smartphone_storage,"A non-destructive, high-sensitivity, emergency dosimetry method using OSL from protective back-glasses from smartphones",Radiation Measurements
smartphone_storage,A wearable IoT aldehyde sensor for pediatric asthma research and management,Sensors and Actuators B: Chemical
smartphone_storage,Chapter 9: Cloud-based health monitoring framework using smart sensors and smartphone,Innovation in Health Informatics
smartphone_storage,Privacy-friendly statistical counting for pedestrian dynamics,Computer Communications
smartphone_storage,Key-hiding on the ARM platform,Digital Investigation
smartphone_storage,A novel content-based image retrieval system with feature descriptor integration and accuracy noise reduction,Expert Systems with Applications
smartphone_storage,Colorimetric array freshness indicator and digital color processing for monitoring the freshness of packaged chicken breast,Food Packaging and Shelf Life
smartphone_storage,EPQuant: A Graph Neural Network compression approach based on product quantization,Neurocomputing
smartphone_storage,Improving mobile device security with operating system-level virtualization,Computers & Security
smartphone_storage,Recent advancements and challenges in deploying lithium sulfur batteries as economical energy storage devices,Journal of Energy Storage
smartphone_storage,Measuring plant growth characteristics using smartphone based image analysis technique in controlled environment agriculture,Computers and Electronics in Agriculture
smartphone_storage,Challenges and opportunities for wearable IoT forensics: TomTom Spark 3 as a case study,Forensic Science International: Reports
smartphone_storage,Soft acrylate monomer-based optically clear adhesive for foldable electronics: Mechanical characterization and fractography analysis under large strain,European Polymer Journal
smartphone_storage,Nacre-inspired flexible and thermally conductive phase change composites with parallelly aligned boron nitride nanosheets for advanced electronics thermal management,Composites Science and Technology
smartphone_storage,A critical overview of driver recording tools,Journal of Safety Research
smartphone_storage,A comic-based approach to permission request communication,Computers & Security
smartphone_storage,Graphene-based rapid and highly-sensitive immunoassay for C-reactive protein using a smartphone-based colorimetric reader,Biosensors and Bioelectronics
smartphone_storage,Chapter 3: Deep learning and its applications for content-based video retrieval,Hybrid Computational Intelligence
smartphone_storage,CloudBot: Advanced mobile botnets using ubiquitous cloud technologies,Pervasive and Mobile Computing
smartphone_storage,"Digital traces and physical activities: opportunities, challenges and pitfalls",Science & Justice
smartphone_storage,Surgeon as Programmer: Overcoming Obstacles to the Use of Modern Internet Technology for Cardiothoracic Surgery,The Annals of Thoracic Surgery
smartphone_storage,Accurate fish-freshness prediction label based on red cabbage anthocyanins,Food Control
smartphone_storage,Forensic analysis of Sync.com and FlipDrive cloud applications on Android platform,Forensic Science International
smartphone_storage,Evaluating the Raw Potential for Device-to-Device Caching via Co-location,Procedia Computer Science
smartphone_storage,Mobile Device Data Security: A Cryptographic Approach by Outsourcing Mobile Data to Cloud,Procedia Computer Science
smartphone_storage,Recent progress of self-supported air electrodes for flexible Zn-air batteries,Journal of Energy Chemistry
smartphone_storage,Chapter 25: Security Management Systems,Computer and Information Security Handbook (Fourth Edition)
smartphone_storage,Big Data in food safety- A review,Current Opinion in Food Science
smartphone_storage,Dual-mode colorimetric–fluorometric immunoassay for foodborne parasitic infection,Microchemical Journal
smartphone_storage,Point-of-care testing of four chronic disease biomarkers in blood based on a low cost and low system complexity microfluidic chip with integrated oxygen-sensitive membrane,Sensors and Actuators B: Chemical
smartphone_storage,A framework for the recognition of horse gaits through wearable devices,Pervasive and Mobile Computing
smartphone_storage,27: Thermal energy storage for temperature management of electronics,Advances in Thermal Energy Storage Systems (Second Edition)
smartphone_storage,Analysis and postprocessing of ECG or heart rate data from wearable devices beyond the proprietary cloud and app infrastructure of the vendors,Cardiovascular Digital Health Journal
smartphone_storage,8: Hybrid energy storage devices: Li-ion and Na-ion capacitors,Emerging Trends in Energy Storage Systems and Industrial Applications
