keyword,title,publication
android_performance,Android decompiler performance on benign and malicious apps: an empirical study,Empirical Software Engineering
android_performance,On the Design and Performance Evaluation of Android Based Alarming Applications,Emerging Technologies in Computing
android_performance,Performance evaluation of machine learning models on large dataset of android applications reviews,Multimedia Tools and Applications
android_performance,"Database Performance on Android Devices, A Comparative Analysis",Marketing and Smart Technologies
android_performance,Clean Architecture: Impact on Performance and Maintainability of Native Android Projects,Advances in Computing
android_performance,Testing UX Performance and Reception by Combining Emulated Android GUI with Virtual Reality Prototyping,"Human Interaction, Emerging Technologies and Future Systems V"
android_performance,Characterizing the evolution of statically-detectable performance issues of Android apps,Empirical Software Engineering
android_performance,Analysis on the PPP Performance of Android Smart-Phone: A Case Study of Huawei P40 Pro,China Satellite Navigation Conference (CSNC 2022) Proceedings
android_performance,The Validation and Performance Assessment of the Android Smartphone Based GNSS/INS Coupled Navigation System,China Satellite Navigation Conference (CSNC 2021) Proceedings
android_performance,Enhanced Performance of Android Application Using RecyclerView,Advanced Computing and Intelligent Engineering
android_performance,Evaluation of BDS Navigation Signals and Positioning Performance on Android Devices,China Satellite Navigation Conference (CSNC) 2020 Proceedings: Volume III
