keyword,title,publication
mobile_energy,Energy-aware tasks offloading based on DQN in medical mobile devices,Journal of Cloud Computing
mobile_energy,EPMR: Energy Proficient Mobile Routing for Scalable Wireless Sensor Networks,Wireless Personal Communications
mobile_energy,Energy-efficient cooperative offloading for mobile edge computing,Wireless Networks
mobile_energy,Reliability Assessment of Distribution Network Considering Mobile Energy Storage Vehicles and Dynamic Zonal Coupling,Journal of Electrical Engineering & Technology
mobile_energy,An Optimal Novel Approach for Dynamic Energy-Efficient Task Offloading in Mobile Edge-Cloud Computing Networks,SN Computer Science
mobile_energy,Energy-aware server placement in mobile edge computing using trees social relations optimization algorithm,The Journal of Supercomputing
mobile_energy,Scalable energy optimization of resources for mobile cloud computing using sensor enabled cluster based system,Wireless Networks
mobile_energy,Mobile Hybrid Energy System for Modern Drives of Smart Energy Transition,Smart Grids and Sustainable Energy
mobile_energy,MS-EAR: A mobile sink based energy aware routing technique for SDN enabled WSNs,Peer-to-Peer Networking and Applications
mobile_energy,Energy Efficient Resource Allocation and Latency Reduction in Mobile Cloud Computing Environments,Wireless Personal Communications
mobile_energy,Energy-Aware Congestion Control Technique Based on Hybrid Weight-Based Optimization Algorithm in Wireless Mobile Communication Networks,Journal of The Institution of Engineers (India): Series B
mobile_energy,Mobile learning supported science teaching application: Electric charges and electric energy,Education and Information Technologies
mobile_energy,Energy-Efficient and Reliable Deployment Models for Hybrid Underwater Acoustic Sensor Networks with a Mobile Gateway,Journal of Marine Science and Application
mobile_energy,Energy efficient better approach to mobile Ad hoc networking (BATMAN) using LoRa technology,International Journal of System Assurance Engineering and Management
mobile_energy,"A large-scale empirical study on mobile performance: energy, run-time and memory",Empirical Software Engineering
mobile_energy,Research on the optimization of energy consumption for multi-priority tasks in mobile computing offloading,Multimedia Tools and Applications
mobile_energy,Security-aware energy-efficient design for mobile edge computing network operating with finite blocklength codes,EURASIP Journal on Wireless Communications and Networking
mobile_energy,Optimizing energy and latency trade-offs in mobile ultra-dense IoT networks within futuristic smart vertical networks,International Journal of Data Science and Analytics
mobile_energy,Risks of Energy-Oriented Attacks on Mobile Devices,"Artificial Intelligence, Data Science and Applications"
mobile_energy,STAR-RIS-aided UAV NOMA Mobile Edge Computing Network with RF Energy Harvesting,Mobile Networks and Applications
mobile_energy,Enhancing energy efficiency and cost redemption through solar-powered electric vehicles with induction cooking system for mobile hospitality in India,Clean Technologies and Environmental Policy
mobile_energy,Robust load-frequency control of islanded urban microgrid using 1PD-3DOF-PID controller including mobile EV energy storage,Scientific Reports
mobile_energy,AI Assisted Energy Optimized Sustainable Model for Secured Routing in Mobile Wireless Sensor Network,Mobile Networks and Applications
mobile_energy,Load Balancing for Energy Harvesting Mobile Edge Computing,Privacy Preservation in Distributed Systems
mobile_energy,Energy-efficient allocation for multiple tasks in mobile edge computing,Journal of Cloud Computing
mobile_energy,Energy aware multiobjective levy flight artificial rabbits optimization based clustering and routing for mobile wireless sensor networks,Journal of Ambient Intelligence and Humanized Computing
mobile_energy,An energy-efficient multi-stage alternating optimization scheme for UAV-mounted mobile edge computing networks,Computing
mobile_energy,Estimation of renewable energy systems for mobile network based on real measurements using HOMER software in Egypt,Scientific Reports
mobile_energy,Energy Efficient Data Aggregation with Dynamic Mobile Sink-Based Path Optimization in Large Scale WSNs Using Reinforcement Learning,Wireless Personal Communications
mobile_energy,QFS-RPL: mobility and energy aware multi path routing protocol for the internet of mobile things data transfer infrastructures,Telecommunication Systems
mobile_energy,"Energy and Latency Efficient Caching in Mobile Edge Networks: Survey, Solutions, and Challenges",Wireless Personal Communications
mobile_energy,"Review on energy conservation and congestion mechanism in mobile WSN: taxonomy, software programs, challenges, and future trends",Wireless Networks
mobile_energy,"ECQ: An Energy-Efficient, Cost-Effective and Qos-Aware Method for Dynamic Service Migration in Mobile Edge Computing Systems",Wireless Personal Communications
mobile_energy,Enhancing Distribution System Resilience with Active Islanding and Separable Mobile Energy Storage System,Journal of Electrical Engineering & Technology
mobile_energy,Joint mobile wireless energy transmitter and data collector for rechargeable wireless sensor networks,Wireless Networks
mobile_energy,IoT-based framework for optimizing energy efficiency and reliability in acoustic sensor networks using mobile sinks,Scientific Reports
mobile_energy,An energy-balanced head nodes selection scheme for underwater mobile sensor networks,EURASIP Journal on Wireless Communications and Networking
mobile_energy,Optimizing Energy States in Mobile Embedded Systems: A SIPN-Based Approach,Intelligent Computing
mobile_energy,Resource Allocation Method for Unmanned Aerial Vehicle-Assisted and User Cooperation Non-Linear Energy Harvesting Mobile Edge Computing System,Journal of Shanghai Jiaotong University (Science)
mobile_energy,Mobile Solar Power Plant “Pyramid” with a Kinetic Energy Storage,Integrated Computer Technologies in Mechanical Engineering - 2023
mobile_energy,Dynamic Computation Scheduling for Hybrid Energy Mobile Edge Computing Networks,Web and Big Data
mobile_energy,A self-adaptive attraction and repulsion-based naked mole-rat algorithm for energy-efficient mobile wireless sensor networks,Scientific Reports
mobile_energy,Energy-Efficient Minimum Mobile Charger Coverage for Wireless Sensor Networks,Journal of Computer Science and Technology
mobile_energy,Reinforcement Learning for Energy-Efficient Cloud Offloading of Mobile Embedded Applications,"Embedded Machine Learning for Cyber-Physical, IoT, and Edge Computing"
mobile_energy,Energy-efficient and delay-sensitive-based data gathering technique for multi-hop WSN using path-constraint mobile element,Wireless Networks
mobile_energy,Leveraging rail-based mobile energy storage to increase grid reliability in the face of climate uncertainty,Nature Energy
mobile_energy,Energy-efficient scheduling based on task prioritization in mobile fog computing,Computing
mobile_energy,Optimizing Energy Consumption in Android Mobile Devices Based on User Recommendations,Intelligent Systems Design and Applications
mobile_energy,Energy efficient routing with secure and adaptive trust threshold approach in mobile ad hoc networks,The Journal of Supercomputing
mobile_energy,Energy-aware mobile sink visiting nodes selection using a mean-shift clustering strategy for data accumulation in WSNs,Telecommunication Systems
mobile_energy,Mobile crowdsensing with energy efficiency to control road congestion in internet cloud of vehicles: a review,Multimedia Tools and Applications
mobile_energy,Energy-aware allocation for delay-sensitive multitask in mobile edge computing,The Journal of Supercomputing
mobile_energy,EEM-MAC: Enhanced energy efficient mobility aware MAC protocol for mobile internet of things,Peer-to-Peer Networking and Applications
mobile_energy,EQMS: An improved energy-aware and QoE-aware video streaming policy across multiple competitive mobile devices,Wireless Networks
mobile_energy,Research on Information Interaction Technology for Mobile Energy Storage,"Conference Proceedings of 2022 2nd International Joint Conference on Energy, Electrical and Power Engineering"
mobile_energy,Efficient Self-stabilizing Simulations of Energy-Restricted Mobile Robots by Asynchronous Luminous Mobile Robots,Structural Information and Communication Complexity
mobile_energy,Literature Review of Energy Consumption Modeling for Mobile Devices,International Conference on Advanced Intelligent Systems for Sustainable Development
