keyword,title,publication
mobile_performance,Performance evaluation of mobile stereonet for real time navigation in autonomous mobile robots,Multimedia Tools and Applications
mobile_performance,Dynamic data-driven resource allocation for NB-IoT performance in mobile devices,International Journal of Data Science and Analytics
mobile_performance,Fuzzy Adaptive Fault-tolerant Control for Underactuated Wheeled Mobile Robot With Prescribed Performance,"International Journal of Control, Automation and Systems"
mobile_performance,Does Mobile Money Adoption Increase Informal Business Performance in Zambia?,Journal of the Knowledge Economy
mobile_performance,Distributed Prescribed Performance Formation Control for Nonholonomic Mobile Robots Under Noisy Communication,Journal of Intelligent & Robotic Systems
mobile_performance,A Rapid Response Mobile Application Improves First-Year Resident Clinical Performance During Simulated Care Events: A Randomized Controlled Trial,Journal of General Internal Medicine
mobile_performance,"A large-scale empirical study on mobile performance: energy, run-time and memory",Empirical Software Engineering
mobile_performance,"Mobile Performance Support Systems: Characteristics, Benefits, and Conditions",TechTrends
mobile_performance,Hybrid cable tension–length compensation algorithm for dynamic performance improvement of mobile cable-driven parallel robot,Microsystem Technologies
mobile_performance,A collaborative cache allocation strategy for performance and link cost in mobile edge computing,The Journal of Supercomputing
mobile_performance,Performance evaluation of vision based path planning for dynamic real-time scenarios of mobile robot,Multimedia Tools and Applications
mobile_performance,Highly narrowband miniaturized microstrip diplexer for qubit mobile communication networks utilizing SIR and T-shaped resonators with negative group delay performance,Optical and Quantum Electronics
mobile_performance,The differential effects of developers’ app store strategy on the performance of niche and popular mobile apps,Journal of Marketing Analytics
mobile_performance,A RISE-based asymptotic prescribed performance trajectory tracking control of two-wheeled self-balancing mobile robot,Nonlinear Dynamics
mobile_performance,Predicting the individual effects of team competition on college students’ academic performance in mobile edge computing,Journal of Cloud Computing
mobile_performance,Development of a mobile laboratory system in hydrogen fuel cell buses and evaluation of the performance for COVID-19 RT-PCR testing,Scientific Reports
mobile_performance,Virtual grid layout with direction constraints for autonomous mobile robot routing performance improvement,The International Journal of Advanced Manufacturing Technology
mobile_performance,Prescribed-time control of four-wheel independently driven skid-steering mobile robots with prescribed performance,Nonlinear Dynamics
mobile_performance,Teaching english using mobile applications to improve academic performance and language proficiency of college students,Education and Information Technologies
mobile_performance,Performance Modelling of Autonomous Mobile Robot Software Components,Producing Artificial Intelligent Systems
mobile_performance,Media Independent Handover and Mobile IPv6-Based UDP Performance Evaluation Suite for Heterogeneous Wireless Networks,Wireless Personal Communications
mobile_performance,Exploring the effect of improved learning performance: A mobile augmented reality learning system,Education and Information Technologies
mobile_performance,Performance Analysis of Emotion Recognition Prediction on Mobile Devices,"Smart Technologies, Systems and Applications"
mobile_performance,Efficient Virtual Machine Selection for Improved Performance in Mobile Edge Computing Environments,"Artificial Intelligence, Data Science and Applications"
mobile_performance,Utilizing mobile robotics for pelvic perturbations to improve balance and cognitive performance in older adults: a randomized controlled trial,Scientific Reports
mobile_performance,Research on a Mobile Prediction Platform for Dynamic Changes in Athletic Performance Based on Screening Factors,Mobile Networks and Applications
mobile_performance,Adaptive joint call admission control scheme for LTE-A in mobile communication network and its performance analysis,OPSEARCH
mobile_performance,Performance Optimizations of Real World Map Transformations for 3D Realtime Mobile Games,System Dependability - Theory and Applications
mobile_performance,An enhanced asynchronous advantage actor-critic-based algorithm for performance optimization in mobile edge computing -enabled internet of vehicles networks,Peer-to-Peer Networking and Applications
mobile_performance,A web-based distributed system for integrating mobile music in choral performance,Personal and Ubiquitous Computing
mobile_performance,Comprehensive Performance Evaluation of Mobile Networks in Macao Based on Field Test Data,Proceedings of Eighth International Congress on Information and Communication Technology
mobile_performance,MovePose: A High-Performance Human Pose Estimation Algorithm on Mobile and Edge Devices,Artificial Neural Networks and Machine Learning – ICANN 2024
mobile_performance,Iterative Design and Integration of a Microlearning Mobile App for Performance Improvement and Support for NATO Employees,TechTrends
mobile_performance,Mobile service robots for the operating room wing: balancing cost and performance by optimizing robotic fleet size and composition,International Journal of Computer Assisted Radiology and Surgery
mobile_performance,The Effects of Mobile Technology on Learning Performance and Motivation in Mathematics Education,Education and Information Technologies
mobile_performance,Performance evaluation of opportunistic schedulers based on fairness and throughput in new-generation mobile networks,The Journal of Supercomputing
mobile_performance,The effects of game quality and cognitive loads on students’ learning performance in mobile game-based learning contexts: The case of system analysis education,Education and Information Technologies
