keyword,title,publication
mobile_response,Examining consumer behavior towards adoption of quick response code mobile payment systems: transforming mobile payment in the fintech industry,Humanities and Social Sciences Communications
mobile_response,Preference for hotline versus mobile application/countdown-based mobile overdose response services: a qualitative study,Harm Reduction Journal
mobile_response,A Rapid Response Mobile Application Improves First-Year Resident Clinical Performance During Simulated Care Events: A Randomized Controlled Trial,Journal of General Internal Medicine
mobile_response,Effect of Electromagnetic Radiation from Mobile Phones on Auditory Brainstem Response,Indian Journal of Otolaryngology and Head & Neck Surgery
mobile_response,Youth Mobile Response and Stabilization Services: Factors Associated with Multiple Episodes of Care,Community Mental Health Journal
mobile_response,Mobile service delivery in response to the opioid epidemic in Philadelphia,Addiction Science & Clinical Practice
mobile_response,Changes in Life Span as an Integral Response to the Immune Status of the Organism and the Activity of Mobile Elements,Russian Journal of Genetics
mobile_response,Does enduring brand loyalty in mobile financial service platforms require strong commitment? A stimulus-organism-response (SOR) perspective,Journal of Financial Services Marketing
mobile_response,Association of drug overdoses and user characteristics of Canada’s national mobile/virtual overdose response hotline: the National Overdose Response Service (NORS),BMC Public Health
mobile_response,Why can’t we help but love mobile banking chatbots? Perspective of stimulus-organism-response,Journal of Financial Services Marketing
mobile_response,Risk Reduction and Emergency Response Utilizing Beacon and Mobile Technology,Information Systems for Intelligent Systems
mobile_response,Bridging the Gap in Harm Reduction Using Mobile Overdose Response Services (MORS) in the Context of the COVID-19 Pandemic: A Qualitative Study,Journal of Urban Health
mobile_response,A cost benefit analysis of a virtual overdose monitoring service/mobile overdose response service: the national overdose response service,"Substance Abuse Treatment, Prevention, and Policy"
mobile_response,Mobile Money Response to COVID-19 in Africa: What Can We Learn?,Data Science and Communication
mobile_response,Mobile-assisted diagnostic biosensor for point-of-care glucose detection in real human samples with rapid response and long-live stability,Journal of Applied Electrochemistry
mobile_response,Understanding the barriers and facilitators to implementing and sustaining Mobile Overdose Response Services from the perspective of Canadian key interest groups: a qualitative study,Harm Reduction Journal
mobile_response,Mobile App for Assessing Hemifacial Spasm Treatment Response Using Machine Learning,IX Latin American Congress on Biomedical Engineering and XXVIII Brazilian Congress on Biomedical Engineering
mobile_response,A proteolytically activated antimicrobial toxin encoded on a mobile plasmid of Bacteroidales induces a protective response,Nature Communications
mobile_response,A Stimulus-Organism-Response Paradigm to Word-of-Mouth and Continuance Intention of Mobile Application,Proceedings of the 2nd International Conference on Emerging Technologies and Intelligent Systems
mobile_response,Multi-objective Optimization with FEC Polar Code for Bandwidth Efficient Mobile Network Using Response Surface Methodology,Wireless Personal Communications
mobile_response,Towards an Effective Response Strategy for Information Harms on Mobile Instant Messaging Services,Mobile Communication and Online Falsehoods in Asia
mobile_response,Dynamic Mobile Student Response System,"Internet of Things, Infrastructures and Mobile Applications"
mobile_response,Triadic embeddedness structure in family networks predicts mobile communication response to a sudden natural disaster,Nature Communications
mobile_response,A cost study for mobile phone health surveys using interactive voice response for assessing risk factors of noncommunicable diseases,Population Health Metrics
mobile_response,"Technology acceptance of four digital learning technologies (classroom response system, classroom chat, e-lectures, and mobile virtual reality) after three months’ usage",International Journal of Educational Technology in Higher Education
