keyword,title,publication
android_issue,Identifying and Exploiting Android Implementation Issues,The Mobile Application Hacker's Handbook
android_issue,Privacy issues of android application permissions: A literature review,"Transactions on Emerging Telecommunications TechnologiesVolume 31, Issue 12"
android_issue,Identifying Usability Issues in Instant Messaging Apps on iOS and Android Platforms,"Mobile Information SystemsVolume 2018, Issue 1"
android_issue,Can Android VoIP voice conversations be decoded? I can eavesdrop on your Android VoIP communication,"Concurrency and Computation: Practice and ExperienceVolume 29, Issue 7"
android_issue,ANDROID APP for Nursing in Critical Care: *NOW AVAILABLE*,"Nursing in Critical CareVolume 24, Issue 4"
android_issue,Towards a multilayered permission-based access control for extending Android security,"Concurrency and Computation: Practice and ExperienceVolume 30, Issue 5"
android_issue,x86-Android performance improvement for x86 smart mobile devices,"Concurrency and Computation: Practice and ExperienceVolume 28, Issue 10"
android_issue,DroidAuditor: A framework for auditing covert communication on Android,"Concurrency and Computation: Practice and ExperienceVolume 29, Issue 19"
android_issue,Opcode sequence analysis of Android malware by a convolutional neural network,"Concurrency and Computation: Practice and ExperienceVolume 32, Issue 18"
android_issue,Explicit prioritization of parallel Intent broadcasts in real-time Android,"Concurrency and Computation: Practice and ExperienceVolume 29, Issue 22"
android_issue,The particle filter algorithm: parallel implementations and performance analysis over Android mobile devices,"Concurrency and Computation: Practice and ExperienceVolume 28, Issue 3"
android_issue,A new application-level link aggregation and its implementation on Android terminals,"Wireless Communications and Mobile ComputingVolume 12, Issue 18"
android_issue,Detection of malicious behavior in android apps through API calls and permission uses analysis,"Concurrency and Computation: Practice and ExperienceVolume 29, Issue 19"
android_issue,How do open source app developers perceive API changes related to Android battery optimization? An empirical study,"Software: Practice and ExperienceVolume 51, Issue 4"
android_issue,Effect of android fat distribution on thrombin-activatable fibrinolysis inhibitor levels in women with polycystic ovary syndrome,"International Journal of Gynecology & ObstetricsVolume 143, Issue 1"
android_issue,Accelerating Linux and Android applications on low-power devices through remote GPGPU offloading,"Concurrency and Computation: Practice and ExperienceVolume 29, Issue 24"
android_issue,Memristor-enhanced humanoid robot control system – Part II: Circuit theoretic model and performance analysis,"International Journal of Circuit Theory and ApplicationsVolume 46, Issue 1"
android_issue,Memristor-enhanced humanoid robot control system – Part I: Theory behind the novel memcomputing paradigm,"International Journal of Circuit Theory and ApplicationsVolume 46, Issue 1"
android_issue,Optimization-based humanoid robot navigation using monocular camera within indoor environment,"ETRI JournalVolume 40, Issue 4"
android_issue,Approach toward footstep planning considering the walking period: Optimization-based fast footstep planning for humanoid robots,"ETRI JournalVolume 40, Issue 4"
