keyword,title,publication
mobile_energy,Green Mobile Clouds: Making Mobile Devices More Energy Efficient,"Mobile Clouds: Exploiting Distributed Resources in Wireless, Mobile and Social Networks"
mobile_energy,Energy Efficiency for Mobile Multimedia Replay,Mobile Intelligence
mobile_energy,Optimizing Green Energy Utilization for Mobile Networks with Hybrid Energy Supplies,"Green Mobile Networks: A Networking Perspective, 1"
mobile_energy,Energy and Spectrum Efficient Mobile Traffic Offloading,"Green Mobile Networks: A Networking Perspective, 1"
mobile_energy,Energy Limitations and Energetic Efficiency of Mobile Robots,"Autonomous Mobile Robots and Multi-Robot Systems: Motion-Planning, Communication, and Swarming"
mobile_energy,Energy Aware Traffic Load Balancing in Mobile Networks,"Green Mobile Networks: A Networking Perspective, 1"
mobile_energy,An Energy-Aware Framework for Mobile Data Mining,Energy-Efficient Distributed Computing Systems
mobile_energy,Energy-efficient and delay-aware multitask offloading for mobile edge computing networks,"Transactions on Emerging Telecommunications TechnologiesVolume 33, Issue 3"
mobile_energy,E. N. Gilbert,"Bell System Technical JournalVolume 44, Issue 8"
mobile_energy,An energy-preserving spectrum access strategy in mobile cognitive radio networks,"Transactions on Emerging Telecommunications TechnologiesVolume 25, Issue 8"
mobile_energy,Mobile delay-tolerant networks with energy-harvesting and wireless energy transfer cooperation,"Concurrency and Computation: Practice and ExperienceVolume 31, Issue 24"
mobile_energy,Mobile energy-to-home integration: An adaption of mobility as a service in urban energy systems,"IET Energy Systems IntegrationVolume 4, Issue 2"
mobile_energy,Energy-Efficient Offloading for Mobile Edge Computing,Wiley 5G Ref: The Essential 5G Reference Online
mobile_energy,Energy Efficient Resource Management in Mobile Grid,"Mobile Information SystemsVolume 6, Issue 2"
mobile_energy,Energy-Efficient Mobile Network Design and Planning,"Green Communications: Principles, Concepts and Practice"
mobile_energy,Energy harvesting for assistive and mobile applications,"Energy Science & EngineeringVolume 3, Issue 3"
mobile_energy,Energy-efficient cooperative localization in mobile WSN,"IEEJ Transactions on Electrical and Electronic EngineeringVolume 12, Issue 1"
mobile_energy,A process calculus for energy-aware multicast communications of mobile ad hoc networks,"Wireless Communications and Mobile ComputingVolume 13, Issue 3"
mobile_energy,Efficient deployment of multi-UAV assisted mobile edge computing: A cost and energy perspective,"Transactions on Emerging Telecommunications TechnologiesVolume 33, Issue 5"
mobile_energy,Energy-Efficient Operation and Management for Mobile Networks,"Green Communications: Principles, Concepts and Practice"
mobile_energy,Assessment of Renewable Energy Technology and a Case of Sustainable Energy in Mobile Telecommunication Sector,"The Scientific World JournalVolume 2014, Issue 1"
mobile_energy,Directional antennas MAC protocol for energy-efficient wireless sensor networks with mobile sink,"International Journal of Communication SystemsVolume 30, Issue 2"
mobile_energy,Energy efficient broadcast routing in mobile ad hoc networks,"International Journal of Communication SystemsVolume 17, Issue 4"
mobile_energy,Dealing with Energy-QoE Trade-Offs in Mobile Video,"Journal of Computer Networks and CommunicationsVolume 2013, Issue 1"
mobile_energy,Deploying mobile nodes for maximal energy matching in WSNs,"Wireless Communications and Mobile ComputingVolume 12, Issue 4"
mobile_energy,Pinwheel broadcast paradigm in supporting energy-saving mobile devices,"International Journal of Communication SystemsVolume 22, Issue 3"
mobile_energy,Relocation routing for energy balancing in mobile sensor networks,"Wireless Communications and Mobile ComputingVolume 15, Issue 10"
mobile_energy,Optimising energy in distributed phenomena detection for mobile WSN,"IET Wireless Sensor SystemsVolume 10, Issue 1"
mobile_energy,Energy Saving Standardisation in Mobile and Wireless Communication Systems,"Green Communications: Principles, Concepts and Practice"
mobile_energy,Energy efficient routing protocols for mobile ad hoc networks,"Wireless Communications and Mobile ComputingVolume 3, Issue 8"
mobile_energy,Optimal Energy Consumption for Mobile Manipulators Executing Door-Opening Task,"Mathematical Problems in EngineeringVolume 2018, Issue 1"
mobile_energy,UAV-Aided Multiuser Mobile Edge Computing Networks with Energy Harvesting,"Wireless Communications and Mobile ComputingVolume 2022, Issue 1"
mobile_energy,A mobile energy trading scheme based on Lightning Network,"Concurrency and Computation: Practice and ExperienceVolume 35, Issue 20"
mobile_energy,Optimal dispatch of distributed renewable energy and energy storage systems via optimal configuration of mobile edge computing,IET Renewable Power GenerationEarly View
mobile_energy,Reliability evaluation of distribution systems with mobile energy storage systems,"IET Renewable Power GenerationVolume 10, Issue 10"
mobile_energy,Energy-aware cross-layer resource allocation in mobile cloud,"International Journal of Communication SystemsVolume 30, Issue 12"
mobile_energy,Energy-Efficient Path Planning for Solar-Powered Mobile Robots,"Journal of Field RoboticsVolume 30, Issue 4"
mobile_energy,Localized energy efficient routing in mobile ad hoc networks,"Wireless Communications and Mobile ComputingVolume 7, Issue 6"
mobile_energy,Power efficient transceivers to enable energy-efficient mobile radio systems,"Bell Labs Technical JournalVolume 15, Issue 2"
mobile_energy,ECOPS: Energy-Efficient Collaborative Opportunistic Positioning for Heterogeneous Mobile Devices,"Journal of Computer Networks and CommunicationsVolume 2013, Issue 1"
