keyword,title,publication
mobile_issue,Special issue: mobile IP,"Wireless Communications and Mobile ComputingVolume 6, Issue 5"
mobile_issue,Special issue: mobility management in wireless and mobile networks,"Wireless Communications and Mobile ComputingVolume 4, Issue 6"
mobile_issue,Special issue on S-band mobile satellite technologies,"International Journal of Satellite Communications and NetworkingVolume 32, Issue 4"
mobile_issue,Special issue: Multimedia over mobile IP,"Wireless Communications and Mobile ComputingVolume 2, Issue 6"
mobile_issue,Guest Editorial Special Issue on Mobile Biometrics,"IET BiometricsVolume 5, Issue 1"
mobile_issue,Special issue on security in mobile wireless networks,"Security and Communication NetworksVolume 3, Issue 2-3"
mobile_issue,Special issue on the use of mobile devices in engineering education,"Computer Applications in Engineering EducationVolume 29, Issue 3"
mobile_issue,Special issue: WLAN/3G integration for next-generation heterogeneous mobile data networks,"Wireless Communications and Mobile ComputingVolume 5, Issue 6"
mobile_issue,"Special issue: Mobile ad hoc networking—research, trends and applications","Wireless Communications and Mobile ComputingVolume 2, Issue 5"
mobile_issue,Special Issue of European Transactions on Telecommunications on ‘Next Generation Wireless and Mobile Communications’,"European Transactions on TelecommunicationsVolume 17, Issue 3"
mobile_issue,Labelling issue reports in mobile apps,"IET SoftwareVolume 13, Issue 6"
mobile_issue,Editorial on International Journal on Satellite Communications and Networking—special issue on S-band Mobile Interactive Multimedia,"International Journal of Satellite Communications and NetworkingVolume 32, Issue 6"
mobile_issue,Special Issue on “Ensuring security for artificial intelligence applications in mobile edge computing software systems”,"Software: Practice and ExperienceVolume 54, Issue 9"
mobile_issue,Special issue on ‘integrated mobile satellite service systems and technologies’ - guest editorial message,"International Journal of Satellite Communications and NetworkingVolume 33, Issue 4"
mobile_issue,Guest editorial: Special issue on mobile manipulators,"Journal of Robotic SystemsVolume 13, Issue 11"
mobile_issue,MOBILE PHONE ADDICTION: A POINT OF ISSUE,"AddictionVolume 105, Issue 2"
mobile_issue,Special issue on “quality of service and security in wireless and mobile networks”,"Wireless Communications and Mobile ComputingVolume 10, Issue 5"
mobile_issue,Did you read our ‘A&G’ mobile issue?,"Astronomy & GeophysicsVolume 53, Issue 5"
mobile_issue,Special Issue on 5G Communications and Experimental Trials with Heterogeneous and Agile Mobile networks,"ETRI JournalVolume 40, Issue 1"
