keyword,title,publication
mobile_latency,Providing ultra-short latency to user-centric 5G applications at the mobile network edge,"Transactions on Emerging Telecommunications TechnologiesVolume 29, Issue 4"
mobile_latency,Dependent task offloading with energy-latency tradeoff in mobile edge computing,"IET CommunicationsVolume 16, Issue 17"
mobile_latency,Relay Node-Based Routing Algorithm for Reducing Latency in Industrial Mobile Communication Network,"Wireless Communications and Mobile ComputingVolume 2023, Issue 1"
mobile_latency,Experiences from Implementing a Mobile Multiplayer Real-Time Game for Wireless Networks with High Latency,"International Journal of Computer Games TechnologyVolume 2009, Issue 1"
mobile_latency,[Retracted] A Low-Latency and High-Throughput Multipath Technique to Overcome Black Hole Attack in Mobile Ad Hoc Network (MTBD),"Security and Communication NetworksVolume 2022, Issue 1"
mobile_latency,Retracted: A Low-Latency and High-Throughput Multipath Technique to Overcome Black Hole Attack in Mobile Ad Hoc Network (MTBD),"Security and Communication NetworksVolume 2023, Issue 1"
mobile_latency,Digital twin-enabled deep reinforcement learning for joint scheduling of ultra-reliable low latency communication and enhanced mobile broad band: A reliability-guaranteed approach,"Transactions on Emerging Telecommunications TechnologiesVolume 34, Issue 3"
mobile_latency,The DVB-SH low-latency extension,"International Journal of Satellite Communications and NetworkingVolume 32, Issue 6"
mobile_latency,Experimental evaluation of fog computing techniques to reduce latency in LTE networks,"Transactions on Emerging Telecommunications TechnologiesVolume 29, Issue 4"
mobile_latency,Semiparametric latent variable regression models for spatiotemporal modelling of mobile source particles in the greater Boston area,"Journal of the Royal Statistical Society: Series C (Applied Statistics)Volume 56, Issue 2"
mobile_latency,An evaluation of university students' latent and self-perceived digital competence in the use of mobile devices,"European Journal of EducationVolume 55, Issue 3"
mobile_latency,Self-disgust mediates the effect of problematic mobile social media use on non-suicidal self-injury in adolescents: A latent growth curve analysis,Journal of AdolescenceEarly View
mobile_latency,Exploring social mobility with latent trajectory groups,"Journal of the Royal Statistical Society: Series A (Statistics in Society)Volume 171, Issue 1"
mobile_latency,Mobility Trajectories at the End of Life: Comparing Clinical Condition and Latent Class Approaches,"Journal of the American Geriatrics SocietyVolume 66, Issue 3"
mobile_latency,Automated Mobility-on-Demand Service Improvement Strategy through Latent Class Analysis of Stated Preference Survey,"Journal of Advanced TransportationVolume 2022, Issue 1"
mobile_latency,Mobility Prediction for Reducing End-to-End Delay in URLLC,Ultra-Reliable and Low-Latency Communications (URLLC) Theory and Practice: Advances in 5G and Beyond
