keyword,title,publication
mobile_launch,Seven Easy and Inexpensive Ways to Launch Mobile Learning,Mastering Mobile Learning
mobile_launch,Dynamics of the Missile Launch from the Very Short-Range Mobile Firing Unit,"Shock and VibrationVolume 2023, Issue 1"
mobile_launch,NTT DoCoMo's Launch of I-Mode in the Japanese Mobile Phone Market: A Knowledge Creation Perspective*,"Journal of Management StudiesVolume 44, Issue 1"
mobile_launch,Mathematical Formulation and Analysis of the Optimal Launch Timing for Mobile Applications with Perceived Value and Network Effect,"Mathematical Problems in EngineeringVolume 2017, Issue 1"
mobile_launch,Launch Decisions and the Early Market Survival of Innovations: An Empirical Analysis of the Italian Mobile Value-Added Services (VAS) Industry,"Journal of Product Innovation ManagementVolume 30, Issue S1"
mobile_launch,A dual wideband high gain 2 × 2 multiple-input-multiple-output monopole antenna with an end-launch connector model for 5G millimeter-wave mobile applications,"International Journal of RF and Microwave Computer-Aided EngineeringVolume 32, Issue 5"
mobile_launch,Commercial Launch Experiences,Mobile Media and Applications – From Concept to Cash: Successful Service Creation and Launch
mobile_launch,SAMHSA launches mobile application for buprenorphine prescribers,"Alcoholism & Drug Abuse WeeklyVolume 28, Issue 42"
mobile_launch,Problems in Launching the Mobile Internet: Evidence From a Pricing Experiment,"Journal of Economics & Management StrategyVolume 23, Issue 3"
mobile_launch,Some tools to predict failure probability on products recently launched on the market: A mobile phone case study,"Quality and Reliability Engineering InternationalVolume 38, Issue 5"
mobile_launch,Fifth Third Bank launches new initiative aimed at economic mobility,"Corporate Philanthropy ReportVolume 38, Issue 4"
mobile_launch,White House launches economic mobility initiative,"Nonprofit Business AdvisorVolume 2016, Issue 320"
mobile_launch,Mobile ECMOシステム構築に向けたsimulation training(Simulation training aimed at the establishment of a mobile ECMO system),"Nihon Kyukyu Igakukai Zasshi: Journal of Japanese Association for Acute MedicineVolume 28, Issue 8"
mobile_launch,Modular mobile foundation species as reservoirs of biodiversity,"EcosphereVolume 5, Issue 10"
mobile_launch,ESTABLISHMENT OF THE MELBOURNE MOBILE INTENSIVE CARE SERVICE,"Medical Journal of AustraliaVolume 1, Issue 20"
mobile_launch,MICHAEL A. TUCCIO,"Naval Engineers JournalVolume 95, Issue 5"
mobile_launch,Compromise-Resistant Pairwise Key Establishments for Mobile Ad hoc Networks,"ETRI JournalVolume 28, Issue 3"
mobile_launch,Evolution of spiking neural circuits in autonomous mobile robots,"International Journal of Intelligent SystemsVolume 21, Issue 9"
mobile_launch,Predicting harvest impact and establishment success when translocating highly mobile and endangered species,"Journal of Applied EcologyVolume 59, Issue 8"
mobile_launch,Establishing the Measurement Equivalence of Online Selection Assessments Delivered on Mobile versus Nonmobile Devices,"International Journal of Selection and AssessmentVolume 22, Issue 2"
mobile_launch,A routing protocol for mobile terminals in an ad hoc network with established network,"Electronics and Communications in Japan (Part I: Communications)Volume 90, Issue 10"
mobile_launch,Epibenthic predators control mobile macrofauna associated with a foundation species in a subarctic subtidal community,"Ecology and EvolutionVolume 9, Issue 18"
mobile_launch,Mobile Gene Cassettes and Integrons: Moving Antibiotic Resistance Genes in Gram-Negative Bacteria,"Ciba Foundation Symposium 207 - Antibiotic Resistance: Origins, Evolution, Selection and Spread: Antibiotic Resistance: Origins, Evolution, Selection and Spread: Ciba Foundation Symposium 207"
mobile_launch,Obstacles and opportunities in deploying model-based GUI testing of mobile software: a survey,"Software Testing, Verification and ReliabilityVolume 22, Issue 5"
mobile_launch,Launched in China,China's Mobile Economy: Opportunities in the Largest and Fastest Information Consumption Boom
mobile_launch,The exposure of nonhuman living organisms to mobile communication emissions: A survey to establish European stakeholders’ policy option preferences,Risk AnalysisEarly View
mobile_launch,"Themes of Stressors, Emotional Fatigue, and Communication Challenges Found in Mobile Care Discussion Sessions With Patients Requiring Lifelong Home Parenteral Nutrition Infusions","Journal of Parenteral and Enteral NutritionVolume 45, Issue 3"
mobile_launch,"ID Interviews David Fattal, Founder and CEO of LEIA, a Silicon Valley Startup That Is Developing an Interactive Holographic Display for Mobile Devices","Information DisplayVolume 33, Issue 1"
mobile_launch,New mobile-bearing TKA with unique ball and socket post-cam mechanism offers similar function and stability with better prosthesis fit and gap balancing compared to an established fixed-bearing prosthesis,"Knee Surgery, Sports Traumatology, ArthroscopyVolume 27, Issue 7"
mobile_launch,Improving a Measure of Mobility-Related Fatigue (The Mobility-Tiredness Scale) by Establishing Item Intensity,"Journal of the American Geriatrics SocietyVolume 61, Issue 3"
mobile_launch,Nuclear Magnetic Resonance Studies of Mobility in Proteins,Ciba Foundation Symposium 93 - Mobility and Function in Proteins and Nucleic Acids
mobile_launch,Conformations and Flexibilities of Histones and High Mobility Group (HMG) Proteins in Chromatin Structure and Function,Ciba Foundation Symposium 93 - Mobility and Function in Proteins and Nucleic Acids
mobile_launch,The Mobility of Calcium-Trigger Proteins and Its Function,Ciba Foundation Symposium 93 - Mobility and Function in Proteins and Nucleic Acids
mobile_launch,Mobility and Active-Site Coupling in 2-Oxo Acid Dehydrogenase Complexes,Ciba Foundation Symposium 93 - Mobility and Function in Proteins and Nucleic Acids
mobile_launch,The Role of Mobility in the Substrate Binding and Catalytic Machinery of Enzymes,Ciba Foundation Symposium 93 - Mobility and Function in Proteins and Nucleic Acids
