keyword,title,publication
mobile_memory,Mobile phone exposure and spatial memory,"BioelectromagneticsVolume 30, Issue 1"
mobile_memory,An ARQ scheme with memory for mobile communications,"European Transactions on TelecommunicationsVolume 3, Issue 5"
mobile_memory,Memory matters in dementia: Efficacy of a mobile reminiscing therapy app,"Alzheimer's & Dementia: Translational Research & Clinical InterventionsVolume 5, Issue 1"
mobile_memory,Multi-feature fusion and memory-based mobile robot target tracking system,"IET Cyber-Systems and RoboticsVolume 6, Issue 3"
mobile_memory,High-speed mobile memory I/O interface using multi-modulation signalling,"Electronics LettersVolume 54, Issue 8"
mobile_memory,Two-tiered face verification with low-memory footprint for mobile devices,"IET BiometricsVolume 9, Issue 5"
mobile_memory,Mobile memory gas station: A valid phone screen for cognitive impairment,"Alzheimer's & DementiaVolume 19, Issue S5"
mobile_memory,Self-stabilizing flocking of a group of mobile robots with memory corruption,"Wireless Communications and Mobile ComputingVolume 11, Issue 8"
mobile_memory,P2-623: PARTNERSHIP AND ACCESS TO VA MEMORY HEALTHCARE: MOBILE VETERAN PROGRAM,"Alzheimer's & DementiaVolume 14, Issue 7S_Part_18"
mobile_memory,A mobile application (chatbot) to automate delivery of sleep-dependent memory tasks,"Alzheimer's & DementiaVolume 19, Issue S18"
mobile_memory,An Adaptive Memory Model for Long-Term Navigation of Autonomous Mobile Robots,"Journal of RoboticsVolume 2011, Issue 1"
mobile_memory,Mobile Early Detection Memory Screening project with Older Adults in Armenia utilizing the Montreal Cognitive Assessment Test (MoCA) in cooperation with mobile eyecare hospital.,"Alzheimer's & DementiaVolume 19, Issue S23"
mobile_memory,Validity and reliability of the Mobile Toolbox Faces and Names memory test,Journal of NeuropsychologyEarly View
mobile_memory,902 MHz mobile phone does not affect short term memory in humans,"BioelectromagneticsVolume 25, Issue 6"
mobile_memory,Does the use of mobile phones affect human short-term memory or attention?,"Applied Cognitive PsychologyVolume 22, Issue 8"
