keyword,title,publication
mobile_performance,DS-CDMA outage performance over a mobile satellite channel,"European Transactions on TelecommunicationsVolume 6, Issue 1"
mobile_performance,High performance mobile opportunistic systems,"Transactions on Emerging Telecommunications TechnologiesVolume 25, Issue 8"
mobile_performance,Wireless and mobile network performance evaluation,"Concurrency and Computation: Practice and ExperienceVolume 28, Issue 6"
mobile_performance,A performance evaluation of mobility management and multihop supplying partner strategies for 3D streaming systems over thin mobile devices,"Concurrency and Computation: Practice and ExperienceVolume 28, Issue 6"
mobile_performance,Improving Performance for Mobile Web and HTML5-Based Apps,Mastering Mobile Learning
mobile_performance,Performance Measurements and Optimizations of Mobile Communications Networks,"Mobile Communications Systems Development: A Practical Introduction to System Understanding, Implementation, and Deployment"
mobile_performance,D'Agents: Applications and performance of a mobile-agent system,"Software: Practice and ExperienceVolume 32, Issue 6"
mobile_performance,Hybrid satellite and terrestrial infrastructure for mobile broadcast services delivery: An outlook to the ‘Unlimited Mobile TV’ system performance,"International Journal of Satellite Communications and NetworkingVolume 26, Issue 5"
mobile_performance,Performance Support as a Form of Mobile Learning,Mastering Mobile Learning
mobile_performance,Effect of transmitter filter on the performance of FSK-DPD and DPSK-DPD in satellite mobile channel,"European Transactions on TelecommunicationsVolume 6, Issue 5"
mobile_performance,EPE-Mobile—A framework for early performance estimation of mobile applications,"Software: Practice and ExperienceVolume 48, Issue 1"
mobile_performance,Appendix H: Performance of Service Node Based Mobile Prepaid Service,Charging for Mobile All-IP Telecommunications
mobile_performance,Mobile satellite reception with DVB-SH receiver architecture and performance,"International Journal of Satellite Communications and NetworkingVolume 32, Issue 4"
mobile_performance,The particle filter algorithm: parallel implementations and performance analysis over Android mobile devices,"Concurrency and Computation: Practice and ExperienceVolume 28, Issue 3"
mobile_performance,Small fingerprint scanners used in mobile devices: the impact on biometric performance,"IET BiometricsVolume 5, Issue 1"
