keyword,title,publication
mobile_resource,Future mobile broadband wireless networks: a radio resource management perspective,"Wireless Communications and Mobile ComputingVolume 3, Issue 7"
mobile_resource,Efficient Radio Resource Deployment for Mobile WiMAX with Multi-Hop Relays,Mobile WiMAX
mobile_resource,Resource Management for Distributed Mobile Computing,Energy-Efficient Distributed Computing Systems
mobile_resource,Resource Allocation in Mobile WiMAX Networks,WiMAX Security and Quality of Service: AN End-to-End Perspective
mobile_resource,Energy Efficient Resource Management in Mobile Grid,"Mobile Information SystemsVolume 6, Issue 2"
mobile_resource,QoS-based resource allocation across local and public cloud for resource-constrained mobile device,"Transactions on Emerging Telecommunications TechnologiesVolume 28, Issue 5"
mobile_resource,Resource management and QoS control in multiple traffic wireless and mobile Internet systems,"Wireless Communications and Mobile ComputingVolume 5, Issue 8"
mobile_resource,Secured Optimized Resource Allocation in Mobile Edge Computing,"Mobile Information SystemsVolume 2022, Issue 1"
mobile_resource,OPTIMAL DYNAMIC HARVEST OF A MOBILE RENEWABLE RESOURCE,"Natural Resource ModelingVolume 22, Issue 2"
mobile_resource,Mobile-aware dynamic resource management for edge computing,"Transactions on Emerging Telecommunications TechnologiesVolume 30, Issue 6"
mobile_resource,An adaptive resource reservation for vehicular mobile networks,"International Journal of Network ManagementVolume 19, Issue 5"
mobile_resource,Resource allocation in PD-NOMA–based mobile edge computing system: Multiuser and multitask priority,"Transactions on Emerging Telecommunications TechnologiesVolume 33, Issue 3"
mobile_resource,Machine Learning for Resource Allocation in Mobile Broadband Networks,Communication Networks and Service Management in the Era of Artificial Intelligence and Machine Learning
mobile_resource,Dynamic group-based fault tolerance technique for reliable resource management in mobile cloud computing,"Concurrency and Computation: Practice and ExperienceVolume 28, Issue 10"
mobile_resource,Bankruptcy-based radio resource management for multimedia mobile networks,"Transactions on Emerging Telecommunications TechnologiesVolume 23, Issue 2"
mobile_resource,A generic resource augmentation architecture for efficient mobile communication,"Concurrency and Computation: Practice and ExperienceVolume 35, Issue 21"
