keyword,title,publication
mobile_response,ChemInform Abstract: PREPARATION AND ELECTRICAL RESPONSE OF SOLID POLYMER ELECTROLYTES WITH ONLY ONE MOBILE SPECIES,"Chemischer InformationsdienstVolume 16, Issue 42"
mobile_response,On the mobile-to-mobile linear time-variant shallow-water acoustic channel response,"International Journal of Communication SystemsVolume 31, Issue 3"
mobile_response,Local Vasodilator Response to Mobile Phones,"The LaryngoscopeVolume 111, Issue 1"
mobile_response,Response: Mobile masculinities between streets and home,"Anthropology and HumanismVolume 49, Issue 1"
mobile_response,Response: the use of mobile technology in feedback,"The Clinical TeacherVolume 14, Issue 5"
mobile_response,The response of alfalfa cultivars to mobile aluminum toxicity,"Grassland ScienceVolume 69, Issue 1"
mobile_response,"Factors influencing self-report of mobile phone use: the role of response prompt, time reference and mobile phone use in recall","Applied Cognitive PsychologyVolume 23, Issue 5"
mobile_response,Mobile live video in emergency response: Its use and consequences,"Bulletin of the American Society for Information Science and TechnologyVolume 36, Issue 5"
mobile_response,Ohio seeking providers for expanded mobile response services for youth,"Mental Health WeeklyVolume 34, Issue 32"
mobile_response,Toddlers’ physiological response to parent's mobile device distraction and technoference,"Developmental PsychobiologyVolume 66, Issue 2"
mobile_response,No effects of mobile phone electromagnetic field on auditory brainstem response,"BioelectromagneticsVolume 31, Issue 1"
mobile_response,Nest return times in response to static versus mobile human disturbance,"The Journal of Wildlife ManagementVolume 75, Issue 1"
mobile_response,Human skin cell stress response to GSM-900 mobile phone signals,"The FEBS JournalVolume 273, Issue 24"
mobile_response,Emergency response with mobile geosocial sensing in the post-app era,"Transactions in GISVolume 25, Issue 2"
mobile_response,How mobile safety apps can streamline COVID-19 response and management,"Campus Security ReportVolume 17, Issue 8"
mobile_response,NimbRo Rescue: Solving Disaster-response Tasks with the Mobile Manipulation Robot Momaro,"Journal of Field RoboticsVolume 34, Issue 2"
mobile_response,An autonomous attestation token to secure mobile agents in disaster response,"Security and Communication NetworksVolume 3, Issue 5"
mobile_response,Changes in trophic ecology of mobile predators in response to rainforest degradation,"Journal of Applied EcologyVolume 60, Issue 6"
mobile_response,Effectiveness of mobile devices as audience response systems in the chemistry laboratory classroom,"Computer Applications in Engineering EducationVolume 27, Issue 3"
mobile_response,Mobile Phone-Based Audience Response System and Student Engagement in Large-Group Teaching,"Economic Papers: A journal of applied economics and policyVolume 31, Issue 4"
mobile_response,Mobile Phone-Based Audience Response System and Student Engagement in Large-Group Teaching,"Economic Papers: A journal of applied economics and policyVolume 31, Issue 4"
mobile_response,Mobile Pediatric Emergency Response Team: Patient Satisfaction During the Novel H1N1 Influenza Outbreak,"Academic Emergency MedicineVolume 19, Issue 3"
mobile_response,Mobile Domain Walls as a Bridge between Nanoscale Conductivity and Macroscopic Electromechanical Response,"Advanced Functional MaterialsVolume 25, Issue 14"
mobile_response,66.3: Low-Temperature Effect on the Liquid-Crystal Response Time of Mobile Displays,"SID Symposium Digest of Technical PapersVolume 40, Issue 1"
mobile_response,The role of long-distance mobile metabolites in the plant stress response and signaling,"The Plant JournalVolume 114, Issue 5"
mobile_response,Scan and Learn: Quick Response Code Enabled Museum for Mobile Learning of Anatomy and Pathology,"Anatomical Sciences EducationVolume 12, Issue 6"
