keyword,title,publication
mobile_storage,Development of Catalyst-Enhanced Sodium Alanate as an Advanced Hydrogen-Storage Material for Mobile Applications,"Energy TechnologyVolume 6, Issue 3"
mobile_storage,Enhancing the storage of mobile nodes through ad hoc storage as a service in MANETs,"International Journal of Communication SystemsVolume 34, Issue 6"
mobile_storage,Electric Vehicles as a Mobile Storage Device,Handbook of Clean Energy Systems
mobile_storage,Alternative Data Storage Solution for Mobile Messaging Services,"Mobile Information SystemsVolume 3, Issue 1"
mobile_storage,Storage Assignment Optimization in Robotic Mobile Fulfillment Systems,"ComplexityVolume 2021, Issue 1"
mobile_storage,Coordinated optimization of source-grid-load-storage for wind power grid-connected and mobile energy storage characteristics of electric vehicles,"IET Generation, Transmission & DistributionVolume 18, Issue 8"
mobile_storage,Build a trusted storage system on a mobile phone,"IET Information SecurityVolume 13, Issue 2"
mobile_storage,Reliability evaluation of distribution systems with mobile energy storage systems,"IET Renewable Power GenerationVolume 10, Issue 10"
mobile_storage,Optimal planning of mobile energy storage in active distribution network,"IET Smart GridVolume 7, Issue 1"
mobile_storage,Vehicle-for-grid (VfG): a mobile energy storage in smart grid,"IET Generation, Transmission & DistributionVolume 13, Issue 8"
mobile_storage,Mobile and Self-Sustained Data Storage in an Extremophile Genomic DNA,"Advanced ScienceVolume 10, Issue 10"
mobile_storage,The impact of mobile demersal fishing on carbon storage in seabed sediments,"Global Change BiologyVolume 28, Issue 9"
mobile_storage,Mobile battery energy storage system control with knowledge-assisted deep reinforcement learning,"Energy Conversion and EconomicsVolume 3, Issue 6"
mobile_storage,Effects of Mobile Tree Islands on Soil Carbon Storage in Tundra Ecosystems,"EcologyVolume 77, Issue 8"
mobile_storage,Hydrogen Storage Materials for Mobile and Stationary Applications: Current State of the Art,"ChemSusChemVolume 8, Issue 17"
mobile_storage,Novel Options and Limitations of Methanol-Based Production and Storage for Mobile Applications,"Fuel CellsVolume 14, Issue 3"
mobile_storage,Optimal dispatch of a mobile storage unit to support electric vehicles charging stations,"IET Intelligent Transport SystemsVolume 18, Issue 1"
mobile_storage,Real-Time Terrain Storage Generation from Multiple Sensors towards Mobile Robot Operation Interface,"The Scientific World JournalVolume 2014, Issue 1"
mobile_storage,[Retracted] Path Planning of Storage and Logistics Mobile Robot Based on ACA-E Algorithm,"Journal of SensorsVolume 2022, Issue 1"
mobile_storage,Secure and efficient data storage and sharing scheme for blockchain-based mobile-edge computing,"Transactions on Emerging Telecommunications TechnologiesVolume 32, Issue 10"
mobile_storage,A Secure Ciphertext Retrieval Scheme against Insider KGAs for Mobile Devices in Cloud Storage,"Security and Communication NetworksVolume 2018, Issue 1"
mobile_storage,Retracted: Path Planning of Storage and Logistics Mobile Robot Based on ACA-E Algorithm,"Journal of SensorsVolume 2023, Issue 1"
mobile_storage,Development of a Spherical High-Pressure Tank for Hydrogen Storage in Mobile and Stationary Applications,Energy TechnologyEarly View
mobile_storage,ChemInform Abstract: Hydrogen Storage Materials for Mobile and Stationary Applications: Current State of the Art,"ChemInformVolume 46, Issue 43"
mobile_storage,Distribution planning of mobile battery energy storage systems for grid outage support to urban residents,"IET Energy Systems IntegrationVolume 4, Issue 1"
mobile_storage,Decision Support System in a Memristor-Based Mobile CIM Architecture Applied on Big Data Computation and Storage,"Scientific ProgrammingVolume 2021, Issue 1"
mobile_storage,Minor surgery in cystoscopy rooms; mobile rack storage; OR construction; jewelry in ORs; open sterile setups,"AORN JournalVolume 62, Issue 1"
mobile_storage,"F2AC: A Lightweight, Fine-Grained, and Flexible Access Control Scheme for File Storage in Mobile Cloud Computing","Mobile Information SystemsVolume 2016, Issue 1"
mobile_storage,"A 400-dpi reflective storage ferroelectric liquid-crystal display for highly readable, low-power mobile display applications","Journal of the Society for Information DisplayVolume 9, Issue 4"
mobile_storage,Optimal dispatch of distributed renewable energy and energy storage systems via optimal configuration of mobile edge computing,IET Renewable Power GenerationEarly View
mobile_storage,Evaluation of the Joint Impact of the Storage Assignment and Order Batching in Mobile-Pod Warehouse Systems,"Mathematical Problems in EngineeringVolume 2022, Issue 1"
mobile_storage,An allocative method of stationary and vehicle-mounted mobile energy storage for emergency power supply in urban areas,"Energy StorageVolume 6, Issue 5"
mobile_storage,A New Type of ECG Signal Acquisition and Storage Nonvolatile Chip Embedded in Mobile Devices for Sports Monitoring,"Journal of NanomaterialsVolume 2022, Issue 1"
