keyword,title,publication
phone_issue,MOBILE PHONE ADDICTION: A POINT OF ISSUE,"AddictionVolume 105, Issue 2"
phone_issue,Rural mobile phone coverage is an issue for the NHS,"AnaesthesiaVolume 67, Issue 11"
phone_issue,Identifying Windows Phone Implementation Issues,The Mobile Application Hacker's Handbook
phone_issue,30.1: Invited Paper: OLED Lifetime Issues in Mobile Phone Industry,"SID Symposium Digest of Technical PapersVolume 38, Issue 1"
phone_issue,OLED lifetime issues from a mobile-phone-industry point of view,"Journal of the Society for Information DisplayVolume 16, Issue 11"
phone_issue,Response to the issues raised about other aspects of mobile phone use that we might have considered while conducting our study entitled: “Factors associated with mental health among high school students in Iran: Does mobile phone overuse associate with poor mental health?”,"Journal of Child and Adolescent Psychiatric NursingVolume 32, Issue 3"
phone_issue,Low-speed data over the PWT wireless phone system,"Bell Labs Technical JournalVolume 3, Issue 1"
phone_issue,68.3: Curved Mobile Phone Cover with Carbon NanoBud Touch,"SID Symposium Digest of Technical PapersVolume 46, Issue 1"
phone_issue,Discharge phone calls: using person-centred communication to improve outcomes,"Journal of Nursing ManagementVolume 21, Issue 5"
phone_issue,Effective computer-assisted pronunciation training based on phone-sensitive word recommendation,"Concurrency and Computation: Practice and ExperienceVolume 33, Issue 2"
phone_issue,"Co-Present Conversation as “Socialized Trance”: Talk, Involvement Obligations, and Smart-Phone Disruption","Symbolic InteractionVolume 42, Issue 1"
phone_issue,P-9.15: A Novel Over Drive Technique in OLED Driver IC for Mobile Phone,"SID Symposium Digest of Technical PapersVolume 55, Issue S1"
phone_issue,Design of a Singlet Lens and the Corresponding Aberration Correction Approaches for Cell Phone Camera,"IEEJ Transactions on Electrical and Electronic EngineeringVolume 5, Issue 4"
phone_issue,The size distribution of ‘cities’ delineated with a network theory-based method and mobile phone GPS data,"International Journal of Economic TheoryVolume 16, Issue 1"
phone_issue,Effect of fairness on channel choice of the mobile phone supply chain,"International Transactions in Operational ResearchVolume 28, Issue 4"
phone_issue,P-7.4: Research on Ultra-thin Narrow Bezel Technology of Liquid Crystal DisplayModule under 5G Mobile Phone,"SID Symposium Digest of Technical PapersVolume 53, Issue S1"
phone_issue,The effective practices of mobile phone producers' green supply chain management in reducing GHG emissions,"Environmental Quality ManagementVolume 28, Issue 3"
phone_issue,Standard nurse phone triage versus tele–emergency care pilot on Veteran use of in-person acute care: An instrumental variable analysis,"Academic Emergency MedicineVolume 30, Issue 4"
phone_issue,"Learning curves in collaborative planning, forecasting, and replenishment (CPFR) information systems: An empirical analysis from a mobile phone manufacturer","Journal of Operations ManagementVolume 31, Issue 6"
phone_issue,Mobile phone text messaging to improve knowledge and practice of diabetic foot care in a developing country: Feasibility and outcomes,"International Journal of Nursing PracticeVolume 23, Issue S1"
phone_issue,"Handbook of Pharmaceutical Additives. Michael and Irene Ash, Gower Chemical References, Aldershot, Hampshire, United Kingdom, 1995, xiv + 1118, Book, $350; IBM/WindowsTM Electronic Version, $450; Book + Electronic Format, $625. U.S. distributor, Ashgate Publishing, Brookfield, Vermont. Phone: 800-535-9544.","Drug Development ResearchVolume 38, Issue 2"
phone_issue,"Prout, H. T., & Brown, D. T. (1983). Counseling and psychotherapy with children and adolescents: Theory and practice for schools and clinic settings. Tampa: Mariner Publishing Co., 455 pp., $24.95 (available from Clinical Psychology Publishing Company, 4, Conant Sq., Brandon, VT, 05733, Phone: 1-802-247-6871)","Psychology in the SchoolsVolume 22, Issue 2"
phone_issue,Designing best-in-class impact-tolerant cellular phones and other portable products,"Bell Labs Technical JournalVolume 3, Issue 3"
phone_issue,Homeless patients’ perceptions about using cell phones to manage medications and attend appointments,"International Journal of Pharmacy PracticeVolume 25, Issue 3"
phone_issue,54-1: Invited Paper: Promising Conceptual Designs of 2-in-1 Antenna-on-Display (AoD) for Mobile Phones,"SID Symposium Digest of Technical PapersVolume 55, Issue S1"
phone_issue,35.1: Promising Integrations of Antenna-on-Display (AoD)-based Millimeter-wave and Microwave Antennas for Cellular Phones,"SID Symposium Digest of Technical PapersVolume 54, Issue S1"
