keyword,title,publication
phone_memory,Mobile phone exposure and spatial memory,"BioelectromagneticsVolume 30, Issue 1"
phone_memory,Mobile memory gas station: A valid phone screen for cognitive impairment,"Alzheimer's & DementiaVolume 19, Issue S5"
phone_memory,A novel episodic memory test optimized for smart phone high-frequency assessments,"Alzheimer's & DementiaVolume 18, Issue S2"
phone_memory,A novel episodic memory test optimized for smart phone high-frequency assessments,"Alzheimer's & DementiaVolume 18, Issue S7"
phone_memory,902 MHz mobile phone does not affect short term memory in humans,"BioelectromagneticsVolume 25, Issue 6"
phone_memory,Cognitive interview conducted in-person and over-the-phone for informants' memory of overheard conversations,"Journal of Investigative Psychology and Offender ProfilingVolume 21, Issue 3"
phone_memory,Real-Time Digital Image Stabilization for Cell Phone Cameras in Low-Light Environments without Frame Memory,"ETRI JournalVolume 34, Issue 1"
phone_memory,TD-P-34: USING SMARTPHONE PERSONAL ASSISTANT TECHNOLOGY TO SUPPORT PROSPECTIVE MEMORY IN MILD COGNITIVE IMPAIRMENT: PRELIMINARY LESSONS ON TRAINING FEASIBILITY AND PHONE USABILITY,"Alzheimer's & DementiaVolume 15, Issue 7S_Part_3"
phone_memory,Phonetic Symbolism and Memory for Advertisements,"Applied Cognitive PsychologyVolume 30, Issue 6"
phone_memory,Does the use of mobile phones affect human short-term memory or attention?,"Applied Cognitive PsychologyVolume 22, Issue 8"
phone_memory,Effects of electromagnetic fields emitted by GSM phones on working memory: a meta-analysis,"International Journal of Geriatric PsychiatryVolume 32, Issue 2"
phone_memory,Generating References in Naturalistic Face-to-Face and Phone-Mediated Dialog Settings,"Topics in Cognitive ScienceVolume 8, Issue 4"
phone_memory,Effects of electromagnetic field emitted by cellular phones on the EEG during an auditory memory task: A double blind replication study,"BioelectromagneticsVolume 25, Issue 1"
phone_memory,Claude E. Shannon,"Bell System Technical JournalVolume 29, Issue 3"
phone_memory,Screening for Dementia by Telephone Using the Memory Impairment Screen,"Journal of the American Geriatrics SocietyVolume 51, Issue 10"
phone_memory,The Memory and Aging Telephone Screen: Development and preliminary validation,"Alzheimer's & DementiaVolume 3, Issue 2"
phone_memory,P1-157: TICS-m and cantab PAL: The ideal telephone screen and memory test for selecting amnestic mild cognitive impairment cases for clinical trials: The oxford project to investigate memory and ageing (optima) vitacog trial experience,"Alzheimer's & DementiaVolume 4, Issue 4S_Part_8"
phone_memory,P4–251: Validation of a telephone version of the Memory Alteration Test in healthy young adult volunteers,"Alzheimer's & DementiaVolume 9, Issue 4S_Part_20"
phone_memory,Using the Memory Impairment Screen Over the Telephone to Determine Fall Risk in Community-Dwelling Older Adults,"Journal of the American Geriatrics SocietyVolume 62, Issue 10"
phone_memory,Validation and Normative Data for the Modified Telephone Interview for Cognitive Status: The Sydney Memory and Ageing Study,"Journal of the American Geriatrics SocietyVolume 67, Issue 10"
phone_memory,Telephone word-list recall tested in the rural aging and memory study: two parallel versions for the TICS-M,"International Journal of Geriatric PsychiatryVolume 19, Issue 9"
phone_memory,Detection of memory impairment in the general population: screening by questionnaire and telephone compared to subsequent face-to-face assessment,"International Journal of Geriatric PsychiatryVolume 22, Issue 3"
phone_memory,"Stress in telephone helpline nurses is associated with failures of concentration, attention and memory, and with more conservative referral decisions","British Journal of PsychologyVolume 105, Issue 2"
phone_memory,Cognitive function and patient-reported memory problems after radiotherapy for cancers at the skull base: A cross-sectional survivorship study using the Telephone Interview for Cognitive Status and the MD Anderson Symptom Inventory-Head and Neck Module,"Head & NeckVolume 39, Issue 10"
phone_memory,"UNSCRAMBLER II, Extended Memory Version 5.0, available from CAMO A/S, Olav Tryggvasons Gate 24, N-7011 Trondheim, Norway (telephone (+47 73) 51 49 66) or from Camo U.S.A., 722 Port Walk Place, Redwood Shores, CA 94065, U.S.A. (telephone 1-(415) 598-9860). Single-copy price NOK 26,900 commercial, NOK 18,800 non-commercial, NOK 11,900 academic","Journal of ChemometricsVolume 8, Issue 2"
phone_memory,Source Handler telephone interactions with covert human intelligence sources: An exploration of question types and intelligence yield,"Applied Cognitive PsychologyVolume 34, Issue 6"
