keyword,title,publication
phone_performance,Addictive phone use and academic performance in adolescents,"Human Behavior and Emerging TechnologiesVolume 2, Issue 1"
phone_performance,"Performance, acceptability, and validation of a phone application bowel diary","Neurourology and UrodynamicsVolume 39, Issue 8"
phone_performance,Performance and Sensitivities of Home Detection on Mobile Phone Data,Big Data Meets Survey Science: A Collection of Innovative Methods
phone_performance,A high-performance cell-phone based polarized microscope for malaria diagnosis,"Journal of BiophotonicsVolume 16, Issue 5"
phone_performance,10.1: Invited Paper: High Uniformity High Color Performance AMOLED Display in Mobile Phone Application,"SID Symposium Digest of Technical PapersVolume 52, Issue S2"
phone_performance,How can mobile phone usage affect micro and small enterprises' performance in Saudi Arabia?,"The Electronic Journal of Information Systems in Developing CountriesVolume 87, Issue 2"
phone_performance,The Performance of a Mobile Phone Respiratory Rate Counter Compared to the WHO ARI Timer,"Journal of Healthcare EngineeringVolume 6, Issue 4"
phone_performance,Comparative analysis of the effects of mobile phone use on driving performance using ANOVA and ANCOVA,"IET Intelligent Transport SystemsVolume 14, Issue 9"
phone_performance,Improved Academic Performance and Student Perceptions of Learning Through Use of a Cell Phone-Based Personal Response System,"Journal of Food Science EducationVolume 17, Issue 1"
phone_performance,Influence of a Cell-Phone Conversation on Balance Performance in Women with Fibromyalgia: A Cross-Sectional Descriptive Study,"BioMed Research InternationalVolume 2019, Issue 1"
phone_performance,"Effects of advance organizers, mental models and abilities on task and recall performance using a mobile phone network","Applied Cognitive PsychologyVolume 20, Issue 9"
phone_performance,No effects of short-term exposure to mobile phone electromagnetic fields on human cognitive performance: A meta-analysis,"BioelectromagneticsVolume 33, Issue 2"
phone_performance,F5-05-02: The Harvard Automated Phone Task (APT): A Novel Performance-Based ADL Instrument for Early Alzheimer’s Disease,"Alzheimer's & DementiaVolume 12, Issue 7S_Part_7"
phone_performance,46.1: Invited Paper: a-Si for AMOLED — Meeting the Performance and Cost Demands of Display Applications (Cell Phone to HDTV),"SID Symposium Digest of Technical PapersVolume 37, Issue 1"
phone_performance,"Vitamins and psychological functioning: a mobile phone assessment of the effects of a B vitamin complex, vitamin C and minerals on cognitive performance and subjective mood and energy","Human Psychopharmacology: Clinical and ExperimentalVolume 26, Issue 4-5"
phone_performance,A randomised control trial to determine if use of the iResus©application on a smart phone improves the performance of an advanced life support provider in a simulated medical emergency,"AnaesthesiaVolume 66, Issue 4"
phone_performance,Performances study of compact printed diversity antenna in the presence of user's body for LTE mobile phone applications,"International Journal of RF and Microwave Computer-Aided EngineeringVolume 30, Issue 5"
phone_performance,"Prenatal exposure to 900 MHz, cell-phone electromagnetic fields had no effect on operant-behavior performances of adult rats","BioelectromagneticsVolume 21, Issue 8"
phone_performance,Performance of soft phones and advances in associated technology,"Bell Labs Technical JournalVolume 7, Issue 1"
phone_performance,Psychomotor performance is not influenced by brief repeated exposures to mobile phones,"BioelectromagneticsVolume 29, Issue 3"
phone_performance,Diversity Performance of Multiantenna Systems for UMTS Cellular Phones in Different Propagation Environments,"International Journal of Antennas and PropagationVolume 2008, Issue 1"
phone_performance,Word Prediction Programs with Phonetic Spelling Support: Performance Comparisons and Impact on Journal Writing for Students with Writing Difficulties,"Learning Disabilities Research & PracticeVolume 25, Issue 4"
phone_performance,"The effects of age group, interface type, and key area of mobile phones on game playing performance, usability, and visual fatigue: A case study of a rhythm game","Human Factors and Ergonomics in Manufacturing & Service IndustriesVolume 29, Issue 3"
phone_performance,Overall Receiver Performance,RF Measurements for Cellular Phones and Wireless Data Systems
phone_performance,Monitoring Telephone Interviewer Performance,Advances in Telephone Survey Methodology
phone_performance,W. H. Martin,"Bell System Technical JournalVolume 10, Issue 1"
phone_performance,Measuring and Improving Telephone Interviewer Performance and Productivity,Advances in Telephone Survey Methodology
phone_performance,V. E. Beneš,"Bell System Technical JournalVolume 62, Issue 2"
phone_performance,On Auto-Repeat Facilities and Telephone Network Performance,"Journal of the Royal Statistical Society: Series B (Methodological)Volume 48, Issue 1"
phone_performance,"E. T. Mottram, ","Bell System Technical JournalVolume 36, Issue 1"
phone_performance,"F. P. Duffy, ","Bell System Technical JournalVolume 54, Issue 2"
phone_performance,Objective evaluation model of telephone transmission performance for fundamental transmission factors,"Electronics and Communications in Japan (Part I: Communications)Volume 69, Issue 2"
phone_performance,P4-069: Relationship between longitudinal telephone screening and neuropsychological test performance,"Alzheimer's & DementiaVolume 5, Issue 4S_Part_15"
phone_performance,Mobile and Landline Telephone Performance Outcomes among Telephone-Using Cochlear Implant Recipients,"Otolaryngology–Head and Neck SurgeryVolume 146, Issue 2"
phone_performance,E. J. Weldon,"Bell System Technical JournalVolume 45, Issue 5"
phone_performance,Relationships among experience level and value orientation and the performance of paraprofessional telephone counselors,"American Journal of Community PsychologyVolume 7, Issue 2"
phone_performance,Cellular Telephones and Driving Performance: The Effects of Attentional Demands on Motor Vehicle Crash Risk,"Risk AnalysisVolume 25, Issue 4"
phone_performance,"Stress amongst nurses working in a healthcare telephone-advice service: relationship with job satisfaction, intention to leave, sickness absence, and performance","Journal of Advanced NursingVolume 68, Issue 7"
phone_performance,Telephone triage performed by nurses reduces non-urgent ambulance missions: A prospective observational pilot study in Finland,"Acta Anaesthesiologica ScandinavicaVolume 64, Issue 4"
phone_performance,It's good to talk: performing and recording the telephone interview,"AreaVolume 41, Issue 2"
