keyword,title,publication
phone_response,"Factors influencing self-report of mobile phone use: the role of response prompt, time reference and mobile phone use in recall","Applied Cognitive PsychologyVolume 23, Issue 5"
phone_response,No effects of mobile phone electromagnetic field on auditory brainstem response,"BioelectromagneticsVolume 31, Issue 1"
phone_response,Human skin cell stress response to GSM-900 mobile phone signals,"The FEBS JournalVolume 273, Issue 24"
phone_response,Impact of automated response systems on in-class cell phone use,"Biochemistry and Molecular Biology EducationVolume 47, Issue 5"
phone_response,Mobile Phone-Based Audience Response System and Student Engagement in Large-Group Teaching,"Economic Papers: A journal of applied economics and policyVolume 31, Issue 4"
phone_response,Infants’ response to a mobile phone modified still-face paradigm: Links to maternal behaviors and beliefs regarding technoference,"InfancyVolume 25, Issue 5"
phone_response,Improved Academic Performance and Student Perceptions of Learning Through Use of a Cell Phone-Based Personal Response System,"Journal of Food Science EducationVolume 17, Issue 1"
phone_response,Response to the comments on “Analysis of Mobile Phone Use Among Young Patients with Brain Tumors in Japan”,"BioelectromagneticsVolume 38, Issue 8"
phone_response,Analysis of biological effects of cell phone radiation on human body using specific absorption rate and thermoregulatory response,"Microwave and Optical Technology LettersVolume 61, Issue 6"
phone_response,Response to the issues raised about other aspects of mobile phone use that we might have considered while conducting our study entitled: “Factors associated with mental health among high school students in Iran: Does mobile phone overuse associate with poor mental health?”,"Journal of Child and Adolescent Psychiatric NursingVolume 32, Issue 3"
phone_response,Response to comment on “personal digital assistant (PDA) cell phone units produce elevated extremely-low frequency electromagnetic field emissions”,"BioelectromagneticsVolume 28, Issue 7"
phone_response,Response to comments by Balzano and Swicord on “neurophysiological effects of mobile phone electromagnetic fields on humans: A comprehensive review”,"BioelectromagneticsVolume 29, Issue 5"
phone_response,Design and application of the emergency response mobile phone-based information system for infectious disease reporting in the Wenchuan earthquake zone,"Journal of Evidence-Based MedicineVolume 2, Issue 2"
phone_response,Response to comments by Beekhuizen et al. on “Exposure assessment of mobile phone base station radiation in an outdoor environment using sequential surrogate modeling”,"BioelectromagneticsVolume 34, Issue 7"
phone_response,Mobile phone-based interactive voice response as a tool for improving access to healthcare in remote areas in Ghana – an evaluation of user experiences,"Tropical Medicine & International HealthVolume 22, Issue 5"
phone_response,Mobile phone radiation causes changes in gene and protein expression in human endothelial cell lines and the response seems to be genome- and proteome-dependent,"PROTEOMICSVolume 6, Issue 17"
phone_response,Authors response on Letter to the Editor on ‘Effects of exposure to a mobile phone on testicular function and structure in adult rabbit’ by Salama et al.,"International Journal of AndrologyVolume 33, Issue 1"
phone_response,"Response to comments on cognitive impairment in rats after long-term exposure to GSM-900 mobile phone radiation by Nittby et al. (Bioelectromagnetics 29:219–232, 2008)","BioelectromagneticsVolume 30, Issue 6"
phone_response,Resident responses to after-hours otolaryngology patient phone calls: An overlooked aspect of residency training?,"The LaryngoscopeVolume 128, Issue 5"
phone_response,Absence of nonlinear responses in cells and tissues exposed to RF energy at mobile phone frequencies using a doubly resonant cavity,"BioelectromagneticsVolume 31, Issue 7"
phone_response,"“Every time the phone rings, my heart stops”: Mothers’ emotional responses to having a young adult child with a substance use disorder","Journal of Marital and Family TherapyVolume 48, Issue 3"
