keyword,title,publication
smartphone_issue,"Smartphone Triggered Security Challenges - Issues, Case Studies and Prevention","Cyber Security in Parallel and Distributed Computing: Concepts, Techniques, Applications and Case Studies"
smartphone_issue,Privacy Issues in Smartphone Applications: An Analysis of Headache/Migraine Applications,"Headache: The Journal of Head and Face PainVolume 58, Issue 7"
smartphone_issue,Smartphone app a lifesaver for patients after myocardial infarction,"Medical Journal of AustraliaVolume 202, Issue 8"
smartphone_issue,Nurses seek regulations for smartphone use by patients and families,"AORN JournalVolume 104, Issue 1"
smartphone_issue,Measurement of the knee flexion angle with smartphone applications: Which technology is better?,"Knee Surgery, Sports Traumatology, ArthroscopyVolume 24, Issue 9"
smartphone_issue,5.1: Influence of Pixel Density on the Image Quality of Smartphone Displays,"SID Symposium Digest of Technical PapersVolume 46, Issue 1"
smartphone_issue,Diagnostic utility of flexible fiberoptic nasopharyngolaryngoscopy recorded onto a smartphone: A pilot study,"World Journal of Otorhinolaryngology - Head and Neck SurgeryVolume 4, Issue 2"
smartphone_issue,An Inquiry-based Approach to Understanding Well-being and Smartphone Usage: Constructing Research with Adolescent Students,"Mind, Brain, and EducationVolume 18, Issue 2"
smartphone_issue,49-2: 3D Applications: OLED Smartphone Glasses-Free 3D Display Conversion System Based on 5G Communication Technology,"SID Symposium Digest of Technical PapersVolume 55, Issue S1"
smartphone_issue,Utilizing Smartphone Technology To Monitor Improvements In The Healthiness Of The Food Supply,"The FASEB JournalVolume 30, Issue S1"
smartphone_issue,3-3: Invited Paper: Prediction Model for Visual Fatigue Caused by Smartphone Display Based on EEG Multi-dimensional Features,"SID Symposium Digest of Technical PapersVolume 55, Issue S1"
smartphone_issue,Smart shoppers? Using QR codes and ‘green’ smartphone apps to mobilize sustainable consumption in the retail environment,"International Journal of Consumer StudiesVolume 37, Issue 4"
smartphone_issue,Health anxiety related to problematic smartphone use and gaming disorder severity during COVID-19: Fear of missing out as a mediator,"Human Behavior and Emerging TechnologiesVolume 3, Issue 1"
smartphone_issue,A knowledge-based self-pre-diagnosis system to predict Covid-19 in smartphone users using personal data and observed symptoms,"Expert SystemsVolume 39, Issue 3"
smartphone_issue,User attitudes and behaviors toward personalized control of privacy settings on smartphones,"Concurrency and Computation: Practice and ExperienceVolume 31, Issue 22"
smartphone_issue,Smartphones and Face-to-Face Interaction: Digital Cross-Talk During Encounters in Everyday Life,"Symbolic InteractionVolume 42, Issue 1"
smartphone_issue,REST4Mobile: A framework for enhanced usability of REST services on smartphones,"Concurrency and Computation: Practice and ExperienceVolume 32, Issue 1"
smartphone_issue,51.1: Effect of PWM Dimming Frequency of OLED Smartphones on Visual Fatigue,"SID Symposium Digest of Technical PapersVolume 54, Issue S1"
smartphone_issue,P-3.8: Differences in Visual Comfort of Smartphones between Comfortable and Uncomfortable Luminance,"SID Symposium Digest of Technical PapersVolume 55, Issue S1"
smartphone_issue,Forensic data acquisition from cloud-of-things devices: windows Smartphones as a case study,"Concurrency and Computation: Practice and ExperienceVolume 29, Issue 14"
smartphone_issue,P-13.1: Source-Contacted Metal Isolation Layer for Camera under Panel in Smartphones†,"SID Symposium Digest of Technical PapersVolume 53, Issue S1"
smartphone_issue,AIM-Mobile Learning Platform to enhance the teaching-learning process using smartphones,"Computer Applications in Engineering EducationVolume 26, Issue 5"
