keyword,title,publication
smartphone_memory,Comment on: Using smartphone technology to improve prospective memory functioning,"Journal of the American Geriatrics SocietyVolume 70, Issue 5"
smartphone_memory,Reply to: Comment on: Using smartphone technology to improve prospective memory functioning,"Journal of the American Geriatrics SocietyVolume 70, Issue 5"
smartphone_memory,Using smartphone technology to improve prospective memory functioning: A randomized controlled trial,"Journal of the American Geriatrics SocietyVolume 70, Issue 2"
smartphone_memory,User-led Design of a Self-administered Smartphone-based Learning and Memory Assessment,"Alzheimer's & DementiaVolume 18, Issue S7"
smartphone_memory,Further Validation of a Self-administered Smartphone-based Verbal Learning and Memory Assessment,"Alzheimer's & DementiaVolume 19, Issue S11"
smartphone_memory,Further Validation of a Self-administered Smartphone-based Verbal Learning and Memory Assessment,"Alzheimer's & DementiaVolume 19, Issue S18"
smartphone_memory,A smartphone-based self-administered test of verbal episodic memory: Development and initial validation,"Alzheimer's & DementiaVolume 17, Issue S11"
smartphone_memory,Out and about: Subsequent memory effect captured in a natural outdoor environment with smartphone EEG,"PsychophysiologyVolume 56, Issue 5"
smartphone_memory,How people with brain injury run and evaluate a SLAM-based smartphone augmented reality application to assess object-location memory,PsyCh JournalEarly View
smartphone_memory,Smartphone-based long-term delayed memory performance is associated with the Preclinical Alzheimer's Cognitive Composite and CSF levels of β-amyloid,"Alzheimer's & DementiaVolume 18, Issue S2"
smartphone_memory,Smartphone-based long-term delayed memory performance is associated with the Preclinical Alzheimer’s Cognitive Composite and CSF levels of β-amyloid,"Alzheimer's & DementiaVolume 18, Issue S7"
smartphone_memory,TD-P-34: USING SMARTPHONE PERSONAL ASSISTANT TECHNOLOGY TO SUPPORT PROSPECTIVE MEMORY IN MILD COGNITIVE IMPAIRMENT: PRELIMINARY LESSONS ON TRAINING FEASIBILITY AND PHONE USABILITY,"Alzheimer's & DementiaVolume 15, Issue 7S_Part_3"
smartphone_memory,Did you look that up? How retrieving from smartphones affects memory for source,"Applied Cognitive PsychologyVolume 36, Issue 4"
