keyword,title,publication,matched_venue,remain,analyzed
mobile_performance,“Inconsistent Performance”: Understanding Concerns of Real-World Users on Smart Mobile Health Applications Through Analyzing App Reviews,UIST '22 Adjunct: Adjunct Proceedings of the 35th Annual ACM Symposium on User Interface Software and Technology,ist ,no,not in venue list
mobile_performance,On the Impact of the Critical CSS Technique on the Performance and Energy Consumption of Mobile Browsers,EASE '22: Proceedings of the 26th International Conference on Evaluation and Assessment in Software Engineering,"ase 
ease 
international conference on evaluation and assessment in software engineering",yes,only target problem
mobile_performance,Performance bottlenecks identification in cloudified mobile networks,MobiCom '20: Proceedings of the 26th Annual International Conference on Mobile Computing and Networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_performance,"Global mobile network aggregators: taxonomy, roaming performance and optimization","MobiSys '22: Proceedings of the 20th Annual International Conference on Mobile Systems, Applications and Services","mobisys 
international conference on mobile systems, applications and services",no,no need
mobile_performance,Investigating the Correlation between Performance Scores and Energy Consumption of Mobile Web Apps,EASE '20: Proceedings of the 24th International Conference on Evaluation and Assessment in Software Engineering,"ase 
ease 
international conference on evaluation and assessment in software engineering",no,no need
mobile_performance,An In-depth Analysis of the Impact of Battery Usage Patterns on Performance of Task Allocation Algorithms in Sparse Mobile Crowdsensing,"MSWIM '19: Proceedings of the 22nd International ACM Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",mswim ,no,no need
mobile_performance,Session details: PAPER SESSION 8: Mobile Performance,"MobiSys '17: Proceedings of the 15th Annual International Conference on Mobile Systems, Applications, and Services",mobisys ,no,no need
mobile_performance,"Communications-based Formation Control of Mobile Robots: Modeling, Analysis and Performance Evaluation","MSWiM '20: Proceedings of the 23rd International ACM Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",mswim ,no,no need
mobile_performance,Improved Mobile Robot Programming Performance through Real-time Program Assessment,ITiCSE '17: Proceedings of the 2017 ACM Conference on Innovation and Technology in Computer Science Education,icse ,no,not in venue list
mobile_performance,"A Method and a Tool for Commercial Performance Evaluation of a Company: The case of a ""Mobile Telephony Operator""",ICIST '20: Proceedings of the 10th International Conference on Information Systems and Technologies,ist ,no,not in venue list
mobile_performance,Romou: rapidly generate high-performance tensor kernels for mobile GPUs,MobiCom '22: Proceedings of the 28th Annual International Conference on Mobile Computing And Networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_performance,Rethinking Energy-Performance Trade-Off in Mobile Web Page Loading,MobiCom '15: Proceedings of the 21st Annual International Conference on Mobile Computing and Networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_performance,Performance Evaluation of a Wireless Network using a VoIP Traffic Generator on a Mobile Device,SAICSIT '14: Proceedings of the Southern African Institute for Computer Scientist and Information Technologists Annual Conference 2014 on SAICSIT 2014 Empowered by Technology,ist ,no,not in venue list
mobile_performance,Mobile-Health Tool Use and Community Health Worker Performance in the Kenyan Context: A Task-Technology Fit Perspective,SAICSIT '14: Proceedings of the Southern African Institute for Computer Scientist and Information Technologists Annual Conference 2014 on SAICSIT 2014 Empowered by Technology,ist ,no,not in venue list
mobile_performance,Mobile network performance evaluation using the radio frequency network channel emulation simulation tool(RFnest™),MobiCom '13: Proceedings of the 19th annual international conference on Mobile computing & networking,mobicom ,no,no need
mobile_performance,Handover performance in the IEEE 802.16 mobile networks,SIMUTools '10: Proceedings of the 3rd International ICST Conference on Simulation Tools and Techniques,icst ,no,not in venue list
mobile_performance,Design and performance evaluation of an energy-aware scheduling framework for mobile WiMAX,"MSWIM '10: Proceedings of the 13th ACM international conference on Modeling, analysis, and simulation of wireless and mobile systems",mswim ,no,no need
mobile_performance,Delay-throughput performance in mobile ad-hoc networks with heterogeneous nodes,"MSWiM '09: Proceedings of the 12th ACM international conference on Modeling, analysis and simulation of wireless and mobile systems",mswim ,no,no need
mobile_performance,Performance assertions for mobile devices,ISSTA '06: Proceedings of the 2006 international symposium on Software testing and analysis,"issta 
international symposium on software testing and analysis",no,no need
mobile_performance,ZIPT: Zero-Integration Performance Testing of Mobile App Designs,UIST '17: Proceedings of the 30th Annual ACM Symposium on User Interface Software and Technology,ist ,no,not in venue list
mobile_performance,Poster: Application-Layer Optimization of Performance vs Energy in Mobile Network I/O,"MobiSys '17: Proceedings of the 15th Annual International Conference on Mobile Systems, Applications, and Services",mobisys ,no,no need
mobile_performance,Performance analysis of the mobile IP fast authentication protocol,"MSWiM '04: Proceedings of the 7th ACM international symposium on Modeling, analysis and simulation of wireless and mobile systems",mswim ,no,no need
mobile_performance,UML based modeling and performance analysis of mobile systems,"MSWiM '04: Proceedings of the 7th ACM international symposium on Modeling, analysis and simulation of wireless and mobile systems",mswim ,no,no need
mobile_performance,Performance evaluation of a streaming based protocol for 3D virtual environment exploration on mobile devices,MSWiM '06: Proceedings of the 9th ACM international symposium on Modeling analysis and simulation of wireless and mobile systems,mswim ,no,no need
mobile_performance,Improving TCP performance over wireless networks with collaborative multi-homed mobile hosts,"MobiSys '05: Proceedings of the 3rd international conference on Mobile systems, applications, and services",mobisys ,no,no need
mobile_performance,Improving TCP performance over mobile ad hoc networks by exploiting cross-layer information awareness,MobiCom '04: Proceedings of the 10th annual international conference on Mobile computing and networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_performance,Performance analysis of optimized smooth handoff in mobile IP,MSWiM '02: Proceedings of the 5th ACM international workshop on Modeling analysis and simulation of wireless and mobile systems,mswim ,no,no need
mobile_performance,The performance impact of traffic patterns on routing protocols in mobile ad hoc networks,"MSWiM '04: Proceedings of the 7th ACM international symposium on Modeling, analysis and simulation of wireless and mobile systems",mswim ,no,no need
mobile_performance,Performance evaluation of mobile wireless networks: a new perspective,"MSWIM '01: Proceedings of the 4th ACM international workshop on Modeling, analysis and simulation of wireless and mobile systems",mswim ,no,no need
mobile_performance,Demo: Mapping global mobile performance trends with mobilyzer and mobiPerf,"MobiSys '14: Proceedings of the 12th annual international conference on Mobile systems, applications, and services",mobisys ,no,no need
mobile_performance,Multi-hop mobile wireless network design: implicit cross-layer loss models and performance sensitivities,MobiCom '08: Proceedings of the 14th ACM international conference on Mobile computing and networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_performance,Improving TCP performance over mobile ad-hoc networks with out-of-order detection and response,MobiHoc '02: Proceedings of the 3rd ACM international symposium on Mobile ad hoc networking & computing,mobihoc ,no,no need
mobile_performance,Analysis of TCP performance over mobile ad hoc networks,MobiCom '99: Proceedings of the 5th annual ACM/IEEE international conference on Mobile computing and networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_performance,A comparison of TCP performance over three routing protocols for mobile ad hoc networks,MobiHoc '01: Proceedings of the 2nd ACM international symposium on Mobile ad hoc networking & computing,mobihoc ,no,no need
mobile_performance,Evaluating the performance of mobile agent-based message communication among mobile hosts in large ad hoc wireless network,"MSWiM '99: Proceedings of the 2nd ACM international workshop on Modeling, analysis and simulation of wireless and mobile systems",mswim ,no,no need
mobile_performance,Performance analysis of mobile agents for filtering data streams on wireless networks,"MSWIM '00: Proceedings of the 3rd ACM international workshop on Modeling, analysis and simulation of wireless and mobile systems",mswim ,no,no need
mobile_performance,"PROTEUS: network performance forecast for real-time, interactive mobile applications","MobiSys '13: Proceeding of the 11th annual international conference on Mobile systems, applications, and services",mobisys ,no,no need
mobile_performance,"System and process modelling for design, management and performance evaluation of present and future mobile networks","MSWIM '01: Proceedings of the 4th ACM international workshop on Modeling, analysis and simulation of wireless and mobile systems",mswim ,no,no need
mobile_performance,Scenario-based performance analysis of routing protocols for mobile ad-hoc networks,MobiCom '99: Proceedings of the 5th annual ACM/IEEE international conference on Mobile computing and networking,"mobicom 
international conference on mobile computing and networking",no,no need
