AppName,gitLink,FDstoreLink
Tailscale,https://github.com/tailscale/tailscale-android,https://f-droid.org//en/packages/com.tailscale.ipn/
Mullvad VPN: privacy is a universal right,https://github.com/mullvad/mullvadvpn-app,https://f-droid.org//en/packages/net.mullvad.mullvadvpn/
WADBS,https://github.com/Smooth-E/wireless-adb-switch,https://f-droid.org//en/packages/com.smoothie.wirelessDebuggingSwitch/
Blazed Cloud,https://github.com/TheRedSpy15/blazedcloud,https://f-droid.org//en/packages/com.chancesoftwarellc.blazedcloud/
SimpleX Chat,https://github.com/simplex-chat/simplex-chat,https://f-droid.org//en/packages/chat.simplex.app/
Android 2 Linux Notifications,https://github.com/patri9ck/a2ln-app,https://f-droid.org//en/packages/dev.patri9ck.a2ln/
Nextcloud Talk,https://github.com/nextcloud/talk-android,https://f-droid.org//en/packages/com.nextcloud.talk2/
UpVPN - Serverless VPN,https://github.com/upvpn/upvpn-app,https://f-droid.org//en/packages/app.upvpn.upvpn/
CIFS Documents Provider,https://github.com/wa2c/cifs-documents-provider,https://f-droid.org//en/packages/com.wa2c.android.cifsdocumentsprovider/
Lighthouse Power Management,https://github.com/jeroen1602/lighthouse_pm,https://f-droid.org//en/packages/com.jeroen1602.lighthouse_pm/
Crazyflie Client,https://github.com/bitcraze/crazyflie-android-client,https://f-droid.org//en/packages/se.bitcraze.crazyfliecontrol2/
LocalSend,https://github.com/localsend/localsend,https://f-droid.org//en/packages/org.localsend.localsend_app/
EasySync,https://github.com/phpbg/easysync,https://f-droid.org//en/packages/com.phpbg.easysync/
ProtonVPN - Secure and Free VPN,https://github.com/ProtonVPN/android-app,https://f-droid.org//en/packages/ch.protonvpn.android/
AndrOBD,https://github.com/fr3ts0n/AndrOBD,https://f-droid.org//en/packages/com.fr3ts0n.ecu.gui.androbd/
WG Tunnel,https://github.com/zaneschepke/wgtunnel,https://f-droid.org//en/packages/com.zaneschepke.wireguardautotunnel/
HA Bluetooth Proxy,https://github.com/kvj/hass_Bluetooth_Proxy_Companion,https://f-droid.org//en/packages/org.kvj.habtproxy.fdroid.release/
Meshenger,https://github.com/meshenger-app/meshenger-android,https://f-droid.org//en/packages/d.d.meshenger/
DPC,https://github.com/jakubslaby09/dpc,https://f-droid.org//en/packages/cz.slaby.dpc/
droidVNC-NG,https://github.com/bk138/droidVNC-NG,https://f-droid.org//en/packages/net.christianbeier.droidvnc_ng/
Mastodon,https://github.com/mastodon/mastodon-android,https://f-droid.org//en/packages/org.joinmastodon.android/
SerialTest,https://github.com/wh201906/SerialTest,https://f-droid.org//en/packages/priv.wh201906.serialtest/
SerialPipe,https://github.com/wh201906/SerialPipe,https://f-droid.org//en/packages/io.github.wh201906.serialpipe/
NextDNS Manager,https://github.com/doubleangels/NextDNSManager,https://f-droid.org//en/packages/com.doubleangels.nextdnsmanagement/
NextcloudServices,https://github.com/Andrewerr/NextcloudServices,https://f-droid.org//en/packages/com.polar.nextcloudservices/
OUI Lookup and Database,https://github.com/Alberto97/OUILookup,https://f-droid.org//en/packages/org.alberto97.ouilookup/
Audio Share,https://github.com/mkckr0/audio-share,https://f-droid.org//en/packages/io.github.mkckr0.audio_share_app/
e-Passport Reader,https://github.com/tananaev/passport-reader,https://f-droid.org//en/packages/com.tananaev.passportreader/
AirGuard - AirTag protection,https://github.com/seemoo-lab/AirGuard,https://f-droid.org//en/packages/de.seemoo.at_tracking_detection/
Nextcloud Cookbook,https://github.com/lneugebauer/nextcloud-cookbook,https://f-droid.org//en/packages/de.lukasneugebauer.nextcloudcookbook/
Riseup VPN,https://0xacab.org/leap/bitmask_android,https://f-droid.org//en/packages/se.leap.riseupvpn/
Bitmask,https://0xacab.org/leap/bitmask_android,https://f-droid.org//en/packages/se.leap.bitmaskclient/
TSViewer,https://github.com/BlazeCodeDev/TSViewer,https://f-droid.org//en/packages/com.blazecode.tsviewer/
Loud Bang,https://github.com/TheMetallists/LoudBang,https://f-droid.org//en/packages/aq.metallists.loudbang/
Moshidon,https://github.com/LucasGGamerM/moshidon,https://f-droid.org//en/packages/org.joinmastodon.android.moshinda/
Snapdrop & PairDrop for Android,https://github.com/fm-sys/snapdrop-android,https://f-droid.org//en/packages/com.fmsys.snapdrop/
Briar,https://code.briarproject.org/briar/briar,https://f-droid.org//en/packages/org.briarproject.briar.android/
My Leaf,https://gitlab.com/tobiaswkjeldsen/carwingsflutter,https://f-droid.org//en/packages/dk.kjeldsen.carwingsflutter/
MultiVNC,https://github.com/bk138/multivnc,https://f-droid.org//en/packages/com.coboltforge.dontmind.multivnc/
Home Assistant,https://github.com/home-assistant/android,https://f-droid.org//en/packages/io.homeassistant.companion.android.minimal/
URLCheck,https://github.com/TrianguloY/UrlChecker,https://f-droid.org//en/packages/com.trianguloy.urlchecker/
Osram Remote,https://github.com/TalkingPanda0/osram-remote,https://f-droid.org//en/packages/org.talkingpanda.osram_remote/
Keep it up,https://github.com/ibbaa/keepitup,https://f-droid.org//en/packages/net.ibbaa.keepitup/
MIFARE Classic Tool,https://github.com/ikarus23/MifareClassicTool,https://f-droid.org//en/packages/de.syss.MifareClassicTool/
Thor - IPFS Lite,https://gitlab.com/remmer.wilts/thor,https://f-droid.org//en/packages/threads.thor/
IPFS Lite,https://gitlab.com/remmer.wilts/ipfs-lite,https://f-droid.org//en/packages/threads.server/
Vernet - Network Analyzer,https://github.com/osociety/vernet,https://f-droid.org//en/packages/org.fsociety.vernet/
i2pd,https://github.com/PurpleI2P/i2pd-android,https://f-droid.org//en/packages/org.purplei2p.i2pd/
