AppName,gitLink,FDstoreLink
Orgro,https://github.com/amake/orgro,https://f-droid.org//en/packages/com.madlonkay.orgro/
WADBS,https://github.com/Smooth-E/wireless-adb-switch,https://f-droid.org//en/packages/com.smoothie.wirelessDebuggingSwitch/
QRAlarm,https://github.com/sweakpl/qralarm-android,https://f-droid.org//en/packages/com.sweak.qralarm/
AnLinux,https://github.com/EXALAB/AnLinux-Adfree,https://f-droid.org//en/packages/exa.lnx.a/
F-Droid Build Status,https://codeberg.org/pstorch/F-Droid_Build_Status,https://f-droid.org//en/packages/de.storchp.fdroidbuildstatus/
Geto,https://github.com/JackEblan/Geto,https://f-droid.org//en/packages/com.android.geto/
Nix-on-Droid,https://github.com/nix-community/nix-on-droid,https://f-droid.org//en/packages/com.termux.nix/
SerialTest,https://github.com/wh201906/SerialTest,https://f-droid.org//en/packages/priv.wh201906.serialtest/
SerialPipe,https://github.com/wh201906/SerialPipe,https://f-droid.org//en/packages/io.github.wh201906.serialpipe/
Acode editor - Android code editor,https://github.com/deadlyjack/Acode,https://f-droid.org//en/packages/com.foxdebug.acode/
HexViewer,https://github.com/Keidan/HexViewer/,https://f-droid.org//en/packages/fr.ralala.hexviewer/
Shader Editor,https://github.com/markusfisch/ShaderEditor,https://f-droid.org//en/packages/de.markusfisch.android.shadereditor/
SimpleTextEditor,https://github.com/maxistar/TextPad,https://f-droid.org//en/packages/com.maxistar.textpad/
Squircle CE - Code Editor,https://github.com/massivemadness/Squircle-CE,https://f-droid.org//en/packages/com.blacksquircle.ui/
Inventory,https://github.com/codelv/inventory,https://f-droid.org//en/packages/com.codelv.inventory/
Termux:Styling,https://github.com/termux/termux-styling,https://f-droid.org//en/packages/com.termux.styling/
Godot Editor 4,https://github.com/godotengine/godot/,https://f-droid.org//en/packages/org.godotengine.editor.v4/
Ansible Sempahore Client,https://github.com/gsmlg-dev/ansible-semaphore-client,https://f-droid.org//en/packages/org.gsmlg.semaphore/
kubenav,https://github.com/kubenav/kubenav,https://f-droid.org//en/packages/io.kubenav.kubenav/
Cosmic IDE,https://github.com/Cosmic-Ide/Cosmic-IDE,https://f-droid.org//en/packages/org.cosmicide/
Rtl-sdr driver,https://github.com/martinmarinov/rtl_tcp_andro-,https://f-droid.org//en/packages/marto.rtl_tcp_andro/
Emacs,https://git.savannah.gnu.org/cgit/emacs.git/tree/,https://f-droid.org//en/packages/org.gnu.emacs/
MIFARE Classic Tool,https://github.com/ikarus23/MifareClassicTool,https://f-droid.org//en/packages/de.syss.MifareClassicTool/
Activity Manager,https://github.com/sdex/ActivityManager,https://f-droid.org//en/packages/com.activitymanager/
Godot Editor 3,https://github.com/godotengine/godot/,https://f-droid.org//en/packages/org.godotengine.editor.v3/
RoboZZle Droid,https://github.com/lostmsu/RoboZZle-Droid,https://f-droid.org//en/packages/com.team242.robozzle/
UML Class Editor,https://github.com/NathanielMotus/UmlClassEditor,https://f-droid.org//en/packages/com.nathaniel.motus.umlclasseditor/
qBittorrent Manager,https://github.com/Yash-Garg/qBittorrent-Manager,https://f-droid.org//en/packages/dev.yashgarg.qbit/
tldr man-pages,https://github.com/Techno-Disaster/tldr-flutter,https://f-droid.org//en/packages/wtf.technodisaster.tldr/
TIC-80,https://github.com/nesbox/TIC-80,https://f-droid.org//en/packages/com.nesbox.tic/
FHCode,https://github.com/fredhappyface/android.fhcode,https://f-droid.org//en/packages/com.fredhappyface.fhcode/
Brainf,https://github.com/fredhappyface/android.brainf,https://f-droid.org//en/packages/com.fredhappyface.brainf/
Unexpected Keyboard,https://github.com/Julow/Unexpected-Keyboard,https://f-droid.org//en/packages/juloo.keyboard2/
TTL Manager,https://github.com/michael2to3/android-ttl-manager,https://f-droid.org//en/packages/com.github.ttl.manager/
Bluetooth terminal,https://github.com/Sash0k/bluetooth-spp-terminal,https://f-droid.org//en/packages/ru.sash0k.bluetooth_terminal/
Treble Info,https://gitlab.com/TrebleInfo/TrebleInfo,https://f-droid.org//en/packages/tk.hack5.treblecheck/
Intent Intercept,https://github.com/k3b/intent-intercept,https://f-droid.org//en/packages/de.k3b.android.intentintercept/
FakeTraveler,https://github.com/mcastillof/FakeTraveler,https://f-droid.org//en/packages/cl.coders.faketraveler/
TodoTree,https://github.com/TomSmeets/TodoTree,https://f-droid.org//en/packages/nl.tsmeets.todotree/
MGit,https://github.com/maks/MGit,https://f-droid.org//en/packages/com.manichord.mgit/
Webmon,https://github.com/theAkito/webmon,https://f-droid.org//en/packages/ooo.akito.webmon/
The Translator,https://github.com/sunilpaulmathew/Translator,https://f-droid.org//en/packages/com.sunilpaulmathew.translator/
NFSee - NFC Card Helper,https://github.com/nfcim/nfsee,https://f-droid.org//en/packages/im.nfc.nfsee/
OctoDroid,https://github.com/slapperwan/gh4a,https://f-droid.org//en/packages/com.gh4a/
Drawterm,https://git.sr.ht/~sirjofri/drawterm-fdroid,https://f-droid.org//en/packages/org.echoline.drawterm/
Scoop,https://github.com/TacoTheDank/Scoop,https://f-droid.org//en/packages/taco.scoop/
JSlab,https://github.com/fps/JSlab,https://f-droid.org//en/packages/eu.dfdx.jslab/
PX:VW - converter,https://github.com/loooltooot/css-px-converter,https://f-droid.org//en/packages/com.catalin.css_px_converter/
X11-Basic,https://codeberg.org/kollo/X11-Basic,https://f-droid.org//en/packages/net.sourceforge.x11basic/
Smart Card Emulator,https://github.com/frankmorgner/vsmartcard/tree/HEAD/ACardEmulator,https://f-droid.org//en/packages/com.vsmartcard.acardemulator/
