AppName,gitLink,FDstoreLink
Li-Ri,https://github.com/petitlapin/Li-ri,https://f-droid.org//en/packages/org.liri.liri/
Unciv,https://github.com/yairm210/Unciv,https://f-droid.org//en/packages/com.unciv.app/
Boxcars,https://code.rocket9labs.com/tslocum/boxcars-android,https://f-droid.org//en/packages/com.rocket9labs.boxcars/
Forkyz,https://gitlab.com/Hague/forkyz,https://f-droid.org//en/packages/app.crossword.yourealwaysbe.forkyz/
Tarock PalÄka,https://github.com/mytja/Tarok,https://f-droid.org//en/packages/si.palcka.tarok/
Gauguin,https://github.com/meikpiep/gauguin,https://f-droid.org//en/packages/org.piepmeyer.gauguin/
Gridle,https://github.com/billthefarmer/gridle,https://f-droid.org//en/packages/org.billthefarmer.gridle/
VCMI,https://github.com/vcmi/vcmi,https://f-droid.org//en/packages/is.xyz.vcmi/
AAAAXY,https://github.com/divVerent/aaaaxy,https://f-droid.org//en/packages/io.github.divverent.aaaaxy/
Andor's Trail,https://github.com/AndorsTrailRelease/andors-trail,https://f-droid.org//en/packages/com.gpl.rpg.AndorsTrail/
Chaldea,https://github.com/chaldea-center/chaldea,https://f-droid.org//en/packages/cc.narumi.chaldea.fdroid/
Zoysii - Logic game,https://gitlab.com/deepdaikon/Zoysii/tree/HEAD,https://f-droid.org//en/packages/xyz.deepdaikon.zoysii/
Quinb: 4 players reaction game,https://gitlab.com/deepdaikon/Quinb/tree/HEAD,https://f-droid.org//en/packages/xyz.deepdaikon.quinb/
Gurgle,https://github.com/billthefarmer/gurgle,https://f-droid.org//en/packages/org.billthefarmer.gurgle/
PasseGares,https://framagit.org/JonathanMM/passegares,https://f-droid.org//en/packages/fr.nocle.passegares/
Ricochlime,https://github.com/adil192/ricochlime,https://f-droid.org//en/packages/com.adilhanney.ricochlime/
Crazyflie Client,https://github.com/bitcraze/crazyflie-android-client,https://f-droid.org//en/packages/se.bitcraze.crazyfliecontrol2/
Minetest,https://github.com/minetest/minetest,https://f-droid.org//en/packages/net.minetest.minetest/
Minesweeper - Antimine,https://github.com/lucasnlm/antimine-android,https://f-droid.org//en/packages/dev.lucanlm.antimine/
