AppName,gitLink,FDstoreLink
Gallery for PhotoPrism,https://github.com/Radiokot/photoprism-android-client,https://f-droid.org//en/packages/ua.com.radiokot.photoprism/
Clock Screensaver,https://github.com/schorschii/FsClock-Android,https://f-droid.org//en/packages/systems.sieber.fsclock/
Slideshow Wallpaper,https://github.com/Doubi88/SlideshowWallpaper,https://f-droid.org//en/packages/io.github.doubi88.slideshowwallpaper/
Image Toolbox (Resizer),https://github.com/T8RIN/ImageResizer,https://f-droid.org//en/packages/ru.tech.imageresizershrinker/
Aves Libre,https://github.com/deckerst/aves,https://f-droid.org//en/packages/deckers.thibault.aves.libre/
CameraAlign,https://github.com/JS-HobbySoft/CameraAlign,https://f-droid.org//en/packages/org.jshobbysoft.cameraalign/
Les Pas - Photo Album for Nextcloud,https://github.com/scubajeff/lespas,https://f-droid.org//en/packages/site.leos.apps.lespas/
Pocket Paint,https://github.com/Catrobat/Paintroid,https://f-droid.org//en/packages/org.catrobat.paintroid/
FreePaint,https://github.com/pastthepixels/FreePaint,https://f-droid.org//en/packages/io.github.pastthepixels.freepaint/
Camera Folder,https://github.com/k3b/CameraFolder,https://f-droid.org//en/packages/de.k3b.android.camerafolder/
Gallery,https://github.com/IacobIonut01/Gallery,https://f-droid.org//en/packages/com.dot.gallery/
Elements,https://github.com/vendelin8/elements-flutter,https://f-droid.org//en/packages/io.github.vendelin8.elements/
VES - Image and Photo Compare,https://github.com/VincentEngel/VES-Image-Compare,https://f-droid.org//en/packages/com.vincentengelsoftware.vesandroidimagecompare/
Easter Eggs,https://github.com/hushenghao/AndroidEasterEggs,https://f-droid.org//en/packages/com.dede.android_eggs/
Open Stable Diffusion,https://github.com/Jokimax/OpenStableDiffusion,https://f-droid.org//en/packages/com.openstablediffusion/
TIDY Text-to-Image Discovery,https://github.com/slavabarkov/tidy,https://f-droid.org//en/packages/com.slavabarkov.tidy/
Simple Gallery Pro,https://github.com/SimpleMobileTools/Simple-Gallery,https://f-droid.org//en/packages/com.simplemobiletools.gallery.pro/
Souvenirs,https://github.com/zorgluf/souvenirs-android,https://f-droid.org//en/packages/fr.nuage.souvenirs/
Simple Draw Pro,https://github.com/SimpleMobileTools/Simple-Draw,https://f-droid.org//en/packages/com.simplemobiletools.draw.pro/
SDAI FOSS,https://github.com/ShiftHackZ/Stable-Diffusion-Android,https://f-droid.org//en/packages/com.shifthackz.aisdv1.app.foss/
MemeTastic,https://github.com/gsantner/memetastic,https://f-droid.org//en/packages/io.github.gsantner.memetastic/
TIC-80,https://github.com/nesbox/TIC-80,https://f-droid.org//en/packages/com.nesbox.tic/
LBalance,https://github.com/lufebe16/lbalance,https://f-droid.org//en/packages/org.lufebe16.lbalance/
Pix-EzViewer,https://github.com/ultranity/Pix-EzViewer,https://f-droid.org//en/packages/com.perol.asdpl.play.pixivez.libre/
Photo Editor,https://github.com/burhanrashid52/PhotoEditor,https://f-droid.org//en/packages/com.burhanrashid52.photoediting/
Tux Paint,https://github.com/tux4kids/Tuxpaint-Android,https://f-droid.org//en/packages/org.tuxpaint/
Watermarking,https://github.com/free-watermark/mobile-app,https://f-droid.org//en/packages/io.github.freewatermark.mobileapp/
SuperImage,https://github.com/Lucchetto/SuperImage,https://f-droid.org//en/packages/com.zhenxiang.superimage/
Imagepipe,https://codeberg.org/Starfish/Imagepipe,https://f-droid.org//en/packages/de.kaffeemitkoffein.imagepipe/
Exif Thumbnail Adder,https://github.com/tenzap/exif-thumbnail-adder,https://f-droid.org//en/packages/com.exifthumbnailadder.app/
LLCrop (loss less),https://github.com/k3b/LosslessJpgCrop,https://f-droid.org//en/packages/de.k3b.android.lossless_jpg_crop/
Coloring Book,https://github.com/niccokunzmann/coloring-book,https://f-droid.org//en/packages/eu.quelltext.coloring/
Kinoko[Manga Reader],https://github.com/gsioteam/kinoko,https://f-droid.org//en/packages/com.ero.kinoko/
OCR,https://github.com/SubhamTyagi/android-ocr,https://f-droid.org//en/packages/io.github.subhamtyagi.ocr/
Krita,https://invent.kde.org/graphics/krita,https://f-droid.org//en/packages/org.krita/
FreeDcam,https://github.com/KillerInk/FreeDcam,https://f-droid.org//en/packages/troop.com.freedcam/
Sketching (PFA),https://github.com/SecUSo/privacy-friendly-sketching,https://f-droid.org//en/packages/org.secuso.privacyfriendlysketching/
Send Reduced,https://github.com/arpruss/sendreduced,https://f-droid.org//en/packages/mobi.omegacentauri.SendReduced/
PixaPencil,https://github.com/therealbluepandabear/PixaPencil_Classic,https://f-droid.org//en/packages/com.therealbluepandabear.pixapencil/
Pixel Filter,https://github.com/pelya/screen-dimmer-pixel-filter,https://f-droid.org//en/packages/screen.dimmer.pixelfilter/
OCR (Tesseract),https://github.com/mtotschnig/OCR,https://f-droid.org//en/packages/org.totschnig.ocr.tesseract/
NightLight light,https://github.com/Ra-Na/NightLightApp,https://f-droid.org//en/packages/com.gluege.nightlight/
3D Model Viewer,https://github.com/the3deers/android-3D-model-viewer,https://f-droid.org//en/packages/org.andresoviedo.dddmodel2/
FeinstaubWidget,https://codeberg.org/Starfish/Feinstaubwidget,https://f-droid.org//en/packages/de.kaffeemitkoffein.feinstaubwidget/
Fluffyboard,https://github.com/Y0ngg4n/fluffy_board,https://f-droid.org//en/packages/pro.oblivioncoding.fluffy_board/
PxerStudio,https://github.com/BennyKok/PxerStudio,https://f-droid.org//en/packages/com.benny.pxerstudio/
Nextcloud Yaga,https://github.com/vauvenal5/yaga,https://f-droid.org//en/packages/com.github.vauvenal5.yaga/
LeafPic Revived,https://github.com/apcro/leafpicrevived,https://f-droid.org//en/packages/com.alienpants.leafpicrevived/
Acrylic Paint,https://gitpull.it/source/acrylic-paint/,https://f-droid.org//en/packages/anupam.acrylic/
Open Note Scanner,https://github.com/allgood/OpenNoteScanner,https://f-droid.org//en/packages/com.todobom.opennotescanner/
AsciiCam,https://github.com/dozingcat/AsciiCam,https://f-droid.org//en/packages/com.dozingcatsoftware.asciicam/
A Photo Manager,https://github.com/k3b/APhotoManager,https://f-droid.org//en/packages/de.k3b.android.androFotoFinder/
Zen,https://github.com/juankysoriano/Zen,https://f-droid.org//en/packages/zen.meditation.android/
Piwigo,https://github.com/Piwigo/Piwigo-Android,https://f-droid.org//en/packages/org.piwigo.android/
MotionEye Client for Android,https://github.com/developerfromjokela/motioneye-client,https://f-droid.org//en/packages/com.developerfromjokela.motioneyeclient/
