AppName,gitLink,FDstoreLink
Dash Wallet,https://github.com/HashEngineeringSolutions/dash-wallet,https://f-droid.org//en/packages/hashengineering.darkcoin.wallet/
KitchenOwl,https://github.com/TomBursch/kitchenowl,https://f-droid.org//en/packages/com.tombursch.kitchenowl/
Oinkoin,https://github.com/emavgl/oinkoin,https://f-droid.org//en/packages/com.github.emavgl.piggybankpro/
Encointer Wallet,https://github.com/encointer/encointer-wallet-flutter,https://f-droid.org//en/packages/org.encointer.wallet/
Nighthawk Wallet,https://github.com/nighthawk-apps/nighthawk-android-wallet,https://f-droid.org//en/packages/com.nighthawkapps.wallet.android/
Simple Crypto Widget,https://github.com/hwki/SimpleBitcoinWidget,https://f-droid.org//en/packages/com.brentpanther.bitcoinwidget/
Green,https://github.com/blockstream/green_android,https://f-droid.org//en/packages/com.greenaddress.greenbits_android_wallet/
My Expenses,https://github.com/mtotschnig/MyExpenses,https://f-droid.org//en/packages/org.totschnig.myexpenses/
Invoice Ninja,https://github.com/invoiceninja/admin-portal,https://f-droid.org//en/packages/com.invoiceninja.app/
Peercoin Wallet,https://github.com/peercoin/peercoin_flutter,https://f-droid.org//en/packages/com.coinerella.peercoin/
AgoraDesk: buy BTC anonymously,https://github.com/AgoraDesk-LocalMonero/agoradesk-app-foss,https://f-droid.org//en/packages/com.agoradesk.app/
LocalMonero: buy XMR privately,https://github.com/AgoraDesk-LocalMonero/agoradesk-app-foss,https://f-droid.org//en/packages/co.localmonero.app/
eXch.,https://github.com/pitonite/exch_cx,https://f-droid.org//en/packages/io.github.pitonite.exch_cx/
Currencies: Exchange Rate Calculator,https://github.com/sal0max/currencies,https://f-droid.org//en/packages/de.salomax.currencies/
BitBanana,https://github.com/michaelWuensch/BitBanana,https://f-droid.org//en/packages/app.michaelwuensch.bitbanana/
Unstoppable Wallet,https://github.com/horizontalsystems/unstoppable-wallet-android,https://f-droid.org//en/packages/io.horizontalsystems.bankwallet/
Specie,https://github.com/billthefarmer/specie,https://f-droid.org//en/packages/org.billthefarmer.specie/
Currency,https://github.com/billthefarmer/currency,https://f-droid.org//en/packages/org.billthefarmer.currency/
Groestlcoin Wallet TestNet,https://github.com/Groestlcoin/groestlcoin-wallet,https://f-droid.org//en/packages/hashengineering.groestlcoin.wallet_test/
Groestlcoin Wallet,https://github.com/Groestlcoin/groestlcoin-wallet,https://f-droid.org//en/packages/hashengineering.groestlcoin.wallet/
Taler Wallet,https://git.taler.net/taler-android.git/,https://f-droid.org//en/packages/net.taler.wallet.fdroid/
NanoLedger,https://github.com/chvp/NanoLedger,https://f-droid.org//en/packages/be.chvp.nanoledger/
Simple Bitcoin Wallet,https://github.com/akumaigorodski/wallet,https://f-droid.org//en/packages/com.btcontract.wallet/
