AppName,gitLink,FDstoreLink
Gallery for PhotoPrism,https://github.com/Radiokot/photoprism-android-client,https://f-droid.org//en/packages/ua.com.radiokot.photoprism/
Kotatsu,https://github.com/KotatsuApp/Kotatsu,https://f-droid.org//en/packages/org.koitharu.kotatsu/
Binary Eye,https://github.com/markusfisch/BinaryEye,https://f-droid.org//en/packages/de.markusfisch.android.binaryeye/
Paperless Mobile,https://github.com/astubenbord/paperless-mobile,https://f-droid.org//en/packages/de.astubenbord.paperless_mobile/
Pagan Music Sequencer,https://burnsomni.net/git/pagan,https://f-droid.org//en/packages/com.qfs.pagan/
Podverse,https://github.com/podverse/podverse-fdroid,https://f-droid.org//en/packages/com.podverse.fdroid/
Audile,https://github.com/aleksey-saenko/MusicRecognizer,https://f-droid.org//en/packages/com.mrsep.musicrecognizer/
Seal,https://github.com/JunkFood02/Seal,https://f-droid.org//en/packages/com.junkfood.seal/
EHHelper,https://github.com/thiagooo0/EHHelper,https://f-droid.org//en/packages/com.ehang.ehhelper/
Metronome,https://github.com/Kr0oked/Metronome,https://f-droid.org//en/packages/com.bobek.metronome/
Immich,https://github.com/alextran1502/immich,https://f-droid.org//en/packages/app.alextran.immich/
PipePipe,https://codeberg.org/NullPointerException/PipePipe,https://f-droid.org//en/packages/InfinityLoop1309.NewPipeEnhanced/
Jellyfin - your media in your hands!,https://github.com/jellyfin/jellyfin-android,https://f-droid.org//en/packages/org.jellyfin.mobile/
Blazed Cloud,https://github.com/TheRedSpy15/blazedcloud,https://f-droid.org//en/packages/com.chancesoftwarellc.blazedcloud/
AniHyou - AniList client,https://github.com/axiel7/AniHyou-android,https://f-droid.org//en/packages/com.axiel7.anihyou/
IR Remote,https://gitlab.com/divested-mobile/irremote,https://f-droid.org//en/packages/us.spotco.ir_remote/
Helio,https://github.com/helio-fm/helio-sequencer,https://f-droid.org//en/packages/fm.helio/
Vinyl Music Player,https://github.com/VinylMusicPlayer/VinylMusicPlayer,https://f-droid.org//en/packages/com.poupa.vinylmusicplayer/
Xtra,https://github.com/crackededed/Xtra/,https://f-droid.org//en/packages/com.github.andreyasadchy.xtra/
Funkwhale for Android,https://dev.funkwhale.audio/funkwhale/funkwhale-android,https://f-droid.org//en/packages/audio.funkwhale.ffa/
Jellyfin for Android TV,https://github.com/jellyfin/jellyfin-androidtv,https://f-droid.org//en/packages/org.jellyfin.androidtv/
Musify,https://github.com/gokadzev/Musify,https://f-droid.org//en/packages/com.gokadzev.musify.fdroid/
Clipious,https://github.com/lamarios/clipious,https://f-droid.org//en/packages/com.github.lamarios.clipious/
Screenshot Tile (NoRoot),https://github.com/cvzi/ScreenshotTile,https://f-droid.org//en/packages/com.github.cvzi.screenshottile/
Chubby Click - Metronome,https://codeberg.org/agrigolo/chubby-click,https://f-droid.org//en/packages/agrigolo.chubbyclick/
ente - encrypted photo storage,https://github.com/ente-io/photos-app,https://f-droid.org//en/packages/io.ente.photos.fdroid/
Mightier Amp,https://github.com/tuntorius/mightier_amp,https://f-droid.org//en/packages/com.tuntori.mightieramp/
EasySync,https://github.com/phpbg/easysync,https://f-droid.org//en/packages/com.phpbg.easysync/
BendyStraw,https://codeberg.org/mm-dev/bendy-straw,https://f-droid.org//en/packages/rocks.mm_dev.BendyStraw/
psychphinder,https://github.com/daih27/psychphinder,https://f-droid.org//en/packages/com.daih.psychphinder/
Ultrasonic,https://gitlab.com/ultrasonic/ultrasonic,https://f-droid.org//en/packages/org.moire.ultrasonic/
Unpopular Music Player,https://gitlab.com/AndreasK/unpopular-music-player,https://f-droid.org//en/packages/de.kromke.andreas.unpopmusicplayerfree/
Classical Music Scanner,https://gitlab.com/AndreasK/mediascanner,https://f-droid.org//en/packages/de.kromke.andreas.mediascanner/
AntennaPod,https://github.com/AntennaPod/AntennaPod,https://f-droid.org//en/packages/de.danoeh.antennapod/
BlackHole,https://github.com/Sangwan5688/BlackHole,https://f-droid.org//en/packages/com.shadow.blackhole/
Phonograph Plus,https://github.com/chr56/Phonograph_Plus,https://f-droid.org//en/packages/player.phonograph.plus/
CameraFileCopy,https://github.com/sz3/cfc,https://f-droid.org//en/packages/org.cimbar.camerafilecopy/
Aves Libre,https://github.com/deckerst/aves,https://f-droid.org//en/packages/deckers.thibault.aves.libre/
mpv-android,https://github.com/mpv-android/mpv-android,https://f-droid.org//en/packages/is.xyz.mpv/
Vanilla Music,https://github.com/vanilla-music/vanilla,https://f-droid.org//en/packages/ch.blinkenlights.android.vanilla/
