AppName,gitLink,FDstoreLink
ParkenUlm,https://github.com/bircni/ParkenUlmAndroid,https://f-droid.org//en/packages/development.parkenulm/
Vespucci,https://github.com/MarcusWolschon/osmeditor4android,https://f-droid.org//en/packages/de.blau.android/
GraphHopper Maps,https://github.com/boldtrn/graphhopper-maps-capacitor,https://f-droid.org//en/packages/com.graphhopper.maps/
OpenBike,https://codeberg.org/cyberme0w/open-bike/,https://f-droid.org//en/packages/dev.cyberme0w.openbike/
PasseGares,https://framagit.org/JonathanMM/passegares,https://f-droid.org//en/packages/fr.nocle.passegares/
Compass,https://github.com/Kr0oked/Compass,https://f-droid.org//en/packages/com.bobek.compass/
Offi,https://gitlab.com/oeffi/oeffi,https://f-droid.org//en/packages/de.schildbach.oeffi/
HK Transport,https://github.com/angus6b23/hk-transport,https://f-droid.org//en/packages/app.hkTransport/
SCEE,https://github.com/Helium314/SCEE,https://f-droid.org//en/packages/de.westnordost.streetcomplete.expert/
OpenStop,https://github.com/OPENER-next/OpenStop,https://f-droid.org//en/packages/de.tu_chemnitz.etit.sse.openstop/
Radar App,https://0xacab.org/xandyx/radar-app/,https://f-droid.org//en/packages/org.radar.app/
StreetÂ­Complete,https://github.com/streetcomplete/StreetComplete,https://f-droid.org//en/packages/de.westnordost.streetcomplete/
Trail Sense,https://github.com/kylecorry31/Trail-Sense,https://f-droid.org//en/packages/com.kylecorry.trail_sense/
Traccar Client,https://github.com/traccar/traccar-client-android,https://f-droid.org//en/packages/org.traccar.client/
BusTO,https://gitpull.it/source/libre-busto/,https://f-droid.org//en/packages/it.reyboz.bustorino/
"Organic Maps: Hike, Bike, Drive Offline",https://github.com/organicmaps/organicmaps,https://f-droid.org//en/packages/app.organicmaps/
Railway station photos,https://github.com/RailwayStations/RSAndroidApp,https://f-droid.org//en/packages/de.bahnhoefe.deutschlands.bahnhofsfotos/
DumpSeeker,https://github.com/woheller69/dumpseeker,https://f-droid.org//en/packages/org.woheller69.dumpseeker/
Buses,https://github.com/billthefarmer/buses,https://f-droid.org//en/packages/org.billthefarmer.buses/
Tridenta,https://github.com/Stypox/tridenta,https://f-droid.org//en/packages/org.stypox.tridenta/
Bimba,https://git.apiote.xyz/Bimba.git,https://f-droid.org//en/packages/xyz.apiote.bimba.czwek/
SatDump,https://github.com/satdump/satdump,https://f-droid.org//en/packages/org.satdump.SatDump/
GPSLogger,https://github.com/mendhak/gpslogger,https://f-droid.org//en/packages/com.mendhak.gpslogger/
