AppName,gitLink,FDstoreLink
Jami,https://git.jami.net/savoirfairelinux/jami-client-android,https://f-droid.org//en/packages/cx.ring/
Keep Alive,https://github.com/keepalivedev/KeepAlive,https://f-droid.org//en/packages/io.keepalive.android/
Deku SMS,https://github.com/deku-messaging/Deku-SMS-Android,https://f-droid.org//en/packages/com.afkanerd.deku/
SimpleX Chat,https://github.com/simplex-chat/simplex-chat,https://f-droid.org//en/packages/chat.simplex.app/
Simlar - secure calls,https://github.com/simlar/simlar-android,https://f-droid.org//en/packages/org.simlar/
Session F-Droid,https://github.com/oxen-io/session-android,https://f-droid.org//en/packages/network.loki.messenger.fdroid/
SchildiChat,https://github.com/SchildiChat/SchildiChat-android,https://f-droid.org//en/packages/de.spiritcroc.riotx/
FluffyChat,https://github.com/krille-chan/fluffychat,https://f-droid.org//en/packages/chat.fluffy.fluffychat/
Meshenger,https://github.com/meshenger-app/meshenger-android,https://f-droid.org//en/packages/d.d.meshenger/
Infomaniak kMeet,https://github.com/Infomaniak/android-infomaniak-meet,https://f-droid.org//en/packages/com.infomaniak.meet/
baresip,https://github.com/juha-h/baresip-studio,https://f-droid.org//en/packages/com.tutpro.baresip/
baresip+,https://github.com/juha-h/baresip-studio,https://f-droid.org//en/packages/com.tutpro.baresip.plus/
Cheogram,https://git.singpolyma.net/cheogram-android,https://f-droid.org//en/packages/com.cheogram.android/
SMS Import / Export,https://github.com/tmo1/sms-ie,https://f-droid.org//en/packages/com.github.tmo1.sms_ie/
Privacy Cell,https://gitweb.stoutner.com/?p=PrivacyCell.git;a=summary,https://f-droid.org//en/packages/com.stoutner.privacycell/
Linphone - open source SIP client,https://gitlab.linphone.org/BC/public/linphone-android,https://f-droid.org//en/packages/org.linphone/
Baby Phone,https://github.com/babydots/babyphone,https://f-droid.org//en/packages/com.serwylo.babyphone/
Element - Secure Messenger,https://github.com/vector-im/element-android,https://f-droid.org//en/packages/im.vector.app/
WiVeWa,https://codeberg.org/wivewa/wivewa-android,https://f-droid.org//en/packages/de.wivewa.android/
Jitsi Meet,https://github.com/jitsi/jitsi-meet,https://f-droid.org//en/packages/org.jitsi.meet/
FÃ¶hnix,https://github.com/dzmanto/foehnix,https://f-droid.org//en/packages/foehnix.widget/
Simple Contacts Pro,https://github.com/SimpleMobileTools/Simple-Contacts,https://f-droid.org//en/packages/com.simplemobiletools.contacts.pro/
Welefon,https://codeberg.org/wivewa/wivewa-dialer-android,https://f-droid.org//en/packages/de.wivewa.dialer/
Find My Device (FMD),https://gitlab.com/Nulide/findmydevice,https://f-droid.org//en/packages/de.nulide.findmydevice/
Simple Contacts Pro SE,https://github.com/stephanritscher/Simple-Contacts,https://f-droid.org//en/packages/de.ritscher.simplemobiletools.contacts.pro/
Contacts Import,https://github.com/StarGW-net/contacts-import,https://f-droid.org//en/packages/net.stargw.contactsimport/
Koler,https://github.com/Chooloo/koler,https://f-droid.org//en/packages/com.chooloo.www.koler/
VoIP.ms SMS,https://github.com/michaelkourlas/voipms-sms-client,https://f-droid.org//en/packages/net.kourlas.voipms_sms/
SMS to URL Forwarder,https://github.com/bogkonstantin/android_income_sms_gateway_webhook,https://f-droid.org//en/packages/tech.bogomolov.incomingsmsgateway/
OpenContacts,https://gitlab.com/sultanahamer/OpenContacts,https://f-droid.org//en/packages/opencontacts.open.com.opencontacts/
SMS Forward,https://gitlab.com/pierreduchemin/smsforward,https://f-droid.org//en/packages/com.pierreduchemin.smsforward/
QKSMS,https://github.com/moezbhatti/qksms,https://f-droid.org//en/packages/com.moez.QKSMS/
Sipdroid,https://github.com/i-p-tel/sipdroid,https://f-droid.org//en/packages/org.sipdroid.sipua/
AirMessage,https://github.com/airmessage/airmessage-android,https://f-droid.org//en/packages/me.tagavari.airmessage/
Watomatic - Auto Reply For WhatsApp,https://github.com/adeekshith/watomatic,https://f-droid.org//en/packages/com.parishod.watomatic/
Wire â¢ Secure Messenger,https://github.com/wireapp/wire-android,https://f-droid.org//en/packages/com.wire/
Silence,https://github.com/x13a/Silence,https://f-droid.org//en/packages/me.lucky.silence/
Text Torch,https://github.com/mileskrell/text-torch,https://f-droid.org//en/packages/com.mileskrell.texttorch/
Vibe,https://github.com/x13a/Vibe,https://f-droid.org//en/packages/me.lucky.vibe/
Flash Alert - Call and Message,https://gitlab.com/jnda/FlashAlert,https://f-droid.org//en/packages/fr.jnda.android.flashalert/
Red,https://github.com/x13a/Red,https://f-droid.org//en/packages/me.lucky.red/
Syphon,https://github.com/syphon-org/syphon,https://f-droid.org//en/packages/org.tether.tether/
Raise To Answer,https://github.com/TheLastProject/RaiseToAnswer,https://f-droid.org//en/packages/me.hackerchick.raisetoanswer/
Simple sms remote,https://github.com/tranquvis/SimpleSmsRemote,https://f-droid.org//en/packages/tranquvis.simplesmsremote/
SD Contacts,https://github.com/vmx/sdcontacts,https://f-droid.org//en/packages/cx.vmx.sdcontacts/
BluePass,https://github.com/boon-code/bluepass,https://f-droid.org//en/packages/org.booncode.bluepass4/
Yet Another Call Blocker,https://gitlab.com/xynngh/YetAnotherCallBlocker/tree/HEAD,https://f-droid.org//en/packages/dummydomain.yetanothercallblocker/
Call Counter,https://github.com/Webierta/call-counter,https://f-droid.org//en/packages/com.github.webierta.call_counter/
Lumicall,https://github.com/opentelecoms-org/lumicall,https://f-droid.org//en/packages/org.lumicall.android/
Emerald Dialer,https://github.com/HenriDellal/emerald-dialer,https://f-droid.org//en/packages/ru.henridellal.dialer/
ProximitySensorFix,https://github.com/marcolettieri/proximitycallfix,https://f-droid.org//en/packages/com.ml.proximitysensorfix/
Streak Alarm for Snapchat (Streak Reminder),https://github.com/fei0316/snapstreak-alarm,https://f-droid.org//en/packages/com.iatfei.streakalarm/
DualSim Reminder,https://github.com/mobimentum/dualsimreminder,https://f-droid.org//en/packages/it.mobimentum.dualsimwidget/
Schlikk Calls,https://gitlab.com/schlikk/calls,https://f-droid.org//en/packages/de.schlikk.calls/
NoPhoneSpam,https://gitlab.com/bitfireAT/NoPhoneSpam,https://f-droid.org//en/packages/at.bitfire.nophonespam/
Attestation de dÃ©placement,https://github.com/AdrienPoupa/AttestationDeplacement,https://f-droid.org//en/packages/com.poupa.attestationdeplacement/
Coma Phone,https://github.com/yardenac/comaphone,https://f-droid.org//en/packages/me.yardenac.comaphone/
Open in WhatsApp,https://github.com/subhamtyagi/openinwa,https://f-droid.org//en/packages/io.github.subhamtyagi.openinwhatsapp/
Priority Alerts,https://github.com/saiga006/message-finder,https://f-droid.org//en/packages/com.saiga.find.messagefinder/
Finder,https://github.com/Seva-coder/Finder,https://f-droid.org//en/packages/ru.seva.finder/
Contact Book,https://github.com/fraygeyst/Contactbook,https://f-droid.org//en/packages/de.hskl.contacts/
Epistolaire,https://gitlab.com/hydrargyrum/epistolaire,https://f-droid.org//en/packages/re.indigo.epistolaire/
SmsMatrix,https://github.com/tijder/SmsMatrix,https://f-droid.org//en/packages/eu.droogers.smsmatrix/
SimpleStatsWidget,https://github.com/Chessmasterrr/SimpleStatsWidget,https://f-droid.org//en/packages/de.simplestatswidget/
