AppName,gitLink,FDstoreLink
wX,https://gitlab.com/joshua.tee/wx,https://f-droid.org//en/packages/joshuatee.wx/
JS-Dict,https://github.com/petlyh/JS-Dict,https://f-droid.org//en/packages/io.github.petlyh.jsdict/
SMASH â Smart Mobile App for Surveyor's Happiness,https://github.com/geopaparazzi/smash,https://f-droid.org//en/packages/eu.hydrologis.smash/
Drinkable,https://github.com/MOIMOB/drinkable,https://f-droid.org//en/packages/com.moimob.drinkable/
Petals,https://github.com/LeoColman/Petals,https://f-droid.org//en/packages/br.com.colman.petals/
Hydra,https://github.com/ZeusWPI/hydra-android,https://f-droid.org//en/packages/be.ugent.zeus.hydra.open/
Lane's Lexicon,https://github.com/GibreelAbdullah/LaneLexicon,https://f-droid.org//en/packages/com.muslimtechnet.lanelexicon/
foodsharing,https://gitlab.com/foodsharing-dev/foodsharing-android,https://f-droid.org//en/packages/de.foodsharing.app/
Unitto â calculator and unit converter,https://github.com/sadellie/unitto,https://f-droid.org//en/packages/com.sadellie.unitto/
Really Basic Vocab,https://github.com/jonathanherrmannengel/vocabapp,https://f-droid.org//en/packages/de.herrmann_engel.rbv/
Graded - Grade tracker,https://github.com/NightDreamGames/Graded,https://f-droid.org//en/packages/com.NightDreamGames.Grade.ly/
Crazyflie Client,https://github.com/bitcraze/crazyflie-android-client,https://f-droid.org//en/packages/se.bitcraze.crazyfliecontrol2/
LibreBible,https://git.sr.ht/~jiglesias/librebible,https://f-droid.org//en/packages/xyz.yeikoff.librebible/
Converter NOW: Unit Converter,https://github.com/ferraridamiano/ConverterNOW,https://f-droid.org//en/packages/com.ferrarid.converterpro/
Kanji Dojo,https://github.com/syt0r/Kanji-Dojo,https://f-droid.org//en/packages/ua.syt0r.kanji.fdroid/
OpenCanteen,https://git.mnau.xyz/hernik/opencanteen,https://f-droid.org//en/packages/cz.hernikplays.opencanteen/
Nanji clock widget,https://github.com/artyommironov/nanji,https://f-droid.org//en/packages/com.kazufukurou.nanji/
Kakugo,https://github.com/blastrock/kakugo,https://f-droid.org//en/packages/org.kaqui/
Funktrainer,https://github.com/meyerd/funktrainer,https://f-droid.org//en/packages/de.hosenhasser.funktrainer/
Tuner,https://github.com/thetwom/Tuner,https://f-droid.org//en/packages/de.moekadu.tuner/
Blitzortung Lightning Monitor,https://github.com/wuan/bo-android,https://f-droid.org//en/packages/org.blitzortung.android.app/
LibreRandonaut,https://github.com/librerandonaut/librerandonaut,https://f-droid.org//en/packages/com.github.librerandonaut.librerandonaut/
Translate You,https://github.com/you-apps/TranslateYou,https://f-droid.org//en/packages/com.bnyro.translate/
SatDump,https://github.com/satdump/satdump,https://f-droid.org//en/packages/org.satdump.SatDump/
Linux Command Library,https://github.com/SimonSchubert/LinuxCommandLibrary,https://f-droid.org//en/packages/com.inspiredandroid.linuxcommandbibliotheca/
gptAssist,https://github.com/woheller69/gptassist,https://f-droid.org//en/packages/org.woheller69.gptassist/
Hamfisted,https://github.com/specht/hamfisted,https://f-droid.org//en/packages/org.nhcham.hamfisted/
Bible Verse App,https://github.com/joshuabeny1999/BibleVerseApp,https://f-droid.org//en/packages/ch.joshuah.bibleverseapp/
Wulkanowy,https://github.com/wulkanowy/wulkanowy,https://f-droid.org//en/packages/io.github.wulkanowy/
taz,https://github.com/die-tageszeitung/taz-neo,https://f-droid.org//en/packages/de.taz.android.app.free/
ArityCalc,https://github.com/woheller69/Arity,https://f-droid.org//en/packages/org.woheller69.arity/
Tournant,https://github.com/zimbelstern/Tournant,https://f-droid.org//en/packages/eu.zimbelstern.tournant/
DanXi,https://github.com/DanXi-Dev/DanXi/tree/foss-build,https://f-droid.org//en/packages/io.github.danxi_dev.dan_xi/
Cyrillic to Latin,https://github.com/michaeltroger/latintocyrillic-android,https://f-droid.org//en/packages/at.mikenet.serbianlatintocyrillic/
Energize,https://codeberg.org/epinez/Energize/,https://f-droid.org//en/packages/com.flasskamp.energize/
Periodical,https://github.com/arnowelzel/periodical,https://f-droid.org//en/packages/de.arnowelzel.android.periodical/
huggingAssist,https://github.com/woheller69/huggingassist,https://f-droid.org//en/packages/org.woheller69.hugassist/
BOINC,https://github.com/BOINC/boinc,https://f-droid.org//en/packages/edu.berkeley.boinc/
TU Darmstadt Moodle Wrapper,https://github.com/JonasBernard/TU-Darmstadt-Moodle-Wrapper,https://f-droid.org//en/packages/de.jonasbernard.tudarmstadtmoodlewrapper/
OpenAthenaâ¢ for Android,https://github.com/Theta-Limited/OpenAthenaAndroid,https://f-droid.org//en/packages/com.openathena/
QuickDic,https://github.com/rdoeffinger/Dictionary,https://f-droid.org//en/packages/de.reimardoeffinger.quickdic/
8-Bit Wonders,https://gitlab.com/eightbitwonders/app,https://f-droid.org//en/packages/de.rainerhock.eightbitwonders/
Metronome,https://github.com/thetwom/toc2,https://f-droid.org//en/packages/de.moekadu.metronome/
Reckoning Skills (Privacy Friendly),https://github.com/SecUSo/privacy-friendly-reckoning-skills,https://f-droid.org//en/packages/org.secuso.privacyfriendlyrecknoningskills/
Notification Dictionary,https://github.com/tirkarthi/NotificationDictionary,https://f-droid.org//en/packages/com.xtreak.notificationdictionary/
Bubble,https://github.com/woheller69/level,https://f-droid.org//en/packages/org.woheller69.level/
solXpect,https://github.com/woheller69/solxpect,https://f-droid.org//en/packages/org.woheller69.solxpect/
JKU App,https://github.com/marunjar/anewjkuapp,https://f-droid.org//en/packages/org.voidsink.anewjkuapp/
SexyTopo,https://github.com/richsmith/sexytopo,https://f-droid.org//en/packages/org.hwyl.sexytopo/
Sensorkraken,https://gitlab.com/sensorkraken/android-app,https://f-droid.org//en/packages/org.sensorkraken/
monocles translator,https://codeberg.org/Arne/monocles_translator,https://f-droid.org//en/packages/de.monocles.translator/
RoboZZle Droid,https://github.com/lostmsu/RoboZZle-Droid,https://f-droid.org//en/packages/com.team242.robozzle/
SimplyTranslate Mobile,https://github.com/ManeraKai/simplytranslate_mobile,https://f-droid.org//en/packages/com.simplytranslate_mobile/
Evil Insult Generator,https://github.com/EvilInsultGenerator/android-app,https://f-droid.org//en/packages/com.evilinsult/
Der Die Das,https://github.com/machiav3lli/DerDieDas,https://f-droid.org//en/packages/com.machiav3lli.derdiedas/
ChemistryLab,https://gitlab.com/asdoi/ChemistryLab,https://f-droid.org//en/packages/com.chemistry.admin.chemistrylab/
Warmongr,https://gitlab.com/sirekanyan.org/warmongr,https://f-droid.org//en/packages/org.sirekanyan.warmongr/
Better Schedule (BakalÃ¡Åi),https://gitlab.com/vitSkalicky/lepsi-rozvrh,https://f-droid.org//en/packages/cz.vitskalicky.lepsirozvrh/
AnkiDroid,https://github.com/ankidroid/Anki-Android,https://f-droid.org//en/packages/com.ichi2.anki/
CEToolbox,https://github.com/cetoolbox/cetoolbox,https://f-droid.org//en/packages/com.github.cetoolbox/
Kanji draw,https://github.com/onitake/kanjirecog,https://f-droid.org//en/packages/ch.seto.kanjirecog/
LBalance,https://github.com/lufebe16/lbalance,https://f-droid.org//en/packages/org.lufebe16.lbalance/
ChordReader 2,https://github.com/AndInTheClouds/chordreader2,https://f-droid.org//en/packages/org.hollowbamboo.chordreader2/
Dib2Calc,https://gitlab.com/dibdib/dib2calc/tree/HEAD,https://f-droid.org//en/packages/com.gitlab.dibdib.dib2calc/
TKCompanionApp,https://codeberg.org/marcoXbresciani/TKCompanionApp,https://f-droid.org//en/packages/name.bresciani.marco.tkcompanionapp/
Traintime PDA,https://github.com/BenderBlog/traintime_pda,https://f-droid.org//en/packages/io.github.benderblog.traintime_pda/
CTU Menza,https://github.com/Lastaapps/menza,https://f-droid.org//en/packages/cz.lastaapps.menza/
