AppName,gitLink,FDstoreLink
Safe Space,https://github.com/aashishksahu/SafeSpace,https://f-droid.org//en/packages/org.privacymatters.safespace/
OONI Probe,https://github.com/ooni/probe-android,https://f-droid.org//en/packages/org.openobservatory.ooniprobe/
Yivi,https://github.com/privacybydesign/irmamobile,https://f-droid.org//en/packages/org.irmacard.cardemu/
Mullvad VPN: privacy is a universal right,https://github.com/mullvad/mullvadvpn-app,https://f-droid.org//en/packages/net.mullvad.mullvadvpn/
IVPN - Secure VPN for Privacy,https://github.com/ivpn/android-app,https://f-droid.org//en/packages/net.ivpn.client/
Yubico Authenticator,https://github.com/Yubico/yubioath-flutter,https://f-droid.org//en/packages/com.yubico.yubioath/
Vault,https://github.com/arsvechkarev/Vault,https://f-droid.org//en/packages/com.arsvechkarev.vault/
Karma Firewall,https://github.com/stargw-net/karma-firewall,https://f-droid.org//en/packages/net.stargw.fok/
DeadHash,https://github.com/CodeDead/DeadHash-android,https://f-droid.org//en/packages/com.codedead.deadhash/
UpVPN - Serverless VPN,https://github.com/upvpn/upvpn-app,https://f-droid.org//en/packages/app.upvpn.upvpn/
Shelter,https://gitea.angry.im/PeterCxy/Shelter,https://f-droid.org//en/packages/net.typeblog.shelter/
LibrePass,https://github.com/LibrePass/LibrePass-Android,https://f-droid.org//en/packages/dev.medzik.librepass.android/
NetGuard,https://github.com/M66B/NetGuard,https://f-droid.org//en/packages/eu.faircode.netguard/
WG Tunnel,https://github.com/zaneschepke/wgtunnel,https://f-droid.org//en/packages/com.zaneschepke.wireguardautotunnel/
PCAPdroid,https://github.com/emanuele-f/PCAPdroid,https://f-droid.org//en/packages/com.emanuelef.remote_capture/
Nextcloud Passwords,https://github.com/hegocre/NextcloudPasswords,https://f-droid.org//en/packages/com.hegocre.nextcloudpasswords/
ente Authenticator,https://github.com/ente-io/auth/,https://f-droid.org//en/packages/io.ente.auth/
Passy - cross-platform password manager,https://github.com/GlitterWare/Passy,https://f-droid.org//en/packages/com.glitterware.passy/
Flipper Mobile App,https://github.com/flipperdevices/Flipper-Android-App,https://f-droid.org//en/packages/com.flipperdevices.app/
SshDaemon,https://github.com/jazzm0/ssh-daemon,https://f-droid.org//en/packages/com.daemon.ssh/
Cryptographic ID,https://gitlab.com/cryptographic_id/cryptographic-id-flutter,https://f-droid.org//en/packages/io.gitlab.cryptographic_id/
IYPS,https://github.com/StellarSand/IYPS,https://f-droid.org//en/packages/com.iyps/
ESUP-NFC-TAG-DROID,https://github.com/EsupPortail/esup-nfc-tag-droid,https://f-droid.org//en/packages/org.esupportail.esupnfctagdroid/
KeePassDX,https://github.com/Kunzisoft/KeePassDX,https://f-droid.org//en/packages/com.kunzisoft.keepass.libre/
OUI Lookup and Database,https://github.com/Alberto97/OUILookup,https://f-droid.org//en/packages/org.alberto97.ouilookup/
ANOTHERpass,https://github.com/jenspfahl/ANOTHERpass,https://f-droid.org//en/packages/de.jepfa.yapm/
e-Passport Reader,https://github.com/tananaev/passport-reader,https://f-droid.org//en/packages/com.tananaev.passportreader/
OpenDNS Updater,https://github.com/Willena/OpenDNSUpdater,https://f-droid.org//en/packages/fr.guillaumevillena.opendnsupdater/
AirGuard - AirTag protection,https://github.com/seemoo-lab/AirGuard,https://f-droid.org//en/packages/de.seemoo.at_tracking_detection/
PasswdSafe,https://sourceforge.net/p/passwdsafe/code/ci/default/tree,https://f-droid.org//en/packages/com.jefftharris.passwdsafe/
Riseup VPN,https://0xacab.org/leap/bitmask_android,https://f-droid.org//en/packages/se.leap.riseupvpn/
Bitmask,https://0xacab.org/leap/bitmask_android,https://f-droid.org//en/packages/se.leap.bitmaskclient/
"InviZible Pro: increase your security, protect you",https://github.com/Gedsh/InviZible,https://f-droid.org//en/packages/pan.alexander.tordnscrypt.stable/
Amarok,https://github.com/deltazefiro/Amarok-Hider,https://f-droid.org//en/packages/deltazero.amarok.foss/
Standard Notes,https://github.com/standardnotes/app,https://f-droid.org//en/packages/com.standardnotes/
Mauth,https://github.com/X1nto/Mauth,https://f-droid.org//en/packages/com.xinto.mauth/
PIN Mnemonic (Privacy Friendly),https://github.com/SecUSo/privacy-friendly-pin-mnemonic,https://f-droid.org//en/packages/org.secuso.privacyfriendlypin/
Briar,https://code.briarproject.org/briar/briar,https://f-droid.org//en/packages/org.briarproject.briar.android/
Stingle Photos,https://github.com/stingle/stingle-photos-android,https://f-droid.org//en/packages/org.stingle.photos/
SelfPrivacy,https://git.selfprivacy.org/kherel/selfprivacy.org.app,https://f-droid.org//en/packages/pro.kherel.selfprivacy/
Keyoxide,https://codeberg.org/Berker/keyoxide-flutter,https://f-droid.org//en/packages/org.keyoxide.keyoxide/
PINcredible - Secure PIN vault,https://github.com/cyb3rko/pincredible,https://f-droid.org//en/packages/com.cyb3rko.pincredible/
DroidFS,https://forge.chapril.org/hardcoresushi/DroidFS,https://f-droid.org//en/packages/sushi.hardcore.droidfs/
Valv,https://github.com/Arctosoft/Valv-Android,https://f-droid.org//en/packages/se.arctosoft.vault/
Vernet - Network Analyzer,https://github.com/osociety/vernet,https://f-droid.org//en/packages/org.fsociety.vernet/
KeyPass,https://github.com/yogeshpaliyal/KeyPass,https://f-droid.org//en/packages/com.yogeshpaliyal.keypass/
Motion Eye,https://github.com/JairajJangle/motioneye-android,https://f-droid.org//en/packages/com.jairaj.janglegmail.motioneye/
i2pd,https://github.com/PurpleI2P/i2pd-android,https://f-droid.org//en/packages/org.purplei2p.i2pd/
Exodus,https://github.com/Exodus-Privacy/exodus-android-app,https://f-droid.org//en/packages/org.eu.exodus_privacy.exodusprivacy/
KPassNotes,https://github.com/aivanovski/kpassnotes,https://f-droid.org//en/packages/com.ivanovsky.passnotes/
Aegis Authenticator,https://github.com/beemdevelopment/Aegis,https://f-droid.org//en/packages/com.beemdevelopment.aegis/
AFWall+,https://github.com/ukanth/afwall,https://f-droid.org//en/packages/dev.ukanth.ufirewall/
Find My Device (FMD),https://gitlab.com/Nulide/findmydevice,https://f-droid.org//en/packages/de.nulide.findmydevice/
strongSwan VPN Client,https://github.com/strongswan/strongswan,https://f-droid.org//en/packages/org.strongswan.android/
Password Generator (PFA),https://github.com/SecUSo/privacy-friendly-passwordgenerator,https://f-droid.org//en/packages/org.secuso.privacyfriendlypasswordgenerator/
Rethink: DNS + Firewall,https://github.com/celzero/rethink-app,https://f-droid.org//en/packages/com.celzero.bravedns/
SimpleTextCrypt,https://github.com/aidin36/simpletextcrypt,https://f-droid.org//en/packages/com.aidinhut.simpletextcrypt/
Password Generator,https://gitlab.com/vecturagames/passwordgenerator,https://f-droid.org//en/packages/com.vecturagames.android.app.passwordgenerator/
TrackerControl,https://github.com/TrackerControl/tracker-control-android,https://f-droid.org//en/packages/net.kollnig.missioncontrol.fdroid/
Tinc App,https://github.com/pacien/tincapp,https://f-droid.org//en/packages/org.pacien.tincapp/
WiFiScanner,https://github.com/bewue/WLANScanner,https://f-droid.org//en/packages/org.bitbatzen.wlanscanner/
Insular,https://gitlab.com/secure-system/Insular,https://f-droid.org//en/packages/com.oasisfeng.island.fdroid/
EteSync - Secure Data Sync,https://github.com/etesync/android,https://f-droid.org//en/packages/com.etesync.syncadapter/
Calyx VPN,https://gitlab.com/CalyxOS/bitmask_android,https://f-droid.org//en/packages/org.calyxinstitute.vpn/
Hypatia,https://gitlab.com/divested-mobile/hypatia,https://f-droid.org//en/packages/us.spotco.malwarescanner/
FiSSH,https://gitlab.com/ioanm/FiSSH-App,https://f-droid.org//en/packages/ro.ioanm.fissh/
Windscribe,https://github.com/Windscribe/Android-App,https://f-droid.org//en/packages/com.windscribe.vpn/
I2P,https://github.com/i2p,https://f-droid.org//en/packages/net.i2p.android.router/
Pazzword - Password Evaluator,https://github.com/cyb3rko/pazzword,https://f-droid.org//en/packages/com.cyb3rko.pazzword/
AdAway,https://github.com/AdAway/AdAway,https://f-droid.org//en/packages/org.adaway/
YubiClip XOR,https://github.com/craftxbox/yubiclip-xor,https://f-droid.org//en/packages/com.craftxbox.yubiclip.xor/
Cryptomator,https://github.com/cryptomator/android,https://f-droid.org//en/packages/org.cryptomator.lite/
Photok,https://github.com/leonlatsch/Photok,https://f-droid.org//en/packages/dev.leonlatsch.photok/
MotionLock,https://gitlab.com/divested-mobile/motionlock,https://f-droid.org//en/packages/us.spotco.motionlock/
eduVPN,https://github.com/eduvpn/android,https://f-droid.org//en/packages/nl.eduvpn.app/
KryptEY,https://github.com/amnesica/KryptEY,https://f-droid.org//en/packages/com.amnesica.kryptey/
Authorizer,https://github.com/tejado/Authorizer,https://f-droid.org//en/packages/net.tjado.passwdsafe/
Safe Notes - Encrypted Notepad,https://github.com/keshav-space/safenotes,https://f-droid.org//en/packages/com.trisven.safenotes/
Ojo RTSP IP Camera viewer,https://github.com/penguin86/ojo,https://f-droid.org//en/packages/it.danieleverducci.ojo/
Better Internet Tiles,https://github.com/CasperVerswijvelt/Better-Internet-Tiles,https://f-droid.org//en/packages/be.casperverswijvelt.unifiedinternetqs/
