AppName,gitLink,FDstoreLink
Migraine Log,https://gitlab.com/zerodogg/org.zerodogg.migraineLog,https://f-droid.org//en/packages/org.zerodogg.migraineLog/
KitchenOwl,https://github.com/TomBursch/kitchenowl,https://f-droid.org//en/packages/com.tombursch.kitchenowl/
DetoxDroid: Digital Detoxing as Your New Default,https://github.com/flxapps/DetoxDroid,https://f-droid.org//en/packages/com.flx_apps.digitaldetox/
Petals,https://github.com/LeoColman/Petals,https://f-droid.org//en/packages/br.com.colman.petals/
Inner Breeze,https://github.com/naoxio/inner_breeze,https://f-droid.org//en/packages/io.naox.inbe/
Keep Alive,https://github.com/keepalivedev/KeepAlive,https://f-droid.org//en/packages/io.keepalive.android/
OpenTracks,https://github.com/OpenTracksApp/OpenTracks,https://f-droid.org//en/packages/de.dennisguse.opentracks/
foodsharing,https://gitlab.com/foodsharing-dev/foodsharing-android,https://f-droid.org//en/packages/de.foodsharing.app/
Grocy: Self-hosted Grocery Management,https://github.com/patzly/grocy-android,https://f-droid.org//en/packages/xyz.zedler.patrick.grocy/
MediLog,https://codeberg.org/toz/MediLog,https://f-droid.org//en/packages/com.zell_mbc.medilog/
Massive,https://gitea.presley.nz/brandon.presley/Massive,https://f-droid.org//en/packages/com.massive/
plees-tracker,https://github.com/vmiklos/plees-tracker,https://f-droid.org//en/packages/hu.vmiklos.plees_tracker/
Daily Diary,https://github.com/Voklen/Daily-Diary,https://f-droid.org//en/packages/com.voklen.daily_diary/
FitoTrack,https://codeberg.org/jannis/FitoTrack,https://f-droid.org//en/packages/de.tadris.fitness/
FOSS Warn,https://github.com/nucleus-ffm/foss_warn,https://f-droid.org//en/packages/de.nucleus.foss_warn/
BetterCounter,https://github.com/albertvaka/bettercounter,https://f-droid.org//en/packages/org.kde.bettercounter/
Table Habit,https://github.com/FriesI23/mhabit,https://f-droid.org//en/packages/io.github.friesi23.mhabit/
OpenFoodFacts,https://github.com/openfoodfacts/smooth-app,https://f-droid.org//en/packages/openfoodfacts.github.scrachx.openfood/
