AppName,gitLink,FDstoreLink
Omni Notes,https://github.com/federicoiosue/Omni-Notes,https://f-droid.org//en/packages/it.feio.android.omninotes.foss/
Linwood Butterfly,https://github.com/LinwoodDev/Butterfly,https://f-droid.org//en/packages/dev.linwood.butterfly.nightly/
Hammer [ALPHA],https://github.com/Wavesonics/hammer-editor,https://f-droid.org//en/packages/com.darkrockstudios.apps.hammer.android/
neutriNote CE,https://github.com/appml/neutrinote,https://f-droid.org//en/packages/com.appmindlab.nano/
Diary,https://github.com/billthefarmer/diary,https://f-droid.org//en/packages/org.billthefarmer.diary/
Editor,https://github.com/billthefarmer/editor,https://f-droid.org//en/packages/org.billthefarmer.editor/
Glider for Hacker News,https://github.com/Mosc/Glider,https://f-droid.org//en/packages/nl.viter.glider/
Helio,https://github.com/helio-fm/helio-sequencer,https://f-droid.org//en/packages/fm.helio/
Saber,https://github.com/saber-notes/saber,https://f-droid.org//en/packages/com.adilhanney.saber/
Tasks.org: Open-source To-Do Lists & Reminders,https://github.com/tasks/tasks,https://f-droid.org//en/packages/org.tasks/
Yatoo,https://github.com/powerpaul17/yatoo,https://f-droid.org//en/packages/com.paultirk.yatoo/
MoeMemos,https://github.com/mudkipme/MoeMemosAndroid,https://f-droid.org//en/packages/me.mudkip.moememos/
Stroke Input Method (ç­ç«è¼¸å¥æ³),https://github.com/stroke-input/stroke-input-android,https://f-droid.org//en/packages/io.github.yawnoc.strokeinput/
Daily Diary,https://github.com/Voklen/Daily-Diary,https://f-droid.org//en/packages/com.voklen.daily_diary/
jtx Board journals|notes|tasks,https://github.com/TechbeeAT/jtxBoard,https://f-droid.org//en/packages/at.techbee.jtx/
Joplin,https://github.com/laurent22/joplin,https://f-droid.org//en/packages/net.cozic.joplin/
DPC,https://github.com/jakubslaby09/dpc,https://f-droid.org//en/packages/cz.slaby.dpc/
Sithakuru,https://codeberg.org/sinhala/sithakuru.git,https://f-droid.org//en/packages/sithakuru.sinhala.keyboard/
Sithakuru,https://codeberg.org/sinhala/sithakuru.git,https://f-droid.org//en/packages/kasun.sinhala.keyboard/
Orgzly Revived,https://github.com/orgzly-revived/orgzly-android-revived,https://f-droid.org//en/packages/com.orgzlyrevived/
Notesnook - Private notes app,https://github.com/streetwriters/notesnook,https://f-droid.org//en/packages/com.streetwriters.notesnook/
boQwI',https://github.com/De7vID/klingon-assistant-android,https://f-droid.org//en/packages/org.tlhInganHol.android.klingonassistant/
Guileless Bopomofo Keyboard,https://github.com/hiroshiyui/GuilelessBopomofo,https://f-droid.org//en/packages/org.ghostsinthelab.apps.guilelessbopomofo/
HexViewer,https://github.com/Keidan/HexViewer/,https://f-droid.org//en/packages/fr.ralala.hexviewer/
Print,https://github.com/billthefarmer/print,https://f-droid.org//en/packages/org.billthefarmer.print/
MoasdaWiki App,https://gitlab.com/moasdawiki/moasdawiki-app,https://f-droid.org//en/packages/net.moasdawiki.app/
SimpleTextEditor,https://github.com/maxistar/TextPad,https://f-droid.org//en/packages/com.maxistar.textpad/
Notes,https://github.com/billthefarmer/notes,https://f-droid.org//en/packages/org.billthefarmer.notes/
Markdownr,https://github.com/sanzoghenzo/markdownr,https://f-droid.org//en/packages/com.sanzoghenzo.markdownr/
My Brain,https://github.com/mhss1/MyBrain,https://f-droid.org//en/packages/com.mhss.app.mybrain/
Notes (PFA),https://github.com/SecUSo/privacy-friendly-notes,https://f-droid.org//en/packages/org.secuso.privacyfriendlynotes/
Standard Notes,https://github.com/standardnotes/app,https://f-droid.org//en/packages/com.standardnotes/
Trime,https://github.com/osfans/trime,https://f-droid.org//en/packages/com.osfans.trime/
Simple Keyboard,https://github.com/rkkr/simple-keyboard,https://f-droid.org//en/packages/rkr.simplekeyboard.inputmethod/
Notally | Minimalist Notes,https://github.com/OmGodse/Notally,https://f-droid.org//en/packages/com.omgodse.notally/
UnicodePad,https://github.com/Ryosuke839/UnicodePad,https://f-droid.org//en/packages/jp.ddo.hotmist.unicodepad/
Easy Diary,https://github.com/hanjoongcho/aaf-easydiary,https://f-droid.org//en/packages/me.blog.korn123.easydiary/
Markor,https://github.com/gsantner/markor,https://f-droid.org//en/packages/net.gsantner.markor/
Kolab Notes,https://github.com/konradrenner/kolabnotes-android,https://f-droid.org//en/packages/org.kore.kolabnotes.android/
Emacs,https://git.savannah.gnu.org/cgit/emacs.git/tree/,https://f-droid.org//en/packages/org.gnu.emacs/
Nextcloud Notes,https://github.com/nextcloud/notes-android,https://f-droid.org//en/packages/it.niedermann.owncloud.notes/
ImapNotes3,https://github.com/niendo1/ImapNotes3,https://f-droid.org//en/packages/de.niendo.ImapNotes3/
Poet Assistant,https://github.com/caarmen/poet-assistant,https://f-droid.org//en/packages/ca.rmen.android.poetassistant/
Carnet,https://github.com/CarnetApp/CarnetFdroid,https://f-droid.org//en/packages/com.spisoft.quicknote/
Contact Diary,https://github.com/apozas/contactdiary,https://f-droid.org//en/packages/com.apozas.contactdiary/
CineLog,https://github.com/Alcidauk/CineLog,https://f-droid.org//en/packages/com.ulicae.cinelog/
MyMood,https://github.com/NimaKhajehpour/MyMood,https://f-droid.org//en/packages/com.nima.mymood/
Padland,https://github.com/mikifus/padland,https://f-droid.org//en/packages/com.mikifus.padland/
