commit_Link,commit_Title,commit_Description,issue_Id,issue_link,matched_keywords
https://github.com/celzero/rethink-app/commit/8ed466f6406fb38b3afddead92ee2167b55fb101,App info screen revamp,"Issue: slowness or ANR while loading the appwise
network logs in app info screen.

Introduced new pagedadapter to provide the
source to recycler view.

App screen revamp to resolve the slowness
while loading the screen.",,, ANR 
https://github.com/celzero/rethink-app/commit/dd05861fb080b25a222bef9a55dd68b7844dfac3,UI related changes,"Issue fix: ANR when user clicks on add button when there is more than 1000+ custom
IPs added to the list.

Other minor UI changes.",,, ANR 
https://github.com/celzero/rethink-app/commit/e1ba3005f69987663adf7d38d902ad8a4a37621f,Quantile estimates way off,"Since network latencies fluctuate a lot, especially on mobile networks,
the latency calculation jumps around and points to values that are way
off than the actual median, and when that happens, the estimator takes
longer than desirable to converge on to the actual median.

Increase the sample size from 5 to 30, which does increase computation
cost but in turn handles the network latency distribution quite well from what
simulations tell us.

Former-commit-id:9a04087",,,latency
https://github.com/celzero/rethink-app/commit/81b190451e58cfbdf93403a98db9ecc5cfe03f6a,Remove Quantile estimation from Shared preference,"Quantile estimation is performed for every DNS requests.
Removed shared preference write for every DNS request

PersistentState.setMedianLatency()


Former-commit-id:ed0074a",,,latency
https://github.com/celzero/rethink-app/commit/d40bb281156e4a63468f282f40c5b0526158d126,"Cleanup of downloaded files, Quantile Measurement fix","#182- Clean up the folder which had the old download files.
This was introduced in v053, before that the files downloaded as
part of blocklists are stored in external files dir by the
DownloadManager and moved to canonicalPath.
Now in v053 we are moving the files from external dir to canonical
path. So deleting the old files in the external directory. Introduced
two methods in Utilities.#180- Fixed the quantile reset logic. Now the latency calculation
reset will happen when there is a change in the DNS configuration
and for every 1000 requests for now.#175- Now check for update will see the source of the app
download and the prompt will be shown to the user based on that.

Issue fix - Fix for DNS changing from CloudFlare security to Default DNS.


Former-commit-id:3608c42",,,latency
https://github.com/celzero/rethink-app/commit/bfe815b2de107d65a3ea35c9816223cc9d24fe84,"Exclude app lockdown fix, Removed free.bravedns","#178In case of lockdown mode, the excluded apps wont able to
connected. so not including the apps in the excluded list if the
lockdown mode is enabled.
From GoVPNAdapter, the default url ""free.bravedns.com"" is removed.
Latency time estimation for the dns queries are modified. Now
the latency is assigned based on the value sent from tun2socks.


Former-commit-id:a592bc1",,,latency
https://github.com/celzero/rethink-app/commit/9ebbcbf8642eca78225a37d90edb4ddfbac08807,"HomeScreen UX change, P2 quantile and other bug fixes","#148- Introduces Shimmer animation for the Start button in the
Home Screen. Also modified the UX for the DNS and Firewall
button. Now the shimmer animation will be there for both the
start button and RethinkDNS in the Home screen.
RethinkDNS modes selection is removed from the Home screen.
Introduced new bottom sheet in the home screen to configure the
modes.#157- DNSCrypt anonymous relays names are modified.#133,#114- Now the apps which are not part of app range UID's
the apps which don't have packages(eg., GPS) are now added into
firewall list.#156- Latency estimate logic has been modified with P2 quantile
estimator logic with constant time solution.#153- The URL for configure rethinkdns plus now contains one more
parameter - timestamp(blocklist downloaded time).#154- App and blocklist auto update check frequency is modified
from 24 hours. The check will be happening on every Friday and
Saturday.#158- Bug fix on the UX of bottomsheet in the network logs.#167- Bug fix, by default app from excluded apps are removed. Now
the apps which are part of excluded list are not refreshed and
reassigning of values are removed from the code.

[Recommended] string in the whitelist is removed.


Former-commit-id:d2e0ef5",,,latency
https://github.com/celzero/rethink-app/commit/192712170cb6b37ae1c5978b6c1beac94330bf95,"Connection Tracking, Firewall scree refractor and other bug fixes","Connection Tracking:
* Introduced new screen to track all the app connections.
* isBlock method invocation from tunnel2socks will have the details of the connections. Those connections are added to the connection tracking screen.
* Conn Tracking Screen will have the details of the app, timestamp, IP, port, type of connection, and flag.
* Pending - -DNS UDP connection to an IP address.#3Firewall Screen:
* Removed the category and app list from firewall screen
* Introduced expandable list view which will show the app category and list of apps in the category.
* Livedata mapping with the database. (AppInfoDAO and CategoryInfoDAO).
* Prompt dialog box when an app with same UID is blocked/unblocked. Dialog box will contain list of apps blocked/unblocked along with the selected app.
* Included System apps also in firewall screen#4#14About Page
* Introduced new screen in HomeScreenActivity as a fragment.
* Screen consists of Links, Contact and telegram group link.

Bug Fixes:
* Query Tracker - Median latency value was earlier added in a sorted list which is now modified to arraylist and the median is calculated in the arraylist.
* Webview - Destroying the webview activity when the user .
* Live data - Home screen tile values are updated by LiveData instead of Handlers.#8* Firewall Implementation for 8+ - UID check is made against the blocked list and return boolean value whether to block/allow.#31#30* DNS change delay - Delay of 1 sec has been introduced when the DNS URL's are changed. This is to avoid rapid change of URL's#35* Brave Mode delay - Changing the modes in home screen now has a delay of 1 sec.
* Screen lock -#29* UI - Various UI corrections and modification in strings.xml file.


Former-commit-id:9734485",,,latency
https://github.com/NeoApplications/Neo-Backup/commit/dfc8488534c56a6985065afc622ec27a35971f0b,Close BufferedReader,"Avoid potential resource leak.
Credits to Daniel (github user DaPa:https://github.com/DaPa)
(jensstein#73)",,,resource leak
https://github.com/NeoApplications/Neo-Backup/commit/2cd4e201ba8e9e9e7ab0eb065b0cfed0b1c2980e,Fix out of memory crash,"Scale all bitmaps to the same size to avoid problems with
extraordinarily large icons.
Credits to Daniel (github user DaPa:https://github.com/DaPa)
(jensstein#73)",,,out of memory
