HTML_URL,Title,Body,Labels,matched_keywords
https://github.com/ivpn/android-app/issues/220,Latency information not displayed in the list of servers,"### Description:
Occasionally, when switching between protocols or when manually refreshing the servers latency, it is observed that the latency information is missing.
I noticed the issue because sometimes the app was selecting different servers when switching protocols while ""fastest server"" was selected.

### Expected result:
App should always display the latency information when switching between protocols or when manually refreshing the servers latency.

### Steps to reproduce:
1. Install 2.8.4 or beta 2.8.6.
2. Login.
3. Make sure the latency values are present in the list of servers.
4. Select fastest server.
5. Refresh the servers latency repeatedly until the issue occurs.
6. Alternatively, change the protocols several times, from WireGuard to OpenVPN and vice versa, until the issue occurs.

### Environment:
IVPN: 2.8.4 or beta 2.8.6
OS: Samsung Galaxy S10 Android 11","['type: bug', 'priority: medium']",latency
https://github.com/ivpn/android-app/issues/156,Server list ping times are not correct,"# Bug report

## Describe your environment

* Device: Pixel 6  
* OS name and version: __Android 13 September 2022 update___  
* IVPN app version: ___2.8.3 (and 2.8.2)__  
  
## Describe the problem

A customer reports:

> When connecting to ivpn fastest server, it connects to a server in Netherlands, which is 100's of miles away from me and should have a high ping. (Download speeds, and rendering of simple webpages takes a lot longer than they should on this server)

> When looking at the list of servers, most show a 0ms ping, 1 showing a 2ms ping. This doesn't appear accurate. 

> I just followed your instructions and the issue still persist.
> Logout, clear data of ivpn app, uninstall, reboot device, reinstall app via website apk.

![android-2 8 3-latency-pixel6](https://user-images.githubusercontent.com/74565577/194389162-7797a487-23be-4d93-aa2e-9f6a52af9945.png)
",['type: bug'],latency
https://github.com/zaneschepke/wgtunnel/issues/87,[FEATURE] - Local HTTP/SOCKS5 proxy mode for use with other VPNs,"**Is your feature request related to a problem? Please describe.**
For quite a long time now I've always been torn between using the best ad blocker for Android, AdGuard, and using Cloudflare Warp via WireGuard for faster internet (no video buffering, less ping in video games, etc). I can't use both because Android only allows one VPN active at a time. AdGuard does have an automatic proxy mode for rooted devices to allow using WireGuard with it though, but ad filtering will not work if an ipv6 address is specified in the WireGuard config, which must result in me essentially connecting to ipv4 only, in order to continue experiencing the best of both AdGuard and Cloudflare Warp.

**Describe the solution you'd like**
A mode in WG Tunnel that allows exposing configs to other compatible VPNs, like AdGuard, in a form of a local (127.0.0.1:xxxx) HTTP and/or SOCKS5 inbound proxy. In this manner, AdGuard, in it's regular VPN mode can filter ads in both ipv4 and ipv6 connections like normal, but through the proxy, so that I may also experience the benefits of Cloudflare Warp.

**Describe alternatives you've considered**
- Kernel userspace mode in WireGuard: with that enabled, whether AdGuard is in VPN mode or automatic proxy, the same undesirable results occur so long as an ipv6 config is specified in the WireGuard config.
- SagerNet (depreciated; based on v2-ray) & successor, sing-box (based on sing-box): both SagerNet and sing-box cannot refresh its proxy connection automatically, so when the Android device regains cell service or connects/disconnects from Wifi, all apps not excluded from AdGuard filtering in VPN mode will not connect to the internet until the responsible proxy app is manually stopped and restarted.
- SagerNet fork, Matsuri (depreciated; based on v2-ray) & successor, NekoBoxForAndroid (based on sing-box): Matsuri, like SagerNet, did not well support WireGuard configs, as the app's base arch, v2-ray, does not support WireGuard configs at all, so connections were often unstable; NekoBoxForAndroid, like both Matsuri and SagerNet, 1): have a lot more settings that I deem unnecessary, unappealing, and just confusing for my use case, that, if tampered with, with limited proper knowledge of them, can drastically affect the connection for better or worse, and 2): are simply battery drainers compared to sing-box and WireGuard itself.

**Additional context**
I recently found another GitHub project called [Wireproxy](https://github.com/pufferffish/wireproxy). I haven't tried it, but, given the description of the project, it seems to present the solution related to my issue, it's just not made for Android. Hopefully it's content helps though.
",['enhancement'],battery drain
https://github.com/emanuele-f/PCAPdroid/issues/398,Improve full payload mode,"The current implementation of the full payload option is quite limiting, as it's almost ""all or nothing"". With the introduction of the decryption rules, since the TLS decryption can now happen during normal monitoring, it's often necessary to review some decrypted data in full while avoiding the app from going out of memory because of the full payload.

In essence we need a more dynamic approach, here are some ideas:
- give the user the ability to selectively enable the full payload at runtime. Also possibly evaluate to enable it always for decrypted connections
- always keep the most recent x MB of payload in memory, so that the user can always review the most recent connections payload
- possibly implement an alternative file-backed payload dump to overcome the ram limits",['enhancement'],out of memory
https://github.com/ente-io/auth/issues/326,Android Kills apps during login (potentially a memory leak?),"**Describe the bug**
During login with an existing account, the entire device froze for a few seconds before Android went out to kill basically every other app open on my device. 

**To Reproduce**
Steps to reproduce the behavior:
1. Open the app and hit ""Existing User""
2. Go through login as usual, submit your password
3. Watch as the device freezes for a brief second, as other apps get closed (e.g music in the background)

**Expected behavior**
I expected to be logged in without any other apps being killed (potentially due to low RAM)

**Smartphone (please complete the following information):**
 - Device: Poco F3 / `alioth`
 - OS: Arrow OS 13, Android 13 (`TQ3A.230901.001`)
 - Version: 2.0.15 (F-Droid)

**Additional context**
Usually Android does this when it's running out of RAM, which is why I suspect a memory leak. I will soon edit this issue when I have confirmed that this happens due to low memory.
",[],memory leak
https://github.com/standardnotes/app/pull/2764,chore(deps): bump follow-redirects from 1.15.2 to 1.15.4,"Bumps [follow-redirects](https://github.com/follow-redirects/follow-redirects) from 1.15.2 to 1.15.4.
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/follow-redirects/follow-redirects/commit/65858205e59f1e23c9bf173348a7a7cbb8ac47f5""><code>6585820</code></a> Release version 1.15.4 of the npm package.</li>
<li><a href=""https://github.com/follow-redirects/follow-redirects/commit/7a6567e16dfa9ad18a70bfe91784c28653fbf19d""><code>7a6567e</code></a> Disallow bracketed hostnames.</li>
<li><a href=""https://github.com/follow-redirects/follow-redirects/commit/05629af696588b90d64e738bc2e809a97a5f92fc""><code>05629af</code></a> Prefer native URL instead of deprecated url.parse.</li>
<li><a href=""https://github.com/follow-redirects/follow-redirects/commit/1cba8e85fa73f563a439fe460cf028688e4358df""><code>1cba8e8</code></a> Prefer native URL instead of legacy url.resolve.</li>
<li><a href=""https://github.com/follow-redirects/follow-redirects/commit/72bc2a4229bc18dc9fbd57c60579713e6264cb92""><code>72bc2a4</code></a> Simplify _processResponse error handling.</li>
<li><a href=""https://github.com/follow-redirects/follow-redirects/commit/3d42aecdca39b144a0a2f27ea134b4cf67dd796a""><code>3d42aec</code></a> Add bracket tests.</li>
<li><a href=""https://github.com/follow-redirects/follow-redirects/commit/bcbb096b32686ecad6cd34235358ed6f2217d4f0""><code>bcbb096</code></a> Do not directly set Error properties.</li>
<li><a href=""https://github.com/follow-redirects/follow-redirects/commit/192dbe7ce671ecad813c074bffe3b3f5d3680fee""><code>192dbe7</code></a> Release version 1.15.3 of the npm package.</li>
<li><a href=""https://github.com/follow-redirects/follow-redirects/commit/bd8c81e4f32d12f28a35d265f88b1716703687c6""><code>bd8c81e</code></a> Fix resource leak on destroy.</li>
<li><a href=""https://github.com/follow-redirects/follow-redirects/commit/9c728c314b06f9595dcd7f245d40731e8a27d79f""><code>9c728c3</code></a> Split linting and testing.</li>
<li>Additional commits viewable in <a href=""https://github.com/follow-redirects/follow-redirects/compare/v1.15.2...v1.15.4"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=follow-redirects&package-manager=npm_and_yarn&previous-version=1.15.2&new-version=1.15.4)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot show <dependency name> ignore conditions` will show all of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/standardnotes/app/network/alerts).

</details>","['dependencies', 'javascript']",resource leak
https://github.com/standardnotes/app/pull/2742,"replace ->,<- and <-> by the matching arrow characters in super notes","# What
This PR adds an automatic replacement in the super editor when typing `-> `, `<- ` or `<-> ` by the corresponding arrow character.

# Why
Personally I use a lot of → arrows in my texts to indicate a flow or an outcome of an action. The arrow characters are visually more pleasing to use, but are more difficult to type. This feature is present in the [Rich Markdown Editor](https://github.com/arturolinares/sn-rme), which I have used almost exclusively for the last couple years in StandardNotes. This automatic replacement speeds up the typing / search for the characters to copy and paste.

# Thoughts
The replacement is triggered when typing a space character, so shouldn't be a problem in case the characters are used inside of any string. The replacement only happens at the current position of typing, not in multiple places in the same line that all get matched with the regex. Without the $ in the regex the cursor would jump to the first match in the line and not replace the currently typed characters.

I used the [emoji plugin](https://github.com/facebook/lexical/blob/main/packages/lexical-playground/src/plugins/EmojisPlugin/index.ts) from the lexical playground as a guide of how to implement this feature, because it does something very similar. However, I chose not to implement a list/map for the different arrows like the emoji plugin did, because that implementation is buggy and can lead to the application becoming unresponsive or even crashing in certain circumstances (when the regex matches strings that are not present in the map). The only stable way I've found to implement this, is by adding three separate transformers with exactly matching regex.

I've tested the changes on the Linux app and the Android app and I'm happy with the changes.",[],unresponsive
https://github.com/osociety/vernet/issues/14,Start scanning ports automatically when pressing on scanned device,"Start scanning ports automatically when pressing on scanned device

When clicking on a device from scan for devices list I would expect that it will start scanning ports for me.

But I need to press `Scan` each time.

Another thing (maybe it is just me) I would love to see details only about the device, without all the options to scan google.com etc.
Show me all the information that it can give me about the device, ports mac address host name mDNS response time, perhaps option to ping again and option to traceroute.
 
Dedicated page for the device that I have clicked on.","['enhancement', 'feature request']",response time
https://github.com/beemdevelopment/Aegis/issues/1183,ANR after biometric authentication,"We received an email from a user who is encountering ANR popups after unlocking Aegis using biometric authentication (but not if they unlock using their password). They also sent over a screen recording, but since it contains some personal information, I won't share it here. I'll describe it instead:
- Aegis is launched
- The biometric prompt is shown and the user authenticates
- The biometric prompt is closed and the app then visibly hangs in ``AuthActivity`` for 5 seconds or so
- ``AuthActivity`` closes and ``MainActivity`` opens
- The user gets ANR prompts once every couple of seconds, even though the app appears to remain responsive throughout this.

They're using Aegis on a **Sony XQ-DC54** running **Android 13**.

They've also sent us a bugreport ZIP that gives us some more insight into what is happening. Just before Android reports the ANR, the following is seen in the log:

```
09-08 15:59:22.658  1017   699 28594 W keystore2: keystore2::watchdog: ### Keystore Watchdog report - BEGIN ###
09-08 15:59:22.658  1017   699 28594 W keystore2: keystore2::watchdog: When extracting from a bug report, please include this header
09-08 15:59:22.658  1017   699 28594 W keystore2: keystore2::watchdog: and all 2 records below.
09-08 15:59:22.658  1017   699 28594 W keystore2: keystore2::watchdog: ThreadId(19) IKeystoreOperation::update Pending: 1.500838281s Overdue 1.000843021s
09-08 15:59:22.658  1017   699 28594 W keystore2: keystore2::watchdog: ThreadId(19) Operation::update: calling update Pending: 1.500811093s Overdue 1.00081203s
09-08 15:59:22.658  1017   699 28594 W keystore2: keystore2::watchdog: ### Keystore Watchdog report - END ###
09-08 15:59:23.659  1017   699 28594 W keystore2: keystore2::watchdog: ### Keystore Watchdog report - BEGIN ###
09-08 15:59:23.659  1017   699 28594 W keystore2: keystore2::watchdog: When extracting from a bug report, please include this header
09-08 15:59:23.659  1017   699 28594 W keystore2: keystore2::watchdog: and all 2 records below.
09-08 15:59:23.659  1017   699 28594 W keystore2: keystore2::watchdog: ThreadId(19) IKeystoreOperation::update Pending: 2.501168436s Overdue 2.001173229s
09-08 15:59:23.659  1017   699 28594 W keystore2: keystore2::watchdog: ThreadId(19) Operation::update: calling update Pending: 2.501141822s Overdue 2.001142707s
09-08 15:59:23.659  1017   699 28594 W keystore2: keystore2::watchdog: ### Keystore Watchdog report - END ###
09-08 15:59:24.659  1017   699 28594 W keystore2: keystore2::watchdog: ### Keystore Watchdog report - BEGIN ###
09-08 15:59:24.659  1017   699 28594 W keystore2: keystore2::watchdog: When extracting from a bug report, please include this header
09-08 15:59:24.660  1017   699 28594 W keystore2: keystore2::watchdog: and all 2 records below.
09-08 15:59:24.660  1017   699 28594 W keystore2: keystore2::watchdog: ThreadId(19) IKeystoreOperation::update Pending: 3.502164999s Overdue 3.002170416s
09-08 15:59:24.660  1017   699 28594 W keystore2: keystore2::watchdog: ThreadId(19) Operation::update: calling update Pending: 3.502149582s Overdue 3.002150623s
09-08 15:59:24.660  1017   699 28594 W keystore2: keystore2::watchdog: ### Keystore Watchdog report - END ###
```

Looking at the backtrace of the main thread at the moment of the ANR, we can see that Aegis is communicating with the Keystore service to decrypt the biometric key slot. We see something similar when they're trying to set up biometrics through Aegis' settings menu.

```
""main"" prio=5 tid=1 Native
  | group=""main"" sCount=1 ucsCount=0 flags=1 obj=0x7275cae8 self=0xb400007035ab9be0
  | sysTid=20265 nice=-10 cgrp=top-app sched=0/0 handle=0x72041884f8
  | state=S schedstat=( 187068401 24628019 325 ) utm=10 stm=8 core=0 HZ=100
  | stack=0x7fdcea6000-0x7fdcea8000 stackSize=8188KB
  | held mutexes=
  native: #00 pc 00000000000a5b8c  /apex/com.android.runtime/lib64/bionic/libc.so (__ioctl+12) (BuildId: 2938f6235116cbc48464ee0f7622625e)
  native: #01 pc 000000000005c9e0  /apex/com.android.runtime/lib64/bionic/libc.so (ioctl+160) (BuildId: 2938f6235116cbc48464ee0f7622625e)
  native: #02 pc 000000000005c2a0  /system/lib64/libbinder.so (android::IPCThreadState::talkWithDriver(bool)+284) (BuildId: af2c6edea56d998ea36c11c3b4123011)
  native: #03 pc 000000000005d4fc  /system/lib64/libbinder.so (android::IPCThreadState::waitForResponse(android::Parcel*, int*)+76) (BuildId: af2c6edea56d998ea36c11c3b4123011)
  native: #04 pc 000000000005d238  /system/lib64/libbinder.so (android::IPCThreadState::transact(int, unsigned int, android::Parcel const&, android::Parcel*, unsigned int)+224) (BuildId: af2c6edea56d998ea36c11c3b4123011)
  native: #05 pc 0000000000054a44  /system/lib64/libbinder.so (android::BpBinder::transact(unsigned int, android::Parcel const&, android::Parcel*, unsigned int)+192) (BuildId: af2c6edea56d998ea36c11c3b4123011)
  native: #06 pc 0000000000175bb8  /system/lib64/libandroid_runtime.so (android_os_BinderProxy_transact(_JNIEnv*, _jobject*, int, _jobject*, _jobject*, int)+156) (BuildId: 9fd640b0990deb09d17a2a91aa61b073)
  at android.os.BinderProxy.transactNative(Native method)
  at android.os.BinderProxy.transact(BinderProxy.java:584)
  at android.system.keystore2.IKeystoreOperation$Stub$Proxy.update(IKeystoreOperation.java:191)
  at android.security.KeyStoreOperation.lambda$update$1$android-security-KeyStoreOperation(KeyStoreOperation.java:115)
  at android.security.KeyStoreOperation$$ExternalSyntheticLambda1.execute(unavailable:4)
  at android.security.KeyStoreOperation.handleExceptions(KeyStoreOperation.java:69)
  at android.security.KeyStoreOperation.update(KeyStoreOperation.java:115)
  at android.security.keystore2.KeyStoreCryptoOperationChunkedStreamer$MainDataStream.update(KeyStoreCryptoOperationChunkedStreamer.java:222)
  at android.security.keystore2.KeyStoreCryptoOperationChunkedStreamer.update(KeyStoreCryptoOperationChunkedStreamer.java:156)
  at android.security.keystore2.KeyStoreCryptoOperationChunkedStreamer.doFinal(KeyStoreCryptoOperationChunkedStreamer.java:179)
  at android.security.keystore2.AndroidKeyStoreAuthenticatedAESCipherSpi$BufferAllOutputUntilDoFinalStreamer.doFinal(AndroidKeyStoreAuthenticatedAESCipherSpi.java:396)
  at android.security.keystore2.AndroidKeyStoreCipherSpiBase.engineDoFinal(AndroidKeyStoreCipherSpiBase.java:603)
  at javax.crypto.Cipher.doFinal(Cipher.java:2056)
  at kotlin.LazyKt__LazyKt.decrypt(SourceFile:18)
  at com.beemdevelopment.aegis.vault.slots.RawSlot.getKey(SourceFile:7)
  at androidx.biometric.BiometricViewModel$1.onAuthenticationSucceeded(SourceFile:28)
  at androidx.core.app.ActivityRecreator$1.run(SourceFile:197)
  at android.os.Handler.handleCallback(Handler.java:942)
  at android.os.Handler.dispatchMessage(Handler.java:99)
  at android.os.Looper.loopOnce(Looper.java:346)
  at android.os.Looper.loop(Looper.java:475)
  at android.app.ActivityThread.main(ActivityThread.java:7950)
  at java.lang.reflect.Method.invoke(Native method)
  at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:548)
  at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:942)
```

It would not be a surprise that waiting for multiple seconds for a response from the Keystore service, on the main thread, is eventually going to result in Android finding that your app is not responsive. We should consider moving this off the main thread. I still don't understand why the user keeps getting ANR popups though, even after the app is responsive again.",['bug'], ANR 
https://github.com/ukanth/afwall/issues/1368,App hangs in retrieving log data,"When you select view log from menu app hangs and becomes unresponsive with the message is ""Working"" ""Retrieving log data""
AFWall 3.6.0 donate
Android 13

",['Review'],unresponsive
