Title,Tags,Answered,Link,With code,matched_keywords
ANR (Application not responding) crash in google play console which I don't understand,"java,android,google-play,android-anr-dialog,google-play-console",True,/questions/50268578/anr-application-not-responding-crash-in-google-play-console-which-i-dont-unde,True,application not responding
Android Studio Java ANR Memory Leak,"java,android,multithreading,memory-leaks,realm",True,/questions/50076432/android-studio-java-anr-memory-leak,True,"memory leak
 ANR "
"Android App making ""application not responding"" error example",android,True,/questions/49991805/android-app-making-application-not-responding-error-example,True,application not responding
multiple calls to same service leading data loss,"java,android,service,concurrency,broadcastreceiver",True,/questions/49916479/multiple-calls-to-same-service-leading-data-loss,True,data loss
Out of Memory Error when downloading a large image from Glide,"java,android,bitmap,android-glide",True,/questions/49894955/out-of-memory-error-when-downloading-a-large-image-from-glide,True,out of memory
Android: Converting ArrayList to GSON runs out of memory,"java,android,memory,arraylist",True,/questions/34487717/android-converting-arraylist-to-gson-runs-out-of-memory,True,out of memory
Shouldn´t GC run automatically in Xamarin.Android before running out of memory?,"android,memory-leaks,xamarin,garbage-collection,xamarin.android",True,/questions/34474379/shouldn%c2%b4t-gc-run-automatically-in-xamarin-android-before-running-out-of-memory,True,out of memory
Android WebView got E/ActivityManager: ANR error when used Custom Keyboard,"android,webview,android-webview,activity-manager",True,/questions/65121245/android-webview-got-e-activitymanager-anr-error-when-used-custom-keyboard,True, ANR 
custom ArrayAdapter for listView with images out of memory,"android,image,out-of-memory,android-arrayadapter",True,/questions/37548349/custom-arrayadapter-for-listview-with-images-out-of-memory,True,out of memory
Android memory leak Custom view,"android,memory-leaks,android-custom-view",True,/questions/37296422/android-memory-leak-custom-view,True,memory leak
Bitmap on ViewPager causes memory leak,"android,image,android-viewpager,out-of-memory",True,/questions/24595232/bitmap-on-viewpager-causes-memory-leak,True,memory leak
CWAC camera library out of memory,"android,commonsware-cwac",True,/questions/24491406/cwac-camera-library-out-of-memory,True,out of memory
BitmapFont Memory Leak,"android,libgdx",True,/questions/24377897/bitmapfont-memory-leak,True,memory leak
Out of memory error when calling createBitmap [duplicate],"java,android,image,memory,bitmap",True,/questions/24377840/out-of-memory-error-when-calling-createbitmap,True,out of memory
Android BitmapFactory.decodeFile slows down until out of memory,"android,bitmapfactory",True,/questions/24355306/android-bitmapfactory-decodefile-slows-down-until-out-of-memory,True,out of memory
"Avoiding Out of Memory Error with Bitmap Factory, Even When Resizing Isn't an Issue?","android,bitmap,window,out-of-memory,bitmapfactory",True,/questions/24297153/avoiding-out-of-memory-error-with-bitmap-factory-even-when-resizing-isnt-an-is,True,out of memory
Android fragment data loss,"android,fragment,android-webservice",True,/questions/24281167/android-fragment-data-loss,True,data loss
Out of memory error while loading hundred of bitmap images in Scroll view in android,"android,image,bitmap,out-of-memory,scrollview",True,/questions/21771454/out-of-memory-error-while-loading-hundred-of-bitmap-images-in-scroll-view-in-and,True,out of memory
Is there something that needs to be added to avoid memory leaks when switching between activities?,"java,android,memory-leaks,android-activity",True,/questions/21667190/is-there-something-that-needs-to-be-added-to-avoid-memory-leaks-when-switching-b,True,memory leak
Android runOnUiThread causing memory leak,"android,memory-leaks",True,/questions/21665907/android-runonuithread-causing-memory-leak,True,memory leak
File download - Out Of Memory(OOM),"android,file,out-of-memory,large-files",True,/questions/21599583/file-download-out-of-memoryoom,True,out of memory
During the Loading several images in ImageView get Out of Memory exception [duplicate],"android,imageview",True,/questions/21598984/during-the-loading-several-images-in-imageview-get-out-of-memory-exception,True,out of memory
Volley give me Out of memory exception after I make a lot of request with big amount of data,"android,out-of-memory,android-volley",True,/questions/21475129/volley-give-me-out-of-memory-exception-after-i-make-a-lot-of-request-with-big-am,True,out of memory
Android - Plotting a LOT of lines on google maps - Getting application not responding,"android,multithreading,google-maps,geolocation",True,/questions/21357130/android-plotting-a-lot-of-lines-on-google-maps-getting-application-not-respo,True,application not responding
Memory Leak in MessageQueue in android?,"java,android,memory-leaks,message-queue,leakcanary",True,/questions/70483976/memory-leak-in-messagequeue-in-android,True,memory leak
Memory leaks when using static context items in android,"android,kotlin,memory-leaks,android-context,groupie",True,/questions/70058797/memory-leaks-when-using-static-context-items-in-android,True,memory leak
Asynctask Memory Leak Warning Android,"android,memory-leaks,android-asynctask",True,/questions/69995118/asynctask-memory-leak-warning-android,True,memory leak
Out of Memory Error in gridView Android Eclipse,"java,android,eclipse,gridview,out-of-memory",True,/questions/18552163/out-of-memory-error-in-gridview-android-eclipse,True,out of memory
Android Leaked Window - App adopts an ANR State,"android,exception,memory-leaks",True,/questions/18485982/android-leaked-window-app-adopts-an-anr-state,True, ANR 
Android - Out of Memory Error due to starting a lot of Activities started,android,True,/questions/18459137/android-out-of-memory-error-due-to-starting-a-lot-of-activities-started,True,out of memory
Android app freezes without ANR after moving code into runnable,"android,freeze,runnable",True,/questions/18443481/android-app-freezes-without-anr-after-moving-code-into-runnable,True, ANR 
Out of Memory Exception while scroll Listview?,"android,listview,scroll",True,/questions/18376147/out-of-memory-exception-while-scroll-listview,True,out of memory
Android Bitmap Factory Out of Memory Second Photo,"android,bitmap,bitmapfactory",True,/questions/18360648/android-bitmap-factory-out-of-memory-second-photo,True,out of memory
